winery,avg_score,avgscore2
Araujo                         ,98,98
Gandona                        ,97,97
J.L. Chave                     ,97,97
Ovid                           ,97,97
Barons de Rothschild           ,96,96
Bryant Family                  ,96,96
Cardinale                      ,96,96
Celani Family Vineyards        ,96,96
Château Pétrus                 ,96.66666667,96
Colgin                         ,96,96
D'Alfonso-Curran               ,96,96
Domaine des Lambrays           ,96,96
Hors Categorie                 ,96,96
Lewis                          ,96,96
Patrimony                      ,96,96
Salon                          ,96.8,96
Semper                         ,96,96
Tenuta dell'Ornellaia          ,96.7,96
Amuse Bouche                   ,95,95
Arkenstone                     ,95.33333333,95
Au Sommet                      ,95.5,95
Campo Eliseo                   ,95,95
Casanova di Neri               ,95.16666667,95
Cerbaiona                      ,95,95
Château Climens                ,95.75,95
Château d'Yquem                ,95.66666667,95
Château Léoville Barton        ,95.66666667,95
Château Pontet-Canet           ,95,95
Château Trotanoy               ,95,95
Copain Wines                   ,95,95
Crown Point                    ,95.5,95
Dalla Valle                    ,95,95
Dolce                          ,95.5,95
Domaine Anne Gros              ,95,95
Domaine Jean Grivot            ,95,95
Domaine Michel Lafarge         ,95,95
Eugenio Bocchino               ,95,95
Harlan Estate                  ,95,95
Horsepower                     ,95.09090909,95
Mascarello Giuseppe e Figlio   ,95.2,95
Masseto                        ,95.5,95
Nicolaysen Family Vineyards    ,95,95
Scaggs Vineyard                ,95,95
Schloss Schönborn              ,95,95
Sugrue Pierre Ltd.             ,95,95
Vieux Château Certan           ,95.4,95
Wayfarer                       ,95.33333333,95
Yao Ming                       ,95.33333333,95
Abraham Perold                 ,94,94
Aether Wine Company            ,94,94
Aleksander                     ,94.5,94
Aloft                          ,94,94
Andrus                         ,94,94
Bella Union                    ,94,94
Cargasacchi                    ,94,94
Casa Piena                     ,94,94
Chanamé                        ,94,94
Château Ausone                 ,94.16666667,94
Château Bélair-Monange         ,94.125,94
Château Calon                  ,94,94
Château de la Font du Loup     ,94,94
Château de la Tour             ,94.5,94
Château de Vaudieu             ,94,94
Château Destieux               ,94,94
Château Ducru Beaucaillou      ,94.11111111,94
Château Figeac                 ,94,94
Château Haut-Brion             ,94.7,94
Château la Fleur-Pétrus        ,94.125,94
Château La Mission Haut-Brion  ,94.07692308,94
Château Latour                 ,94.5,94
Château Lynch-Bages            ,94.18181818,94
Château Léoville Poyferré      ,94.54545455,94
Château Palmer                 ,94.26315789,94
Château Rauzan-Ségla           ,94,94
Clos de Tart                   ,94.5,94
Continuum                      ,94,94
Corte Sant'Alda                ,94,94
Creō                           ,94.5,94
Devil Proof                    ,94.33333333,94
Domaine de la Janasse          ,94,94
Domaine Huët                   ,94.27272727,94
Domaine Isabel Ferrando        ,94,94
Domaine Leflaive               ,94.34615385,94
Domaine Marc Roy               ,94,94
Domaine Nicolas Rossignol      ,94,94
Domaine Santa Duc              ,94,94
Domaine Tempier                ,94,94
Dr. Loosen & J. Christopher    ,94,94
Fattoria Petrolo               ,94.125,94
Ferrando                       ,94.5,94
Franz Hirtzberger              ,94.0952381,94
G.A. Rossi di Medelana         ,94,94
Gaja                           ,94.89473684,94
Giacomo Conterno               ,94.5,94
Glaetzer                       ,94,94
Harbison Wines                 ,94,94
Harrison                       ,94,94
Hecho por Ruben                ,94,94
Hickinbotham                   ,94.33333333,94
Hitching Post                  ,94,94
Hundred Acre                   ,94,94
Jean Biecher & Fils            ,94.25,94
Julien Schaal                  ,94.75,94
Kori                           ,94,94
L'Avion                        ,94,94
La Croix de Beaucaillou        ,94,94
La Mondotte                    ,94,94
La Querciola                   ,94,94
Larmandier-Bernier             ,94,94
Laura Zahtila                  ,94,94
Le Dôme                        ,94.71428571,94
Le Piane                       ,94,94
Le Vieux Donjon                ,94,94
Luciano Sandrone               ,94.75,94
Macauley                       ,94.25,94
Marita's Vineyard              ,94,94
Maynard's                      ,94,94
Merus                          ,94,94
Michel Reybier                 ,94,94
Mirù                           ,94,94
Mithra                         ,94.5,94
Montagna                       ,94.66666667,94
Native 9                       ,94,94
Niebaum-Coppola                ,94,94
Nyetimber                      ,94,94
Odette                         ,94,94
Odonata                        ,94,94
Paul de Albas                  ,94,94
Paul Hobbs                     ,94.04347826,94
Pian delle Querci              ,94,94
Podere L'Aione                 ,94,94
Podere Rocche dei Manzoni      ,94,94
Quilceda Creek                 ,94.3,94
Quinta do Pego                 ,94,94
Redmon                         ,94.33333333,94
Regusci                        ,94,94
Revana                         ,94,94
Salwey                         ,94,94
Sawyer & Lindquist             ,94,94
Saxum                          ,94.5,94
Sea Slopes                     ,94,94
Seed                           ,94,94
Serveaux Fils                  ,94,94
Sherwin Family                 ,94,94
Source Napa                    ,94,94
Tenuta Bellafonte              ,94,94
Terreus                        ,94,94
The 50 by 50                   ,94,94
Tierra Roja                    ,94,94
Tolpuddle                      ,94,94
Umberto Fracassi               ,94,94
Verité                         ,94.88888889,94
Vieux Château Mazerat          ,94.14285714,94
Villa Creek                    ,94,94
Weingut Keller                 ,94,94
Weingut Ökonomierat Rebholz    ,94,94
Adi Badenhorst & Duncan Savage ,93,93
Aequorea                       ,93.25,93
Aesthete                       ,93,93
Alloro                         ,93.21428571,93
Almaviva                       ,93,93
Alzinger                       ,93,93
Amador Garcia                  ,93,93
Anakota                        ,93,93
Angerhof Tschida               ,93,93
Antonio Patric                 ,93,93
Anzivino                       ,93,93
Arcudi                         ,93,93
Azalea Springs                 ,93,93
B. Leighton                    ,93,93
Bailarin                       ,93,93
Bartalotti                     ,93,93
Bjorn                          ,93,93
Blandy's                       ,93.71428571,93
Blue Oasis                     ,93,93
Bodega del Abad                ,93,93
Boeschen Vineyards             ,93.66666667,93
BOND                           ,93.28571429,93
Brittan Vineyards              ,93.14285714,93
Brovia                         ,93.5,93
Cagliero                       ,93,93
Caldwell                       ,93,93
Camiana                        ,93.5,93
Cantina Bartolo Mascarello     ,93.25,93
Carte Blanche                  ,93.4,93
Casella                        ,93,93
Castello dei Rampolla          ,93.125,93
Castello di Nipozzano          ,93,93
Cavallotto                     ,93.9375,93
Cayuse                         ,93.88888889,93
Cefalu'                        ,93,93
Ch.igai Takaha                 ,93.33333333,93
Charbay                        ,93.5,93
Chenoweth                      ,93,93
Cherubino                      ,93.25,93
Château Angélus                ,93.77777778,93
Château Beau-Séjour Bécot      ,93.57142857,93
Château Belair                 ,93,93
Château Branaire-Ducru         ,93.07142857,93
Château Calon Ségur            ,93.75,93
Château Canon                  ,93,93
Château Canon la Gaffelière    ,93.14285714,93
Château Certan de May de Certan,93.66666667,93
Château Cheval Blanc           ,93.72727273,93
Château Clos Haut-Peyraguey    ,93.33333333,93
Château de Fargues             ,93.5,93
Château de Malle               ,93,93
Château Doisy-Daëne            ,93,93
Château Edmus                  ,93,93
Château Fuissé                 ,93.25,93
Château Giscours               ,93.35714286,93
Château Haut-Bailly            ,93.2,93
Château Hosanna                ,93.88888889,93
Château la Gomerie             ,93,93
Château la Grâce Dieu          ,93,93
Château La Lagune              ,93,93
Château la Marzelle            ,93,93
Château la Tour Blanche        ,93.77777778,93
Château Lafaurie-Peyraguey     ,93.375,93
Château Lafite Rothschild      ,93.75,93
Château Lamothe Despujols      ,93,93
Château Lamothe Guignard       ,93,93
Château Laville Haut-Brion     ,93.75,93
Château Le Crock               ,93,93
Château le Gay                 ,93.5,93
Château Louis                  ,93,93
Château Léoville Las Cases     ,93.57142857,93
Château Margaux                ,93.64285714,93
Château Montrose               ,93.41176471,93
Château Moulin de la Bridane   ,93,93
Château Pape Clément           ,93,93
Château Pavie                  ,93.42857143,93
Château Pavie Decesse          ,93,93
Château Pichon Longueville     ,93.625,93
Château Pichon Longueville Comt,93.83333333,93
Château Pierre-Bise            ,93.66666667,93
Château Providence             ,93.125,93
Château Rieussec               ,93.625,93
Château Sansonnet              ,93,93
Château Sociando-Mallet        ,93,93
Château Troplong Mondot        ,93,93
Château Valandraud             ,93.2,93
Clendenen Family               ,93.16666667,93
Clos d'Argentine               ,93,93
Clos de la Tech                ,93.66666667,93
Clos du Marquis                ,93.71428571,93
Clos Haut-Peyraguey            ,93.5,93
Clos Mogador                   ,93.25,93
Comm. G. B. Burlotto           ,93.07692308,93
Contucci                       ,93,93
Cordant                        ,93.66666667,93
Corliss Estates                ,93,93
Cossart Gordon                 ,93.5,93
Côte Nicault                   ,93,93
Dal Forno Romano               ,93.14285714,93
Daniel                         ,93,93
Diamond Creek                  ,93.61111111,93
Dobogó                         ,93,93
Domaine aux Moines             ,93,93
Domaine Buisson Battault       ,93.33333333,93
Domaine Clarence Dillon        ,93,93
Domaine Clusel-Roch            ,93,93
Domaine de Chevalier           ,93.57894737,93
Domaine de Montille            ,93,93
Domaine Drouhin Oregon         ,93.07692308,93
Domaine Drouhin-Laroze         ,93.5,93
Domaine du Comte Liger-Belair  ,93.33333333,93
Domaine Dujac                  ,93,93
Domaine Fond Moiroux           ,93,93
Domaine J. Meuret              ,93,93
Domaine Jamet                  ,93,93
Domaine Parent                 ,93.5,93
Domaine Perrot-Minot           ,93.36363636,93
Domaine Pinson                 ,93.7,93
Domaine Saint Pierre           ,93,93
Domaine Sébastien Dampt        ,93,93
Dominio de Berzal              ,93.5,93
Doubleback                     ,93.5,93
Durham-Agrellos                ,93,93
Dyer                           ,93.66666667,93
Dönnhoff                       ,93.5,93
Eldridge Estate                ,93,93
Ellanelle                      ,93,93
Emilio Rojo                    ,93,93
Enclave                        ,93,93
Epoch Estate Wines             ,93,93
Expression 34                  ,93,93
Exton Park Vineyard            ,93.33333333,93
F X Pichler                    ,93.08108108,93
Far Niente                     ,93,93
Franco Molino Cascina Rocca    ,93,93
François Bertheau              ,93,93
Freestone                      ,93.4,93
Fumanelli                      ,93.5,93
Garmón                         ,93,93
Giovanni Rosso                 ,93,93
Giulio Ferrari                 ,93,93
Giuseppe Rinaldi               ,93.83333333,93
Golden Triangle                ,93.33333333,93
Gravner                        ,93,93
Grow Wines                     ,93,93
Guastaferro                    ,93.28571429,93
Guido Porro                    ,93.5,93
Gusbourne Estate               ,93.25,93
Hard Six Cellars               ,93,93
Hartford Court                 ,93.13333333,93
Heidi Schröck                  ,93,93
Henriot                        ,93.2,93
Holus Bolus                    ,93.25,93
Hudson Vineyards               ,93,93
Hugues Godmé                   ,93,93
Hyde de Villaine               ,93.5,93
Il Paradiso di Manfredi        ,93,93
Ila                            ,93,93
J.R. Carter                    ,93,93
Jacquesson et Fils             ,93.33333333,93
John's Blend                   ,93,93
Johndrow Vineyards             ,93,93
K. Furtado                     ,93,93
Kadiem                         ,93.5,93
Krug                           ,93.5,93
Krutzler                       ,93.4,93
La Cerbaiola                   ,93,93
La Rata                        ,93.33333333,93
Lavinea                        ,93,93
Legacy                         ,93.33333333,93
Les Astéries                   ,93.09090909,93
Lineage                        ,93.6,93
Lookout Ridge                  ,93,93
Lost and Found Winery          ,93,93
Louis Roederer                 ,93.26666667,93
Loïc Mahe                      ,93.5,93
LTU                            ,93,93
Luko                           ,93,93
Mandois                        ,93,93
Mark David                     ,93,93
Marquis Philips                ,93,93
Massolino                      ,93.25925926,93
Matriarch                      ,93,93
Maybach                        ,93.66666667,93
Melanson                       ,93,93
Metzker Family Estates         ,93.5,93
Montirius                      ,93,93
Moulin Touchais                ,93.66666667,93
Mt. Brave                      ,93.44444444,93
Mueller Family Vineyards       ,93,93
Mvemve Raats                   ,93.2,93
Nelle                          ,93,93
Nicolas-Jay                    ,93.4,93
No Girls                       ,93.41666667,93
O'Connor                       ,93,93
Pahlmeyer                      ,93,93
Pangea                         ,93,93
Parallel                       ,93.2,93
Patricia Green Cellars         ,93.22222222,93
Peake Ranch                    ,93,93
Pellet Estate                  ,93.14285714,93
PerryMoore                     ,93.6,93
Philippe-Lorraine              ,93,93
Pichler-Krutzler               ,93.8,93
Pierre Péters                  ,93,93
Pillar Rock                    ,93,93
Piro                           ,93.66666667,93
Poderi Aldo Conterno           ,93.11111111,93
Poggio di Sotto                ,93,93
Portfolio                      ,93.25,93
Prieuré St. Jean de Bébian     ,93,93
Promise                        ,93,93
Proteus                        ,93,93
Proximity                      ,93,93
Quinta do Vale Meão            ,93.58823529,93
Quinta do Vesuvio              ,93,93
Quintarelli                    ,93,93
Ramey                          ,93.13333333,93
Rasi                           ,93,93
Red Stich                      ,93,93
Reuling Vineyard               ,93.2,93
Reynolds Family Winery         ,93,93
Rudolf Fürst                   ,93,93
Rui Reguinga                   ,93,93
Résonance                      ,93.16666667,93
San Vicente                    ,93,93
Sant Wines                     ,93,93
Schiavenza                     ,93.66666667,93
Schmelz                        ,93.33333333,93
Schmitt's Kinder               ,93,93
Seal Beach                     ,93,93
Seebrich                       ,93,93
Shea                           ,93.28571429,93
Shoup                          ,93.4,93
Skeffington                    ,93,93
Small and Tall                 ,93,93
Solomon Hills                  ,93.42857143,93
Sottimano                      ,93.14285714,93
Soulmate                       ,93,93
Spottswoode                    ,93.57142857,93
Squawking Magpie               ,93,93
St. Rose                       ,93.5,93
Standish                       ,93.75,93
Stone The Crows                ,93.375,93
Switchback Ridge               ,93,93
Szepsy                         ,93,93
Tenuta di Valgiano             ,93,93
The Bridge                     ,93.33333333,93
The Setting                    ,93,93
The Vineyard House             ,93.625,93
Think Tank                     ,93,93
Thorne                         ,93,93
Tor                            ,93,93
Valentin Leflaive              ,93,93
Valquejigoso                   ,93.5,93
Viader                         ,93.25,93
Viera de Sousa                 ,93,93
Villa del Lago                 ,93,93
Vin Perdu                      ,93,93
Wachtstetter                   ,93,93
Weingut Reichsrat von Buhl     ,93,93
Willi Brundlmayer              ,93,93
William James                  ,93,93
Winston Hill                   ,93,93
Wiston Estate Winery           ,93,93
Young Inglewood                ,93.5,93
Yves Giradin                   ,93,93
Zeitgeist                      ,93,93
Ziereisen                      ,93.5,93
Áster                          ,93,93
Élevée Winegrowers             ,93,93
12C Wines                      ,92.6,92
21 Grams                       ,92.5,92
Abeja                          ,92.35714286,92
Abiouness                      ,92,92
Acaibo                         ,92,92
Addendum                       ,92.33333333,92
Alain Graillot                 ,92,92
Alaverdi Monastery Cellar      ,92,92
Albatross Ridge                ,92.71428571,92
Albert Morot                   ,92.25,92
Aldo Conterno                  ,92.83333333,92
Aldo Polencic                  ,92,92
Allegorie                      ,92,92
Alpha Omega                    ,92.13513514,92
Alphonse Mellot                ,92,92
Altos del Terral               ,92.33333333,92
Alvaro Castro                  ,92.71428571,92
Amos Cellars                   ,92,92
Ancestrale                     ,92,92
Angel Camp                     ,92,92
Anomaly                        ,92.83333333,92
Antoniolo                      ,92.25,92
Apegadas Quinta Velha          ,92,92
Aperture                       ,92.57142857,92
Apogee                         ,92,92
Aratás                         ,92,92
Aril                           ,92.2,92
Arista                         ,92.06976744,92
Armitage                       ,92,92
Au Bon Climat                  ,92.73333333,92
Ayoub                          ,92.76470588,92
Azelia                         ,92,92
AZS                            ,92,92
Baldacci                       ,92.13333333,92
Barden                         ,92.63636364,92
Barham Mendelsohn              ,92,92
Barnett                        ,92.4,92
Benjamin de Rothschild & Vega S,92.8,92
Benjamin Leroux                ,92,92
Bentley                        ,92,92
Bergström                      ,92.3125,92
Betz Family                    ,92.9245283,92
Biecher & Schaal               ,92.41666667,92
Bien Nacido                    ,92.625,92
Big Basin                      ,92.1627907,92
Billecart-Salmon               ,92.65,92
Biondi Santi                   ,92.52631579,92
Bjornstad                      ,92.05263158,92
Black Cat                      ,92,92
Black Cordon                   ,92,92
Blue Farm                      ,92.69230769,92
Bodegas Roda                   ,92.8,92
Bollinger                      ,92.14285714,92
Bonaccorsi                     ,92.21052632,92
Brash Higgins                  ,92,92
Bratcher                       ,92,92
Brewer-Clifton                 ,92.33333333,92
Brezza                         ,92,92
Brick House                    ,92.35714286,92
Bride Valley Vineyard          ,92.66666667,92
Brilliant Mistake              ,92,92
Brion                          ,92,92
Brogan                         ,92,92
Brosseau                       ,92,92
C Square                       ,92,92
Calbello                       ,92,92
Camlow                         ,92,92
Cantina Iuli                   ,92,92
Cantina Luciani                ,92,92
Cantina Massara Burlotto       ,92,92
Cantine Gini                   ,92,92
Caparsa                        ,92,92
Capataz                        ,92,92
Capitain-Gagnerot              ,92.14285714,92
Carlisle                       ,92.42105263,92
Casa al Vento                  ,92,92
Casa Anadia                    ,92,92
Casa Ferreirinha               ,92.06666667,92
Cascabel                       ,92,92
Cascina Alberta                ,92,92
Cascina Cucco                  ,92.33333333,92
Casetta Fratelli               ,92,92
Castello del Terriccio         ,92,92
Castello di Verduno            ,92.41666667,92
Castello La Leccia             ,92,92
Cattleya                       ,92.83333333,92
CedarCreek                     ,92,92
Celler Burgos-Porta            ,92,92
Central Coast Group Project    ,92.5,92
Chambers Rosewood Vineyards    ,92.9375,92
Chanin                         ,92.90909091,92
Chapel Down                    ,92.25,92
Chapelle d'Ausone              ,92,92
Chappellet                     ,92.4,92
Cheval des Andes               ,92,92
Château Bahans Haut-Brion      ,92,92
Château Beausejour-Duffau-Lagar,92.4,92
Château Brane-Cantenac         ,92,92
Château Cadet-Piola            ,92,92
Château Cantenac Brown         ,92.71428571,92
Château Capbern                ,92.5,92
Château Certan                 ,92,92
Château Clerc Milon            ,92.91666667,92
Château Cos d'Estournel        ,92.78947368,92
Château Coutet                 ,92.81818182,92
Château d'Arsac                ,92.5,92
Château d'Epire                ,92,92
Château de Myrat               ,92.14285714,92
Château de Rayne Vigneau       ,92.18181818,92
Château de Tiregand            ,92.5,92
Château Doisy-Védrines         ,92.71428571,92
Château du Breuil              ,92,92
Château du Coudray Montpensier ,92,92
Château Duhart Milon           ,92,92
Château Duhart-Milon           ,92.11111111,92
Château Fayat                  ,92,92
Château Filhot                 ,92.14285714,92
Château Fonbadet               ,92.5,92
Château Gloria                 ,92.33333333,92
Château Grand Corbin           ,92,92
Château Grand Corbin-Despagne  ,92,92
Château Grand Mayne            ,92,92
Château Grand-Puy-Lacoste      ,92.33333333,92
Château Gruaud Larose          ,92.25,92
Château Guiraud                ,92.875,92
Château Haut-Marbuzet          ,92.5,92
Château l'Évangile             ,92.25,92
Château la Bienfaisance        ,92,92
Château La Bon Pasteur         ,92,92
Château La Conseillante        ,92,92
Château la Coustarelle         ,92,92
Château la Croix de Gay        ,92,92
Château la Croix Saint-Georges ,92,92
Château la Gaffelière          ,92.5,92
Château la Tour de Bessan      ,92,92
Château La Tour Figeac         ,92,92
Château Lafleur du Roy         ,92,92
Château Lafon Rochet           ,92,92
Château Lagrange               ,92.63636364,92
Château Langoa Barton          ,92.46153846,92
Château le Bon Pasteur         ,92,92
Château le Peyrat              ,92,92
Château les Grands Chênes      ,92,92
Château les Tonnelles          ,92,92
Château Magdelaine             ,92.57142857,92
Château Malartic-Lagravière    ,92.85714286,92
Château Moulin de la Rose      ,92,92
Château Mouton Rothschild      ,92.40909091,92
Château Ormes de Pez           ,92.5,92
Château Pavie Macquin          ,92.875,92
Château Petit-Village          ,92.2,92
Château Pontac Monplaisir      ,92,92
Château Pontac-Lynch           ,92,92
Château Quintus                ,92.2,92
Château Rol Valentin           ,92,92
Château Rouget                 ,92,92
Château Salettes               ,92,92
Château Sigalas Rabaud         ,92.8,92
Château Smith Haut Lafitte     ,92.65217391,92
Château Suduiraut              ,92.5,92
Château Val d'Arenc            ,92,92
Château Villemaurine           ,92.33333333,92
Château Violette               ,92,92
Cignale                        ,92.5,92
Clark-Clauden                  ,92.66666667,92
Clos Badon-Thunevin            ,92,92
Clos du Clocher                ,92,92
Clos Fourtet                   ,92.33333333,92
Clos l'Eglise                  ,92,92
Cobb                           ,92.55555556,92
Colombera & Garella            ,92.85714286,92
Colombo                        ,92.25,92
Conti Costanti                 ,92.4,92
Contrade di Taurasi - Lonardo  ,92.45454545,92
Cordero di Montezemolo         ,92,92
Corison                        ,92.25,92
Costers del Priorat            ,92,92
Couloir                        ,92.61538462,92
Croix de Beaucaillou           ,92.4,92
Crápula                        ,92,92
Cuttings                       ,92,92
Cyrus                          ,92,92
Cà La Bionda                   ,92,92
Daniel Chotard                 ,92.16666667,92
Darioush                       ,92.16666667,92
