winery,avg_score
Château Climens                ,98
Château Pétrus                 ,97
Domaine des Lambrays           ,96
Quinta do Vesuvio              ,96
Château Pontet-Canet           ,95.57142857
Vieux Château Certan           ,95.33333333
Azelia                         ,95
Cerbaiona                      ,95
Château d'Yquem                ,95
Château Léoville Barton        ,95
Colgin                         ,95
Domaine Anne Gros              ,95
Domaine Michel Lafarge         ,95
Eugenio Bocchino               ,95
Moccagatta                     ,95
Robert Biale                   ,95
Taittinger                     ,95
Château la Tour Blanche        ,94.5
Cordero di Montezemolo         ,94.5
Domaine Jean Grivot            ,94.5
Müller-Catoir                  ,94.5
Vieux Château Mazerat          ,94.5
Château Ducru Beaucaillou      ,94.4
Château Lynch-Bages            ,94.33333333
Château Trotanoy               ,94.33333333
Château Ausone                 ,94.22222222
Billecart-Salmon               ,94.2
Château Rauzan-Ségla           ,94.2
Château Latour                 ,94.16666667
Bolney Wine Estate             ,94
Bruno Rocca                    ,94
Château de Vaudieu             ,94
Château la Fleur-Pétrus        ,94
Château Laville Haut-Brion     ,94
Château Léoville Poyferré      ,94
Coup de Foudre                 ,94
Domaine Isabel Ferrando        ,94
Domaine Nicolas Rossignol      ,94
Enzo Boglietti                 ,94
La Croix de Beaucaillou        ,94
La Mondotte                    ,94
Laurent-Perrier                ,94
Le Dôme                        ,94
Maynard's                      ,94
Podere Rocche dei Manzoni      ,94
Radikon                        ,94
Umberto Fracassi               ,94
W. & J. Graham's               ,94
Weingut Keller                 ,94
Château Palmer                 ,93.875
Château Haut-Brion             ,93.8
Clos du Marquis                ,93.8
Château Clos Haut-Peyraguey    ,93.75
Château Pichon Longueville Comt,93.75
Château Coutet                 ,93.6
Château Rieussec               ,93.57142857
Château Beau-Séjour Bécot      ,93.5
Château Bélair-Monange         ,93.5
Château Certan de May de Certan,93.5
Château de Fargues             ,93.5
Château le Gay                 ,93.5
Château Valandraud             ,93.5
Domaine Drouhin-Laroze         ,93.5
Domaine Parent                 ,93.5
Quintarelli                    ,93.5
Timothy Malone                 ,93.5
Viberti                        ,93.5
Château Margaux                ,93.44444444
F X Pichler                    ,93.4
Château Angélus                ,93.375
Château Giscours               ,93.375
Château Pichon Longueville     ,93.36363636
Château Lafite Rothschild      ,93.33333333
Clos de Tart                   ,93.33333333
Guastaferro                    ,93.33333333
Silvio Grasso                  ,93.33333333
Château Fuissé                 ,93.25
Château Hosanna                ,93.25
Moët & Chandon                 ,93.22222222
Château Pavie                  ,93.2
Domaine de Chevalier           ,93.15384615
Adi Badenhorst & Duncan Savage ,93
Angerhof Tschida               ,93
Au Contraire                   ,93
Castello di Spessa             ,93
Chiesa Carlo                   ,93
Château Belair                 ,93
Château Canon                  ,93
Château Cantenac Brown         ,93
Château de Malle               ,93
Château Edmus                  ,93
Château Fonbadet               ,93
Château Haut-Bailly            ,93
Château la Croix du Casse      ,93
Château la Gomerie             ,93
Château la Tour de Bessan      ,93
Château Lafaurie-Peyraguey     ,93
Château Lamothe Despujols      ,93
Château Lamothe Guignard       ,93
Château Le Crock               ,93
Château Louis                  ,93
Château Pavie Decesse          ,93
Château Pavie Macquin          ,93
Château Providence             ,93
Château Sansonnet              ,93
Château Sociando-Mallet        ,93
Château Troplong Mondot        ,93
Château Villemaurine           ,93
Clos de la Tech                ,93
Cossart Gordon                 ,93
Cottonwood Canyon              ,93
Domaine Arnoux Père et Fils    ,93
Domaine aux Moines             ,93
Domaine Chanson                ,93
Domaine Clusel-Roch            ,93
Domaine de Montille            ,93
Domaine Fond Moiroux           ,93
Domaine Jacques Prieur         ,93
Fife                           ,93
François Bertheau              ,93
Gaja                           ,93
Giuseppe Rinaldi               ,93
Gosset                         ,93
Grimm's Bluff                  ,93
Henri Abele                    ,93
Henri Goutorbe                 ,93
Joseph Perrier                 ,93
La Serena                      ,93
La Torricella                  ,93
Mark Ryan                      ,93
Marquis Philips                ,93
Mastrojanni                    ,93
Milziade Antano                ,93
Montirius                      ,93
Mário Braga                    ,93
Passopisciaro                  ,93
Pierre Gimonnet et Fils        ,93
Pierre Péters                  ,93
Poggiarellino                  ,93
Sanguis                        ,93
Schiavenza                     ,93
Skeffington                    ,93
Smith & Hook                   ,93
South Stage                    ,93
Styring                        ,93
Szepsy                         ,93
Veuve Clicquot Ponsardin       ,93
Viera de Sousa                 ,93
Château Montrose               ,92.92307692
Château Clerc Milon            ,92.83333333
Clos Fourtet                   ,92.83333333
Château de Rayne Vigneau       ,92.8
Château La Mission Haut-Brion  ,92.8
Château Langoa Barton          ,92.77777778
Alex Gambal                    ,92.75
Château Figeac                 ,92.75
Geyerhof                       ,92.75
Château Doisy-Daëne            ,92.71428571
Château Doisy-Védrines         ,92.71428571
Château Pape Clément           ,92.69230769
Domaine des Carteresses        ,92.66666667
Domaine Henri Gouges           ,92.66666667
Krutzler                       ,92.66666667
Lagler                         ,92.66666667
Château Lagrange               ,92.625
Cavallotto                     ,92.6
Château Léoville Las Cases     ,92.6
Château Guiraud                ,92.57142857
Domaine Perrot-Minot           ,92.57142857
Château Capbern                ,92.5
Château Cheval Blanc           ,92.5
Château Grand Mayne            ,92.5
Château Grand-Puy-Lacoste      ,92.5
Château Haut-Marbuzet          ,92.5
Château Magdelaine             ,92.5
Château Malartic-Lagravière    ,92.5
Château Ormes de Pez           ,92.5
Château Sigalas Rabaud         ,92.5
Deutz                          ,92.5
Fattoria di Felsina            ,92.5
Massimo Penna                  ,92.5
Omen                           ,92.5
Roberto Sarotto                ,92.5
Tenuta Montanello              ,92.5
Château Brane-Cantenac         ,92.4
Croix de Beaucaillou           ,92.4
Château Beychevelle            ,92.375
Château Branaire-Ducru         ,92.375
