,country,points,price,title,winery
64094,Croatia,91,33.0,Trapan 2013 Terra Mare Teran (Istria),Trapan
77733,Croatia,91,57.0,Korta Katarina 2006 Reuben's Private Reserve Plavac Mali (Peljesac),Korta Katarina
120139,Croatia,91,50.0,Bibich NV Ambra Red (North Dalmatia),Bibich
14188,Croatia,90,41.0,Roxanich 2008 Ines in White White (Istria),Roxanich
16189,Croatia,90,17.0,Benvenuti 2012 Malvasia Istriana (Istria),Benvenuti
16195,Croatia,90,18.0,Kozlović 2012 Malvazija Malvasia (Istria),Kozlović
24208,Croatia,90,57.0,Miloš 2006 Stagnum Plavac Mali (Peljesac),Miloš
24215,Croatia,90,21.0,Trapan 2012 Ponente Malvazija Malvasia (Istria),Trapan
41679,Croatia,90,25.0,Enjingi 2009 Barrique Zweigelt (Kutjevo),Enjingi
51765,Croatia,90,38.0,Grgić Vina 2008 Plavac Mali (Dingač),Grgić Vina
71815,Croatia,90,18.0,Kozlović 2011 Teran (Istria),Kozlović
122738,Croatia,90,38.0,Korta Katarina 2006 Plavac Mali (Peljesac),Korta Katarina
18270,Croatia,89,28.0,Grgić Vina 2010 Posip (Korčula),Grgić Vina
21228,Croatia,89,65.0,Saints Hills 2009 Dinga Plavac Mali (Peljesac),Saints Hills
26610,Croatia,89,45.0,Grgić Vina 2007 Plavac Mali (Peljesac),Grgić Vina
32354,Croatia,89,20.0,Adzic 2015 Graševina (Kutjevo),Adzic
46312,Croatia,89,28.0,Grgić Vina 2010 Posip (Korčula),Grgić Vina
70169,Croatia,89,60.0,Suha Punta 2009 Gracin Babić (North Dalmatia),Suha Punta
70175,Croatia,89,20.0,Bibich 2010 Riserva R6 Red (North Dalmatia),Bibich
70951,Croatia,89,45.0,Coronica 2008 Gran Teran (Istria),Coronica
74158,Croatia,89,25.0,Piližota 2009 Babić (North Dalmatia),Piližota
123853,Croatia,89,35.0,Bibich 2010 Lucica Debit (North Dalmatia),Bibich
4007,Croatia,88,20.0,Coronica 2012 Malvasia (Istria),Coronica
4019,Croatia,88,27.0,Miloš 2009 Plavac Mali (Peljesac),Miloš
8275,Croatia,88,24.0,Korta Katarina 2008 Posip (Korčula),Korta Katarina
10301,Croatia,88,19.0,Bibich 2009 G6 Grenache (Croatia),Bibich
12338,Croatia,88,27.0,Miloš 2009 Plavac Mali (Peljesac),Miloš
16822,Croatia,88,20.0,Coronica 2011 Malvasia (Istria),Coronica
27296,Croatia,88,19.0,Vuina 2009 Dry Red Plavac Mali (Dalmatian Coast),Vuina
39514,Croatia,88,20.0,Matošević 2009 Alba Malvasia (Istria),Matošević
55613,Croatia,88,27.0,Carić 2008 Plovac Polški Plavac Mali (Hvar),Carić
58141,Croatia,88,13.0,Istravino 2008 De Mar Cuvée Zenon Red (Istria),Istravino
66145,Croatia,88,25.0,Toreta 2015 Premium Posip (Korčula),Toreta
82849,Croatia,88,20.0,Zlatan Otok 2012 Vrhunsko Bijelo Vino Posip (Hvar),Zlatan Otok
84996,Croatia,88,25.0,Frano Milos 2008 Plavac Mali (Peljesac),Frano Milos
85116,Croatia,88,15.0,Agrolaguna 2009 Muškat Ruža Muscat (Istria),Agrolaguna
86308,Croatia,88,16.0,Piližota 2011 Babić (North Dalmatia),Piližota
86313,Croatia,88,39.0,Suha Punta 2009 Tirada Babić (North Dalmatia),Suha Punta
111212,Croatia,88,16.0,Katunar 2012 Kvalitetno Vino Vinogorje Zlahtina (Krk),Katunar
119330,Croatia,88,27.0,Bibich 2012 P9 Posip (North Dalmatia),Bibich
12420,Croatia,87,16.0,Bastianich 2010 Adriatico Malvasia Istriana (Istria),Bastianich
18217,Croatia,87,19.0,Agrolaguna 2009 Castello Festigia Red (Istria),Agrolaguna
18226,Croatia,87,13.0,Iločki Podrumi 2008 Traminer (Podunavlje),Iločki Podrumi
18227,Croatia,87,13.0,Istravino 2009 De Mar Malvasia (Istria),Istravino
19289,Croatia,87,20.0,Matošević 2008 Alba Malvasia Istriana (Istria),Matošević
22388,Croatia,87,20.0,Piquentum 2011 Blanc Malvasia (Istria),Piquentum
25929,Croatia,87,24.0,Korta Katarina 2009 Posip (Korčula),Korta Katarina
40686,Croatia,87,22.0,Piližota 2007 Babić Red (North Dalmatia),Piližota
