,country,points,price,title,winery
9812,Greece,93,16.0,Dionysos 2014 Moschofilero (Mantinia),Dionysos
117039,Greece,93,35.0,Domaine Sigalas 2014 Kavalieros Single Vineyard Assyrtiko (Santorini),Domaine Sigalas
9536,Greece,92,21.0,Boutari 2015 Assyrtico (Santorini),Boutari
43887,Greece,92,24.0,Domaine Sigalas 2010 Assyrtico (Santorini),Domaine Sigalas
48513,Greece,92,22.0,Domaine Costa Lazaridi 2012 Amethystos Red (Drama),Domaine Costa Lazaridi
48520,Greece,92,20.0,Lantides 2014 Ancient Varietal Moschofilero (Peloponnese),Lantides
51714,Greece,92,19.0,Nasiakos 2013 Agiorgitiko (Nemea),Nasiakos
51936,Greece,92,59.0,Alpha Estate 2008 Alpha One Unfiltered Merlot (Florina),Alpha Estate
74052,Greece,92,23.0,Gerovassiliou 2015 Single Vineyard Malagousia (Epanomi),Gerovassiliou
86757,Greece,92,20.0,Ktima Pavlidis 2015 Thema White (Drama),Ktima Pavlidis
86760,Greece,92,25.0,Tselepos 2015 Canava Chrissou Assyrtiko (Santorini),Tselepos
89066,Greece,92,23.0,Gerovassiliou 2013 Single Vineyard Malagousia (Epanomi),Gerovassiliou
116303,Greece,92,13.0,Lyrarakis 2014 Kotsifali (Crete),Lyrarakis
120902,Greece,92,17.0,Boutari 2016 Moschofilero (Mantinia),Boutari
120903,Greece,92,27.0,Kir-Yianni 2012 Ramnista Single Vineyard Xinomavro (Naoussa),Kir-Yianni
122099,Greece,92,20.0,Kechris 2015 Tear of the Pine Assyrtico (Retsina),Kechris
128279,Greece,92,25.0,Tselepos 2014 Assyrtico (Santorini),Tselepos
13908,Greece,91,20.0,Greek Wine Cellars 2014 Assyrtico (Santorini),Greek Wine Cellars
27876,Greece,91,12.0,Hatzimichalis 2015 Assyrtiko (Atalanti Valley),Hatzimichalis
44673,Greece,91,16.0,Nasiakos 2015 Moschofilero (Mantinia),Nasiakos
47480,Greece,91,40.0,Argyros 2010 Estate Argyros Assyrtico (Santorini),Argyros
47499,Greece,91,44.0,Gerovassiliou 2010 Chardonnay (Epanomi),Gerovassiliou
48733,Greece,91,22.0,Tselepos 2011 Classic Agiorgitiko (Nemea),Tselepos
