,country,points,price,title,winery
39673,Morocco,93,18.0,Ouled Thaleb 2012 Médaillon Red (Zenata),Ouled Thaleb
83142,Morocco,91,25.0,Ouled Thaleb 2011 Aït Souala Red (Morocco),Ouled Thaleb
83143,Morocco,91,14.0,Ouled Thaleb 2012 Red (Zenata),Ouled Thaleb
6008,Morocco,90,18.0,Ouled Thaleb 2013 Syrah (Zenata),Ouled Thaleb
61474,Morocco,90,40.0,Bernard Magrez 2014 Excelcio Syrah-Grenache (Guerrouane),Bernard Magrez
89684,Morocco,90,18.0,Ouled Thaleb 2012 Syrah (Zenata),Ouled Thaleb
113560,Morocco,90,17.0,Ouled Thaleb 2010 Syrah (Zenata),Ouled Thaleb
25491,Morocco,89,18.0,Ouled Thaleb 2014 Médallion Red (Zenata),Ouled Thaleb
32439,Morocco,89,18.0,Ouled Thaleb 2011 Syrah (Zenata),Ouled Thaleb
51821,Morocco,89,25.0,Ouled Thaleb 2012 Aït Soula Red (Morocco),Ouled Thaleb
51844,Morocco,89,15.0,Ouled Thaleb 2013 Red (Zenata),Ouled Thaleb
74157,Morocco,89,18.0,Ouled Thaleb 2011 Un-Oaked Chardonnay (Zenata),Ouled Thaleb
74981,Morocco,89,14.0,Ouled Thaleb 2011 Cabernet Sauvignon Grenache (Zenata),Ouled Thaleb
119865,Morocco,89,25.0,Ouled Thaleb 2012 Aït Soula Red (Morocco),Ouled Thaleb
63714,Morocco,88,18.0,Ouled Thaleb 2014 Un-Oaked Chardonnay (Zenata),Ouled Thaleb
85944,Morocco,88,18.0,Ouled Thaleb 2015 Un-Oaked Chardonnay (Morocco),Ouled Thaleb
89236,Morocco,88,18.0,Ouled Thaleb 2014 Sauvignon Blanc (Zenata),Ouled Thaleb
91391,Morocco,88,15.0,Ouled Thaleb 2015 Moroccan Red (Zenata),Ouled Thaleb
91392,Morocco,88,18.0,Ouled Thaleb 2016 Sauvignon Blanc (Morocco),Ouled Thaleb
93891,Morocco,88,18.0,Ouled Thaleb 2012 Médallion Sauvignon Blanc (Zenata),Ouled Thaleb
111724,Morocco,88,18.0,Ouled Thaleb 2012 Médallion Sauvignon Blanc (Zenata),Ouled Thaleb
126615,Morocco,88,18.0,Ouled Thaleb 2014 Sauvignon Blanc (Zenata),Ouled Thaleb
43442,Morocco,87,18.0,Ouled Thaleb 2011 Médallion Red (Zenata),Ouled Thaleb
72447,Morocco,87,15.0,Ouled Thaleb 2016 Moroccan White (Morocco),Ouled Thaleb
97163,Morocco,87,15.0,Ouled Thaleb 2014 White (Zenata),Ouled Thaleb
14172,Morocco,86,30.0,Bernard Magrez 2010 Kahina Syrah-Grenache (Guerrouane),Bernard Magrez
73357,Morocco,86,30.0,Bernard Magrez 2010 Kahina Syrah-Grenache (Guerrouane),Bernard Magrez
62687,Morocco,85,14.0,Ouled Thaleb 2012 White (Zenata),Ouled Thaleb
