,country,points,price,title,winery
91851,New Zealand,95,100.0,Trinity Hill 2013 Homage Syrah (Hawke's Bay),Trinity Hill
122507,New Zealand,95,79.0,Squawking Magpie 2014 SQM Gimblett Gravels Cabernets/Merlot Red (Hawke's Bay),Squawking Magpie
4623,New Zealand,94,85.0,Te Mata 2014 Coleraine Red (Hawke's Bay),Te Mata
88693,New Zealand,94,69.0,Escarpment 2013 Kupe Single Vineyard Pinot Noir (Martinborough),Escarpment
95452,New Zealand,94,55.0,Ata Rangi 2013 Pinot Noir (Martinborough),Ata Rangi
106818,New Zealand,94,35.0,Paritua 2014 Syrah (Hawke's Bay),Paritua
106840,New Zealand,94,43.0,Escarpment 2014 Pinot Noir (Martinborough),Escarpment
122517,New Zealand,94,75.0,Brancott 2013 Chosen Rows Sauvignon Blanc (Marlborough),Brancott
8097,New Zealand,93,25.0,Clos Henri 2015 Sauvignon Blanc (Marlborough),Clos Henri
8100,New Zealand,93,35.0,Giesen 2013 The Brothers Late Harvest Sauvignon Blanc (Marlborough),Giesen
8119,New Zealand,93,105.0,Craggy Range 2014 Le Sol Gimblett Gravels Syrah (Hawke's Bay),Craggy Range
8122,New Zealand,93,59.0,Escarpment 2014 Pahi Single Vineyard Pinot Noir (Martinborough),Escarpment
11346,New Zealand,93,105.0,Craggy Range 2013 Aroha Te Muna Pinot Noir (Martinborough),Craggy Range
23976,New Zealand,93,42.0,Neudorf 2010 Moutere Chardonnay (Nelson),Neudorf
26664,New Zealand,93,79.0,Felton Road 2008 Block 5 Pinot Noir (Central Otago),Felton Road
33794,New Zealand,93,46.0,Kumeu River 2015 Coddington Chardonnay (Kumeu),Kumeu River
39329,New Zealand,93,32.0,Spy Valley 2012 Envoy Single Vineyard Sauvignon Blanc (Marlborough),Spy Valley
43159,New Zealand,93,35.0,Man O' War 2008 Dreadnought Syrah (Waiheke Island),Man O' War
43902,New Zealand,93,40.0,Felton Road 2015 Bannockburn Riesling (Central Otago),Felton Road
49946,New Zealand,93,50.0,Brancott 2010 Chosen Rows Sauvignon Blanc (Marlborough),Brancott
49957,New Zealand,93,120.0,Trinity Hill 2010 Homage Syrah (Hawke's Bay),Trinity Hill
49958,New Zealand,93,69.0,Ata Rangi 2012 Pinot Noir (Martinborough),Ata Rangi
49972,New Zealand,93,50.0,Cloudy Bay 2011 Te Koko Sauvignon Blanc (Marlborough),Cloudy Bay
51870,New Zealand,93,51.0,Kumeu River 2011 Maté's Vineyard Chardonnay (Kumeu),Kumeu River
70807,New Zealand,93,60.0,Babich 2010 The Patriarch Premium Red Wine Red (Hawke's Bay),Babich
77084,New Zealand,93,45.0,Quartz Reef 2014 Bendigo Single Vineyard Pinot Noir (Central Otago),Quartz Reef
77411,New Zealand,93,39.0,Esk Valley 2013 Winemaker Reserve Gimblett Gravels Syrah (Hawke's Bay),Esk Valley
82722,New Zealand,93,30.0,Trinity Hill 2013 Gimblett Gravels Syrah (Hawke's Bay),Trinity Hill
82730,New Zealand,93,90.0,Squawking Magpie 2013 SQM Gimblett Gravels Cabernets/Merlot Red (Hawke's Bay),Squawking Magpie
82734,New Zealand,93,105.0,Craggy Range 2013 Le Sol Gimblett Gravels Syrah (Hawke's Bay),Craggy Range
92507,New Zealand,93,60.0,Sacred Hill 2014 Deerstalkers Syrah (Hawke's Bay),Sacred Hill
92509,New Zealand,93,50.0,Villa Maria 2014 Reserve Gimblett Gravels Merlot (Hawke's Bay),Villa Maria
94792,New Zealand,93,41.0,Pegasus Bay 2012 Pinot Noir (Waipara Valley),Pegasus Bay
100287,New Zealand,93,55.0,Giesen 2013 The Fuder Single Vineyard Selection Matthews Lane Sauvignon Blanc (Marlborough),Giesen
100290,New Zealand,93,30.0,Te Mata 2013 Cape Crest Sauvignon Blanc (Hawke's Bay),Te Mata
103865,New Zealand,93,33.0,Spy Valley 2014 Envoy Johnson Vineyard Sauvignon Blanc (Marlborough),Spy Valley
104270,New Zealand,93,30.0,Te Mata 2013 Cape Crest Sauvignon Blanc (Hawke's Bay),Te Mata
109761,New Zealand,93,59.0,Escarpment 2014 Pahi Single Vineyard Pinot Noir (Martinborough),Escarpment
110491,New Zealand,93,49.0,Kumeu River 2012 Hunting Hill Chardonnay (Kumeu),Kumeu River
110499,New Zealand,93,45.0,Kumeu River 2011 Hunting Hill Chardonnay (Kumeu),Kumeu River
5225,New Zealand,92,61.0,Villa Maria 2011 Reserve Gimblett Gravels Syrah (Hawke's Bay),Villa Maria
7025,New Zealand,92,55.0,Valli 2008 Bannockburn Vineyard Pinot Noir (Central Otago),Valli
7028,New Zealand,92,50.0,Craggy Range 2007 Sophia Gimblett Gravels Red (Hawke's Bay),Craggy Range
7036,New Zealand,92,,Trinity Hill 2007 The Gimblett Red (Hawke's Bay),Trinity Hill
8291,New Zealand,92,35.0,Trinity Hill 2014 The Gimblett Gimblett Gravels Red (Hawke's Bay),Trinity Hill
8293,New Zealand,92,79.0,Two Paddocks 2015 The Fusilier Proprietor's Reserve Pinot Noir (Central Otago),Two Paddocks
19146,New Zealand,92,23.0,Felton Road 2002 Dry Riesling (Central Otago),Felton Road
20327,New Zealand,92,63.0,Palliser Estate 2014 The Great Ted Pinot Noir (Martinborough),Palliser Estate
20700,New Zealand,92,52.0,Kumeu River 2013 Maté's Vineyard Chardonnay (Kumeu),Kumeu River
20702,New Zealand,92,39.0,Newton Forrest Estate 2013 Cornerstone Gimblett Gravels Red (Hawke's Bay),Newton Forrest Estate
24453,New Zealand,92,23.0,Carrick 2011 Pinot Gris (Central Otago),Carrick
24456,New Zealand,92,55.0,Seresin 2010 Rachel Pinot Noir (Marlborough),Seresin
24464,New Zealand,92,25.0,Greywacke 2011 Pinot Gris (Marlborough),Greywacke
26557,New Zealand,92,29.0,Mission Estate 2013 Jewelstone Syrah (Hawke's Bay),Mission Estate
26780,New Zealand,92,40.0,Sacred Hill 2013 Deerstalkers Syrah (Hawke's Bay),Sacred Hill
26785,New Zealand,92,30.0,Vidal 2014 Reserve Gimblett Gravels Syrah (Hawke's Bay),Vidal
29774,New Zealand,92,35.0,Man O' War 2010 Valhalla Chardonnay (Waiheke Island),Man O' War
29777,New Zealand,92,80.0,Clearview 2009 Endeavour Chardonnay (Hawke's Bay),Clearview
30789,New Zealand,92,,John Forrest Collection 2011 Pinot Noir (Waitaki Valley),John Forrest Collection
33530,New Zealand,92,50.0,Carrick 2009 Pinot Noir (Central Otago),Carrick
36135,New Zealand,92,44.0,Villa Maria 2012 Seddon Pinot Noir (Marlborough),Villa Maria
36143,New Zealand,92,22.0,Dog Point 2014 Sauvignon Blanc (Marlborough),Dog Point
37665,New Zealand,92,31.0,Villa Maria 2007 Clifford Bay Reserve Sauvignon Blanc (Marlborough),Villa Maria
38541,New Zealand,92,52.0,Pegasus Bay 1998 Maestro Cabernet Sauvignon-Merlot (Waipara),Pegasus Bay
44149,New Zealand,92,45.0,Amisfield 2007 Pinot Noir (Central Otago),Amisfield
45718,New Zealand,92,45.0,Kumeu River 2012 Coddington Chardonnay (Kumeu),Kumeu River
48232,New Zealand,92,20.0,Huia 2015 Estate Grown Sauvignon Blanc (Marlborough),Huia
48760,New Zealand,92,29.0,Mission Estate 2013 Jewelstone Syrah (Hawke's Bay),Mission Estate
51046,New Zealand,92,75.0,Giesen 2012 Brookby Rd Single Vineyard Selection Pinot Noir (Marlborough),Giesen
52677,New Zealand,92,25.0,Greywacke 2014 Pinot Gris (Marlborough),Greywacke
52678,New Zealand,92,50.0,Rockburn 2014 Pinot Noir (Central Otago),Rockburn
55991,New Zealand,92,50.0,Rockburn 2013 Pinot Noir (Central Otago),Rockburn
56000,New Zealand,92,55.0,Seresin 2012 Rachel Pinot Noir (Marlborough),Seresin
57635,New Zealand,92,28.0,Mud House 2013 The Woolshed Vineyard Sauvignon Blanc (Marlborough),Mud House
57642,New Zealand,92,29.0,Saint Clair 2013 Wairau Reserve Sauvignon Blanc (Marlborough),Saint Clair
58473,New Zealand,92,30.0,Rockburn 2015 Devil's Staircase Pinot Noir (Central Otago),Rockburn
58484,New Zealand,92,30.0,Mt. Beautiful 2015 Pinot Noir (Canterbury),Mt. Beautiful
58766,New Zealand,92,45.0,Mt. Difficulty 2011 Pinot Noir (Central Otago),Mt. Difficulty
