,winery,avg_score,avgscore2,country,continent
0,Château Climens,98,98,France,Europe
1,Château Pétrus,97,97,France,Europe
2,Domaine des Lambrays,96,96,France,Europe
3,Quinta do Vesuvio,96,96,Portugal,Europe
4,Château Pontet-Canet,95.57142857,95.6,France,Europe
5,Vieux Château Certan,95.33333333,95.3,France,Europe
6,Azelia,95,95,Italy,Europe
7,Cerbaiona,95,95,Italy,Europe
8,Château d'Yquem,95,95,France,Europe
9,Château Léoville Barton,95,95,France,Europe
10,Colgin,95,95,US,North America
11,Domaine Anne Gros,95,95,France,Europe
12,Domaine Michel Lafarge,95,95,France,Europe
13,Eugenio Bocchino,95,95,Italy,Europe
14,Moccagatta,95,95,Italy,Europe
15,Robert Biale,95,95,US,North America
16,Taittinger,95,95,France,Europe
17,Château la Tour Blanche,94.5,94.5,France,Europe
18,Cordero di Montezemolo,94.5,94.5,Italy,Europe
19,Domaine Jean Grivot,94.5,94.5,France,Europe
20,Müller-Catoir,94.5,94.5,Germany,Europe
21,Vieux Château Mazerat,94.5,94.5,France,Europe
22,Château Ducru Beaucaillou,94.4,94.4,France,Europe
23,Château Lynch-Bages,94.33333333,94.3,France,Europe
24,Château Trotanoy,94.33333333,94.3,France,Europe
25,Château Ausone,94.22222222,94.2,France,Europe
26,Billecart-Salmon,94.2,94.2,France,Europe
27,Château Rauzan-Ségla,94.2,94.2,France,Europe
28,Château Latour,94.16666667,94.2,France,Europe
29,Bolney Wine Estate,94,94,England,Europe
30,Bruno Rocca,94,94,Italy,Europe
31,Château de Vaudieu,94,94,France,Europe
32,Château la Fleur-Pétrus,94,94,France,Europe
33,Château Laville Haut-Brion,94,94,France,Europe
34,Château Léoville Poyferré,94,94,France,Europe
35,Coup de Foudre,94,94,US,North America
36,Domaine Isabel Ferrando,94,94,France,Europe
37,Domaine Nicolas Rossignol,94,94,France,Europe
38,Enzo Boglietti,94,94,Italy,Europe
39,La Croix de Beaucaillou,94,94,France,Europe
40,La Mondotte,94,94,France,Europe
41,Laurent-Perrier,94,94,France,Europe
42,Le Dôme,94,94,France,Europe
43,Maynard's,94,94,Portugal,Europe
44,Podere Rocche dei Manzoni,94,94,Italy,Europe
45,Radikon,94,94,Italy,Europe
46,Umberto Fracassi,94,94,Italy,Europe
47,W. & J. Graham's,94,94,Portugal,Europe
48,Weingut Keller,94,94,Germany,Europe
49,Château Palmer,93.875,93.9,France,Europe
50,Château Haut-Brion,93.8,93.8,France,Europe
51,Clos du Marquis,93.8,93.8,France,Europe
52,Château Clos Haut-Peyraguey,93.75,93.8,France,Europe
53,Château Coutet,93.6,93.6,France,Europe
54,Château Rieussec,93.57142857,93.6,France,Europe
55,Château Beau-Séjour Bécot,93.5,93.5,France,Europe
56,Château Bélair-Monange,93.5,93.5,France,Europe
57,Château Certan de May de Certan,93.5,93.5,France,Europe
58,Château de Fargues,93.5,93.5,France,Europe
59,Château le Gay,93.5,93.5,France,Europe
60,Château Valandraud,93.5,93.5,France,Europe
61,Domaine Drouhin-Laroze,93.5,93.5,France,Europe
62,Domaine Parent,93.5,93.5,France,Europe
63,Quintarelli,93.5,93.5,Italy,Europe
64,Timothy Malone,93.5,93.5,US,North America
65,Viberti,93.5,93.5,Italy,Europe
66,Château Margaux,93.44444444,93.4,France,Europe
67,F X Pichler,93.4,93.4,Austria,Europe
68,Château Angélus,93.375,93.4,France,Europe
69,Château Giscours,93.375,93.4,France,Europe
70,Château Pichon Longueville,93.36363636,93.4,France,Europe
71,Château Lafite Rothschild,93.33333333,93.3,France,Europe
72,Clos de Tart,93.33333333,93.3,France,Europe
73,Guastaferro,93.33333333,93.3,Italy,Europe
74,Silvio Grasso,93.33333333,93.3,Italy,Europe
75,Château Fuissé,93.25,93.3,France,Europe
76,Château Hosanna,93.25,93.3,France,Europe
77,Moët & Chandon,93.22222222,93.2,France,Europe
78,Château Pavie,93.2,93.2,France,Europe
79,Domaine de Chevalier,93.15384615,93.2,France,Europe
80,Adi Badenhorst & Duncan Savage,93,93,South Africa,Africa
81,Angerhof Tschida,93,93,Austria,Europe
82,Au Contraire,93,93,US,North America
83,Castello di Spessa,93,93,Italy,Europe
84,Chiesa Carlo,93,93,Italy,Europe
85,Château Belair,93,93,France,Europe
86,Château Canon,93,93,France,Europe
87,Château Cantenac Brown,93,93,France,Europe
88,Château de Malle,93,93,France,Europe
89,Château Edmus,93,93,France,Europe
90,Château Fonbadet,93,93,France,Europe
91,Château Haut-Bailly,93,93,France,Europe
92,Château la Croix du Casse,93,93,France,Europe
93,Château la Gomerie,93,93,France,Europe
94,Château la Tour de Bessan,93,93,France,Europe
95,Château Lafaurie-Peyraguey,93,93,France,Europe
96,Château Lamothe Despujols,93,93,France,Europe
