,country,points,price,title,winery
82754,Argentina,97,120.0,Bodega Catena Zapata 2006 Nicasia Vineyard Malbec (Mendoza),Bodega Catena Zapata
109230,Argentina,96,50.0,Riglos 2009 Gran Corte Las Divas Vineyard Red (Tupungato),Riglos
109840,Argentina,96,48.0,Alta Vista 2013 Single Vineyard Temis Malbec (Mendoza),Alta Vista
8869,Argentina,95,74.0,Pascual Toso 2014 Finca Pedregal Single Vineyard Barrancas Maipú Selected Lots Cabernet Sauvignon-Malbec (Mendoza),Pascual Toso
38984,Argentina,95,62.0,Finca Perdriel 2007 Vineyard Selection Red (Mendoza),Finca Perdriel
78302,Argentina,95,100.0,Terrazas de Los Andes 2009 Single Parcel Los Cerezos Malbec (Luján de Cuyo),Terrazas de Los Andes
78303,Argentina,95,90.0,Colomé 2010 Reserva Malbec (Salta),Colomé
88861,Argentina,95,50.0,Trapiche 2009 Finca Jorge Miralles Single Vineyard Malbec (La Consulta),Trapiche
95070,Argentina,95,48.0,Alta Vista 2012 Single Vineyard Temis Malbec (Valle de Uco),Alta Vista
122027,Argentina,95,225.0,Viña Cobos 2010 Cobos Marchiori Vineyard Malbec (Mendoza),Viña Cobos
126237,Argentina,95,50.0,Vistalba 2007 Corte A Red (Mendoza),Vistalba
4624,Argentina,94,55.0,Trapiche 2012 Terroir Series Finca Ambrosia Single Vineyard Malbec (Uco Valley),Trapiche
4633,Argentina,94,68.0,El Esteco 2013 Chañar Punco Red (Calchaquí Valley),El Esteco
4638,Argentina,94,125.0,Bodega Catena Zapata 2013 Nicolas Catena Zapata Cabernet Sauvignon-Malbec (Mendoza),Bodega Catena Zapata
7851,Argentina,94,48.0,Alta Vista 2012 Single Vineyard Alizarine Malbec (Luján de Cuyo),Alta Vista
7852,Argentina,94,48.0,Alta Vista 2012 Single Vineyard Serenade Malbec (Luján de Cuyo),Alta Vista
7866,Argentina,94,90.0,Viña Cobos 2012 Bramare Marchiori Vineyard Malbec (Luján de Cuyo),Viña Cobos
7867,Argentina,94,90.0,Viña Cobos 2012 Bramare Touza Vineyard Malbec (Luján de Cuyo),Viña Cobos
17727,Argentina,94,50.0,Alta Vista 2010 Temis Single Vineyard Malbec (Mendoza),Alta Vista
17753,Argentina,94,90.0,Viña Cobos 2010 Bramare Marchiori Vineyard Malbec (Mendoza),Viña Cobos
17971,Argentina,94,50.0,Pascual Toso 2014 Alta Barrancas Vineyards Cabernet Sauvignon (Mendoza),Pascual Toso
22371,Argentina,94,140.0,Achaval-Ferrer 2014 Finca Bella Vista Malbec (Mendoza),Achaval-Ferrer
22372,Argentina,94,140.0,Achaval-Ferrer 2014 Finca Mirador Malbec (Mendoza),Achaval-Ferrer
27059,Argentina,94,60.0,Seed 2015 Paraje Altamira Malbec (Mendoza),Seed
32016,Argentina,94,50.0,Alta Vista 2006 Single Vineyard Temis Malbec (Uco Valley),Alta Vista
41423,Argentina,94,70.0,Bodega Rolland 2006 Yacochuya Malbec (Cafayate),Bodega Rolland
42011,Argentina,94,55.0,Trapiche 2008 Viña Jorge Miralles Single Vineyard Malbec (Mendoza),Trapiche
