,country,points,price,title,winery
72991,Brazil,89,36.0,Cave Geisse 2013 Brut Nature Sparkling (Pinto Bandeira),Cave Geisse
79589,Brazil,89,45.0,Cave Geisse 2012 Blanc de Blancs Brut Chardonnay (Pinto Bandeira),Cave Geisse
5852,Brazil,88,36.0,Cave Geisse 2014 Brut Sparkling (Pinto Bandeira),Cave Geisse
25509,Brazil,88,20.0,Casa Perini NV Moscatel (Vale Trentino),Casa Perini
36386,Brazil,88,20.0,Lidio Carraro 2013 Dádivas Chardonnay (Serra Gaúcha),Lidio Carraro
76129,Brazil,88,15.0,Lidio Carraro 2011 Agnus Merlot (Serra Gaúcha),Lidio Carraro
79281,Brazil,88,33.0,Casa Valduga NV 130 Brut  (Brazil),Casa Valduga
43246,Brazil,87,20.0,Casa Perini NV Charmat Brut Rosé Sparkling (Vale Trentino),Casa Perini
55072,Brazil,87,25.0,Cave Geisse NV Cave Amadeu Rosé Brut Pinot Noir (Pinto Bandeira),Cave Geisse
74419,Brazil,87,21.0,Salton 2009 Talento Red (Brazil),Salton
13218,Brazil,86,20.0,Casa Valduga NV Brut 130  (Vale dos Vinhedos),Casa Valduga
15989,Brazil,86,25.0,Cave Geisse NV Cave Amadeu Moscatel (Pinto Bandeira),Cave Geisse
28028,Brazil,86,12.0,Lidio Carraro 2014 Agnus Tannat (Serra Gaúcha),Lidio Carraro
34202,Brazil,86,45.0,Miolo 2011 Lote 43 Merlot-Cabernet Sauvignon (Vale dos Vinhedos),Miolo
52753,Brazil,86,23.0,Casa Valduga 2015 Blush  (Brazil),Casa Valduga
97572,Brazil,86,12.0,Lidio Carraro 2014 Agnus Tannat (Serra Gaúcha),Lidio Carraro
101564,Brazil,86,30.0,Miolo 2012 Millésime Brut  (Vale dos Vinhedos),Miolo
101565,Brazil,86,,Salton NV Intenso Brut Sparkling (Serra Gaúcha),Salton
101575,Brazil,86,60.0,Casa Perini 2012 Quatro Red (Vale Trentino),Casa Perini
104020,Brazil,86,35.0,Villaggio Grando NV Innominabile Lote IV Red (Santa Catarina),Villaggio Grando
20987,Brazil,85,,Salton NV Poética Rosé Sparkling (Brazil),Salton
23883,Brazil,85,15.0,Casa Perini 2014 Macaw Cabernet Sauvignon (Serra Gaúcha),Casa Perini
25068,Brazil,85,23.0,Casa Valduga 2015 Brut  (Brazil),Casa Valduga
25081,Brazil,85,,Salton 2014 Paradoxo Pinot Noir (Campanha),Salton
54026,Brazil,85,33.0,Miolo 2012 Lote 43 Merlot-Cabernet Sauvignon (Vale dos Vinhedos),Miolo
87977,Brazil,85,15.0,Casa Perini 2014 Macaw Merlot (Serra Gaúcha),Casa Perini
94573,Brazil,85,50.0,Pizzato 2005 DNA 99 Single Vineyard Merlot (Vale dos Vinhedos),Pizzato
102206,Brazil,85,12.0,Lidio Carraro 2014 Agnus Merlot (Serra Gaúcha),Lidio Carraro
102209,Brazil,85,15.0,Casa Perini 2016 Macaw Semi-Dry Moscato (Serra Gaúcha),Casa Perini
111297,Brazil,85,15.0,Casa Perini 2016 Macaw Semi-Dry Moscato (Serra Gaúcha),Casa Perini
111301,Brazil,85,12.0,Lidio Carraro 2014 Agnus Merlot (Serra Gaúcha),Lidio Carraro
10565,Brazil,84,,Salton 2013 Intenso Tannat (Campanha),Salton
10579,Brazil,84,,Salton 2013 Intenso Cabernet Franc (Campanha),Salton
51451,Brazil,84,15.0,Casa Perini 2017 Macaw Aromatic Soft Moscato (Serra Gaúcha),Casa Perini
64657,Brazil,84,25.0,Cave Geisse 2009 Brut Sparkling (Pinto Bandeira),Cave Geisse
81076,Brazil,84,15.0,Casa Perini 2014 Macaw Tannat (Serra Gaúcha),Casa Perini
9151,Brazil,83,31.0,Villaggio Grando 2011 Brut Sparkling (Santa Catarina),Villaggio Grando
12669,Brazil,83,20.0,Château Lacave 2002 Reserva Cabernet Sauvignon-Merlot (Serra Gaúcha),Château Lacave
27108,Brazil,83,27.0,Casa Valduga 2006 Gran Reserva Villa-Lobos Cabernet Sauvignon (Vale dos Vinhedos),Casa Valduga
51466,Brazil,83,28.0,Casa Perini 2014 Fração Única Cabernet Sauvignon (Vale Trentino),Casa Perini
64677,Brazil,83,26.0,Salton 2006 Talento Red (Campanha),Salton
14726,Brazil,82,10.0,Aurora Cellars 2004 Proprietary Red Red (Serra Gaúcha),Aurora Cellars
26923,Brazil,82,26.0,Salton NV Gerações Espumante Nature Sparkling (Brazil),Salton
26928,Brazil,82,15.0,Lidio Carraro 2010 Agnus Encruzilhada do Sul Merlot (Serra do Sudeste),Lidio Carraro
26933,Brazil,82,15.0,Vinícola Aurora NV Carnaval Moscato (Brazil),Vinícola Aurora
27112,Brazil,82,15.0,Vinícola Aurora 2011 Aurora Cellars Reserva Tannat (Serra Gaúcha),Vinícola Aurora
89722,Brazil,82,15.0,Lidio Carraro 2014 Da'Divas Chardonnay (Serra Gaúcha),Lidio Carraro
14734,Brazil,81,36.0,Casa Valduga 2007 Gran Reserva Cabernet Sauvignon (Vale dos Vinhedos),Casa Valduga
89726,Brazil,81,15.0,Casa Perini 2016 Macaw Smooth Merlot (Vale Trentino),Casa Perini
14739,Brazil,80,20.0,Lidio Carraro 2010 Da'divas Chardonnay (Vale dos Vinhedos),Lidio Carraro
89727,Brazil,80,15.0,Casa Perini 2015 Macaw Soft Tannat (Serra Gaúcha),Casa Perini
93688,Brazil,80,25.0,Miolo 2009 Cuvée Giuseppe Chardonnay (Vale dos Vinhedos),Miolo
