,country,points,price,title,winery
35926,Bulgaria,91,30.0,Castra Rubra 2010 CR Red (Thracian Valley),Castra Rubra
47136,Bulgaria,91,55.0,Bessa 2011 Grande Cuvée Red (Thracian Valley),Bessa
47138,Bulgaria,91,23.0,Chateau Burgozone 2012 Collection Chardonnay (Danube River Plains),Chateau Burgozone
103251,Bulgaria,91,25.0,Castra Rubra 2011 Butterfly's Rock Red (Thracian Valley),Castra Rubra
7933,Bulgaria,90,11.0,Bulgariana 2012 Cabernet Sauvignon (Thracian Valley),Bulgariana
7938,Bulgaria,90,14.0,Chateau Burgozone 2014 Chardonnay (Danube River Plains),Chateau Burgozone
16736,Bulgaria,90,16.0,Edoardo Miroglio 2012 EM Mavrud (Thracian Valley),Edoardo Miroglio
23151,Bulgaria,90,11.0,K Cellars 2011 Pinot Noir (Thracian Valley),K Cellars
23152,Bulgaria,90,14.0,K Cellars 2011 Red (Thracian Valley),K Cellars
26819,Bulgaria,90,17.0,Chateau Burgozone 2014 Pinot Noir (Danube River Plains),Chateau Burgozone
30045,Bulgaria,90,11.0,K Cellars 2012 Cabernet Sauvignon (Thracian Valley),K Cellars
31585,Bulgaria,90,14.0,Bulgariana 2011 Pinot Noir (Thracian Valley),Bulgariana
44434,Bulgaria,90,12.0,K Cellars 2015 Chardonnay (Thracian Valley),K Cellars
45955,Bulgaria,90,15.0,Bessa 2009 Enira Red (Thracian Valley),Bessa
45956,Bulgaria,90,24.0,Bessa 2009 Enira Reserva Red (Thracian Valley),Bessa
45958,Bulgaria,90,14.0,Bulgariana 2011 Cabernet Sauvignon-Syrah (Thracian Valley),Bulgariana
45967,Bulgaria,90,14.0,Chateau Burgozone 2012 Cabernet Sauvignon (Danube River Plains),Chateau Burgozone
45968,Bulgaria,90,14.0,Chateau Burgozone 2012 Pinot Noir (Danube River Plains),Chateau Burgozone
61181,Bulgaria,90,28.0,Castra Rubra 2013 Nimbus Premium Syrah (Thracian Valley),Castra Rubra
83645,Bulgaria,90,14.0,Chateau Burgozone 2012 Chardonnay (Danube River Plains),Chateau Burgozone
88129,Bulgaria,90,15.0,Villa Melnik 2012 Bergulé Mavrud (Bulgaria),Villa Melnik
105611,Bulgaria,90,15.0,Bessa 2010 Enira Red (Thracian Valley),Bessa
105612,Bulgaria,90,13.0,Bessa 2010 Petit Enira Merlot (Thracian Valley),Bessa
105620,Bulgaria,90,11.0,K Cellars 2011 Pinot Noir (Thracian Valley),K Cellars
105621,Bulgaria,90,14.0,K Cellars 2011 Red (Thracian Valley),K Cellars
113937,Bulgaria,90,17.0,Chateau Burgozone 2014 Pinot Noir (Danube River Plains),Chateau Burgozone
113952,Bulgaria,90,13.0,Bulgariana 2015 Sauvignon Blanc (Thracian Valley),Bulgariana
113957,Bulgaria,90,17.0,Chateau Burgozone 2015 Chardonnay (Danube River Plains),Chateau Burgozone
119450,Bulgaria,90,100.0,Midalidare 2012 Reserve Red (Thracian Valley),Midalidare
119793,Bulgaria,90,12.0,Bulgariana 2015 Unoaked Chardonnay (Thracian Valley),Bulgariana
124499,Bulgaria,90,11.0,Domaine Boyar 2013 Reserve Cabernet Sauvignon (Thracian Valley),Domaine Boyar
127621,Bulgaria,90,11.0,Domaine Boyar 2013 Reserve Cabernet Sauvignon (Thracian Valley),Domaine Boyar
129591,Bulgaria,90,28.0,Castra Rubra 2013 Nimbus Premium Pinot Noir (Thracian Valley),Castra Rubra
10026,Bulgaria,89,14.0,Bulgariana 2008 Imperial Red (Thracian Valley),Bulgariana
11143,Bulgaria,89,11.0,K Cellars 2015 Sauvignon Blanc (Thracian Valley),K Cellars
14374,Bulgaria,89,26.0,Villa Yustina 2012 Monogram Mavrud and Rubin Red (Thracian Valley),Villa Yustina
21815,Bulgaria,89,15.0,Katarzyna 2013 Twins Cabernet Sauvignon (Thracian Valley),Katarzyna
24103,Bulgaria,89,11.0,K Cellars 2015 Sauvignon Blanc (Thracian Valley),K Cellars
25484,Bulgaria,89,12.0,Domaine Boyar 2015 Reserve Merlot (Thracian Valley),Domaine Boyar
31606,Bulgaria,89,14.0,Chateau Burgozone 2011 Cabernet Sauvignon (Danube River Plains),Chateau Burgozone
32357,Bulgaria,89,40.0,Midalidare 2013 Grand Vintage Mogilovo Single Vineyard Malbec (Thracian Valley),Midalidare
32431,Bulgaria,89,14.0,Bulgariana 2009 Imperial Red (Thracian Valley),Bulgariana
32443,Bulgaria,89,14.0,K Cellars 2009 Red (Thracian Valley),K Cellars
32444,Bulgaria,89,15.0,Katarzyna 2013 Halla Merlot (Thracian Valley),Katarzyna
32445,Bulgaria,89,12.0,Katarzyna 2013 Mezzek Red (Thracian Valley),Katarzyna
36128,Bulgaria,89,16.0,Chateau Burgozone 2013 Côte de Danube Pinot Noir (Danube River Plains),Chateau Burgozone
41689,Bulgaria,89,14.0,Bulgariana 2008 Imperial Red (Thracian Valley),Bulgariana
42603,Bulgaria,89,20.0,Castra Rubra 2010 Pendar Red (Thracian Valley),Castra Rubra
42622,Bulgaria,89,16.0,Castra Rubra 2011 Motley Cock Red (Thracian Valley),Castra Rubra
64372,Bulgaria,89,12.0,K Cellars 2014 Chardonnay (Thracian Valley),K Cellars
64730,Bulgaria,89,11.0,Bulgariana 2012 Merlot (Thracian Valley),Bulgariana
64731,Bulgaria,89,11.0,Bulgariana 2013 Chardonnay (Thracian Valley),Bulgariana
66843,Bulgaria,89,14.0,Chateau Burgozone 2014 Viognier (Danube River Plains),Chateau Burgozone
66860,Bulgaria,89,16.0,Quadratus 2011 Cabernet Franc (Thracian Valley),Quadratus
68333,Bulgaria,89,19.0,Logodaj 2015 Bijoux White (Thracian Valley),Logodaj
68339,Bulgaria,89,18.0,Bratanov 2013 South Sakar Selection Merlot-Syrah (Thracian Valley),Bratanov
68340,Bulgaria,89,20.0,Bratanov 2015 Single Vineyard Tamianka (Thracian Valley),Bratanov
72556,Bulgaria,89,17.0,Minkov Brothers 2013 Tradition Since 1875 Cabernet Sauvignon (Thracian Valley),Minkov Brothers
75084,Bulgaria,89,17.0,Manastira 2013 Ilaya Reserve Mavrud (Thracian Valley),Manastira
79601,Bulgaria,89,12.0,Domaine Boyar 2016 Traminer (Thracian Valley),Domaine Boyar
79818,Bulgaria,89,16.0,Edoardo Miroglio 2014 Bio Made with Organic Grapes Mavrud and Rubin Red (Thracian Valley),Edoardo Miroglio
79819,Bulgaria,89,16.0,Edoardo Miroglio 2014 Sant'ilia Merlot and Mavrud Red (Thracian Valley),Edoardo Miroglio
81833,Bulgaria,89,12.0,Katarzyna 2013 Mezzek Mavrud (Thracian Valley),Katarzyna
81883,Bulgaria,89,10.0,Bulgariana 2011 Cabernet Sauvignon (Thracian Valley),Bulgariana
81885,Bulgaria,89,14.0,Chateau Burgozone 2012 Viognier (Danube River Plains),Chateau Burgozone
83739,Bulgaria,89,17.0,Castra Rubra 2008 Via Diagonalis Red (Thracian Valley),Castra Rubra
84701,Bulgaria,89,16.0,Edoardo Miroglio 2015 Bio Viognier And Traminer Made With Organic Grapes White (Thracian Valley),Edoardo Miroglio
95495,Bulgaria,89,24.0,Ivo Varbanov 2011 Feux d'artifice Syrah (Thracian Valley),Ivo Varbanov
98078,Bulgaria,89,16.0,Chateau Burgozone 2015 Côte de Danube Viognier (Danube River Plains),Chateau Burgozone
98084,Bulgaria,89,20.0,Domaine Boyar 2015 Quantum Chardonnay (Danube River Plains),Domaine Boyar
98090,Bulgaria,89,16.0,F2F 2015 Chardonnay (Thracian Valley),F2F
105633,Bulgaria,89,11.0,K Cellars 2012 Merlot (Thracian Valley),K Cellars
109976,Bulgaria,89,12.0,Villa Yambol 2013 Reserve Cabernet Sauvignon (Thracian Valley),Villa Yambol
109985,Bulgaria,89,11.0,Bulgariana 2015 Gamza (Danube River Plains),Bulgariana
118178,Bulgaria,89,14.0,Chateau Burgozone 2011 Pinot Noir (Danube River Plains),Chateau Burgozone
127918,Bulgaria,89,20.0,Castra Rubra 2010 Via Diagonalis Red (Thracian Valley),Castra Rubra
9892,Bulgaria,88,10.0,Domaine Boyar 2015 Traminer (Thracian Valley),Domaine Boyar
14525,Bulgaria,88,9.0,Vini 2015 Veni Vidi Vici Pinot Grigio (Thracian Valley),Vini
20884,Bulgaria,88,10.0,Vini 2012 Veni Vidi Vici Pinot Noir (Thracian Valley),Vini
30615,Bulgaria,88,9.0,Vini 2013 Veni Vidi Vici Chardonnay (Thracian Valley),Vini
47553,Bulgaria,88,16.0,F2F 2014 Red (Thracian Valley),F2F
85939,Bulgaria,88,14.0,Manastira 2015 Just Young Mavrud (Thracian Valley),Manastira
99196,Bulgaria,88,16.0,Manastira 2016 Riverside Chardonnay (Thracian Valley),Manastira
107421,Bulgaria,88,15.0,Quadratus 2011 Pinot Noir (Danube River Plains),Quadratus
107442,Bulgaria,88,15.0,Quadratus 2011 Merlot (Thracian Valley),Quadratus
111204,Bulgaria,88,10.0,Vini 2012 Veni Vidi Vici Pinot Noir (Thracian Valley),Vini
124367,Bulgaria,88,17.0,Minkov Brothers 2013 Tradition Since 1875 Cuvée Red (Thracian Valley),Minkov Brothers
124368,Bulgaria,88,19.0,Minkov Brothers 2014 Le Photographe Syrah (Thracian Valley),Minkov Brothers
126849,Bulgaria,88,17.0,Castra Rubra 2011 Via Diagonalis White (Thracian Valley),Castra Rubra
8177,Bulgaria,87,22.0,Minkov Brothers 2011 Le Photographe Rheinriesling Riesling (Thracian Valley),Minkov Brothers
8178,Bulgaria,87,22.0,Minkov Brothers 2014 Le Photographe Cabernet Franc (Thracian Valley),Minkov Brothers
9496,Bulgaria,87,8.0,Vini 2009 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Vini
12433,Bulgaria,87,9.0,Domaine Boyar 2009 Reserve Cabernet Sauvignon (Thracian Valley),Domaine Boyar
18220,Bulgaria,87,8.0,Vini 2009 Veni Vidi Vici Merlot (Thracian Valley),Vini
25923,Bulgaria,87,9.0,Domaine Boyar 2009 Reserve Cabernet Sauvignon (Thracian Valley),Domaine Boyar
40411,Bulgaria,87,9.0,Vini 2015 Veni Vidi Vici Sauvignon Blanc (Thracian Valley),Vini
43446,Bulgaria,87,9.0,Vini 2013 Veni Vidi Vici Merlot (Thracian Valley),Vini
48409,Bulgaria,87,9.0,Vini 2013 Veni Vidi Vici Pinot Noir-Syrah Rosé (Thracian Valley),Vini
49072,Bulgaria,87,9.0,Vini 2013 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Vini
67058,Bulgaria,87,19.0,Ivo Varbanov 2013 Clare de Lune Chardonnay (Thracian Valley),Ivo Varbanov
