,country,points,price,title,winery
45270,Cyprus,89,21.0,Tsiakkas 2014 Xynisteri (Lemesos),Tsiakkas
73397,Cyprus,89,20.0,Etko 2000 St. Nicholas Xinisteri (Commandaria),Etko
122664,Cyprus,89,17.0,Loel NV Alasia Dessert Wine Red (Commandaria),Loel
73557,Cyprus,88,14.0,Chrysorroyiatissa 2010 Ayios Andronicos White (Pafos),Chrysorroyiatissa
87069,Cyprus,88,14.0,Chrysorroyiatissa 2010 Ayios Andronicos White (Pafos),Chrysorroyiatissa
25472,Cyprus,87,15.0,Panayia 2008 Alina Medium Dry White Wine White (Cyprus),Panayia
43122,Cyprus,87,11.0,Chrysorroyiatissa 2007 Ayios Andronicos White (Cyprus),Chrysorroyiatissa
112131,Cyprus,87,18.0,Kathikac 2007 Agios Onoufrios Red (Kathikas),Kathikac
7568,Cyprus,85,17.0,Chrysorroyiatissa 2008 Ayios Andronicos White (Cyprus),Chrysorroyiatissa
24118,Cyprus,85,16.0,Tsiakkas 2004 Vamvakada Red (Pitsilia Mountains),Tsiakkas
30663,Cyprus,85,16.0,K&K; Vasilikon 2010 Xynisteri (Pafos),K&K; Vasilikon
