,country,points,price,title,winery
9909,England,95,70.0,Nyetimber 2010 Blanc de Blancs Chardonnay (England),Nyetimber
60002,England,95,80.0,Sugrue Pierre Ltd. 2010 The Trouble with Dreams Sparkling (England),Sugrue Pierre Ltd.
60027,England,95,50.0,Chapel Down 2011 Three Graces Sparkling (England),Chapel Down
22369,England,94,65.0,Nyetimber NV Rosé Sparkling (England),Nyetimber
45590,England,94,,Bolney Wine Estate 2009 Blanc de Blancs Chardonnay (England),Bolney Wine Estate
70570,England,94,,Bolney Wine Estate 2009 Blanc de Blancs Chardonnay (England),Bolney Wine Estate
70579,England,94,44.0,Wiston Estate Winery 2011 Rosé Sparkling (England),Wiston Estate Winery
70597,England,94,45.0,Hattingley Valley Wines 2010 Blanc de Blancs Chardonnay (England),Hattingley Valley Wines
84240,England,94,80.0,Gusbourne Estate 2013 Blanc de Blancs Chardonnay (England),Gusbourne Estate
84241,England,94,56.0,Hoffmann & Rathbone 2011 Blanc de Blancs Chardonnay (England),Hoffmann & Rathbone
103173,England,94,49.0,Wiston Estate Winery 2010 Blanc de Blancs Chardonnay (England),Wiston Estate Winery
103174,England,94,38.0,Ridgeview Estate 2009 South Ridge Cuvée Merret Brut Sparkling (England),Ridgeview Estate
115311,England,94,40.0,Wiston Estate Winery 2013 Cuvée Brut Sparkling (England),Wiston Estate Winery
115312,England,94,44.0,Wiston Estate Winery 2014 Rosé Sparkling (England),Wiston Estate Winery
115319,England,94,85.0,Bride Valley Vineyard 2014 Rosé Bella Sparkling (England),Bride Valley Vineyard
115329,England,94,50.0,Exton Park Vineyard 2011 Blanc de Blancs Chardonnay (England),Exton Park Vineyard
27356,England,93,80.0,Gusbourne Estate 2013 Brut Rosé Pinot Noir (England),Gusbourne Estate
54131,England,93,43.0,Exton Park Vineyard NV Rosé Sparkling (England),Exton Park Vineyard
54133,England,93,60.0,Gusbourne Estate 2013 Brut Reserve Sparkling (England),Gusbourne Estate
112249,England,93,55.0,Nyetimber NV Classic Cuvée Sparkling (England),Nyetimber
112252,England,93,43.0,Exton Park Vineyard NV Blanc de Noirs Pinot Noir (England),Exton Park Vineyard
112263,England,93,50.0,Bolney Wine Estate 2014 Cuvée Rosé Brut Pinot Noir (England),Bolney Wine Estate
112264,England,93,75.0,Bride Valley Vineyard 2014 Brut Reserve Sparkling (England),Bride Valley Vineyard
124898,England,93,80.0,Gusbourne Estate 2011 Blanc de Blancs Chardonnay (England),Gusbourne Estate
27364,England,92,50.0,Camel Valley 2014 Rosé Brut Pinot Noir (England),Camel Valley
