,country,points,price,title,winery
36528,France,100,259.0,Krug 2002 Brut  (Champagne),Krug
58352,France,100,150.0,Château Léoville Barton 2010  Saint-Julien,Château Léoville Barton
89728,France,100,250.0,Louis Roederer 2008 Cristal Vintage Brut  (Champagne),Louis Roederer
89729,France,100,617.0,Salon 2006 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Salon
111753,France,100,1500.0,Château Lafite Rothschild 2010  Pauillac,Château Lafite Rothschild
111755,France,100,1500.0,Château Cheval Blanc 2010  Saint-Émilion,Château Cheval Blanc
111756,France,100,359.0,Château Léoville Las Cases 2010  Saint-Julien,Château Léoville Las Cases
122935,France,100,848.0,Château Haut-Brion 2014  Pessac-Léognan,Château Haut-Brion
36529,France,99,800.0,Krug 2002 Clos du Mesnil Brut Blanc de Blancs Chardonnay (Champagne),Krug
41835,France,99,159.0,Domaine Huët 2009 Cuvée Constance 500ml  (Vouvray),Domaine Huët
98375,France,99,560.0,Domaine Leflaive 2010  Bâtard-Montrachet,Domaine Leflaive
111757,France,99,,Château Ausone 2010  Saint-Émilion,Château Ausone
111758,France,99,,Château Latour 2010  Pauillac,Château Latour
116093,France,99,,Château d'Yquem 2009 Barrel sample  (Sauternes),Château d'Yquem
116094,France,99,,Château Palmer 2009 Barrel sample  (Margaux),Château Palmer
116095,France,99,,Château Pontet-Canet 2009 Barrel sample  (Pauillac),Château Pontet-Canet
1558,France,98,1900.0,Château Margaux 2009  Margaux,Château Margaux
1559,France,98,380.0,Château Palmer 2009  Margaux,Château Palmer
27591,France,98,367.0,Louis Jadot 2014  Bâtard-Montrachet,Louis Jadot
36530,France,98,520.0,Salon 2004 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Salon
39288,France,98,800.0,Château Haut-Brion 2007  Pessac-Léognan,Château Haut-Brion
45985,France,98,70.0,Château Climens 2014  Barsac,Château Climens
48895,France,98,,Domaine des Lambrays 2005  Clos de Lambrays,Domaine des Lambrays
48896,France,98,134.0,Louis Jadot 2005  Charmes-Chambertin,Louis Jadot
48897,France,98,319.0,Clos de Tart 2005  Clos de Tart,Clos de Tart
