,country,points,price,title,winery
40429,Georgia,92,25.0,Alaverdi Monastery Cellar 2010 Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine Rkatsiteli (Kakheti),Alaverdi Monastery Cellar
14745,Georgia,90,15.0,Dilao 2015 Saperavi (Kakheti),Dilao
14756,Georgia,90,20.0,Teliani Valley 2015 Semi-Sweet Khvanchkara Red (Georgia),Teliani Valley
15420,Georgia,90,28.0,Orgo 2015 Saperavi (Kakheti),Orgo
43465,Georgia,90,20.0,Teliani Valley 2015 Semi-Sweet Khvanchkara Red (Georgia),Teliani Valley
44436,Georgia,90,15.0,Kindzmarauli Marani 2013 Saperavi (Kakheti),Kindzmarauli Marani
56204,Georgia,90,15.0,Tbilvino 2014 Georgian Valleys Saperavi (Kakheti),Tbilvino
85285,Georgia,90,28.0,Orgo 2015 Saperavi (Kakheti),Orgo
85301,Georgia,90,28.0,Antadze 2014 Kvevri Wine Saperavi (Kakheti),Antadze
92579,Georgia,90,25.0,Antadze 2010 Kvevri Wine Mtsvane (Kakheti),Antadze
114389,Georgia,90,18.0,Marani 2013 Kondoli Single Vineyard Saperavi (Kakheti),Marani
114390,Georgia,90,18.0,Marani 2013 Kondoli Single Vineyard Saperavi-Merlot (Kakheti),Marani
119802,Georgia,90,17.0,Kindzmarauli Marani 2013 Kakhetian Royal White (Kakheti),Kindzmarauli Marani
121450,Georgia,90,17.0,Teliani Valley 2013 Kindzmarauli Saperavi (Kakheti),Teliani Valley
124175,Georgia,90,17.0,Kindzmarauli Marani 2014 Kindzmarauli Original Saperavi (Kakheti),Kindzmarauli Marani
124723,Georgia,90,34.0,Shalauri Cellars 2013 Saperavi (Kakheti),Shalauri Cellars
124726,Georgia,90,16.0,Teliani Valley 2013 Mukuzani Saperavi (Kakheti),Teliani Valley
126727,Georgia,90,18.0,Pheasant's Tears 2009 Dry Unfiltered Amber Wine Rkatsiteli (Kakheti),Pheasant's Tears
36120,Georgia,89,19.0,Schuchmann Wines 2014 Vinoterra Kisi (Kakheti),Schuchmann Wines
58654,Georgia,89,29.0,Our Wine 2013 Vineyard Tsarapi Rkatsiteli (Kakheti),Our Wine
65919,Georgia,89,28.0,Shalauri Cellars 2013 Rkatsiteli (Kakheti),Shalauri Cellars
65938,Georgia,89,13.0,Schuchmann Wines 2014 Saperavi (Kakheti),Schuchmann Wines
65939,Georgia,89,27.0,Shumi Winery NV Zigu Other (Kakheti),Shumi Winery
72558,Georgia,89,21.0,Orgo 2014 Rkatsiteli (Kakheti),Orgo
75112,Georgia,89,18.0,Tbilvino 2014 Georgian Valleys Kindzmarauli Saperavi (Kakheti),Tbilvino
79817,Georgia,89,20.0,Doqi 2014 Saperavi (Georgia),Doqi
79835,Georgia,89,19.0,Schuchmann Wines 2014 Vinoterra Kisi (Kakheti),Schuchmann Wines
83060,Georgia,89,39.0,Jakeli Wines 2012 Unfiltered Saperavi (Kakheti),Jakeli Wines
85081,Georgia,89,18.0,Dergi 2007 Qvevri Dry Unfiltered White Wine Rkatsiteli (Kakheti),Dergi
95476,Georgia,89,13.0,Schuchmann Wines 2014 Saperavi (Kakheti),Schuchmann Wines
95477,Georgia,89,27.0,Shumi Winery NV Zigu Other (Kakheti),Shumi Winery
100717,Georgia,89,,Schuchmann Wines 2014 Rkatsiteli (Kakheti),Schuchmann Wines
100718,Georgia,89,15.0,Shumi Winery 2014 Saperavi (Kakheti),Shumi Winery
105078,Georgia,89,14.0,Marani 2014 Kondoli Single Vineyard Mtsvane-Kisi White (Kakheti),Marani
4048,Georgia,88,12.0,Wine Man 2014 Mukuzani Saperavi (Kakheti),Wine Man
5416,Georgia,88,20.0,Danieli 2014 Premium Kisi (Kakheti),Danieli
14018,Georgia,88,28.0,Orgo 2014 Saperavi (Kakheti),Orgo
14028,Georgia,88,11.0,Schuchmann Wines 2014 Pirosmani Saperavi (Kakheti),Schuchmann Wines
14029,Georgia,88,13.0,Shumi Winery 2013 Tsinandali White (Kakheti),Shumi Winery
21137,Georgia,88,12.0,Wine Man 2014 Mukuzani Saperavi (Kakheti),Wine Man
39604,Georgia,88,14.0,Telavi 2008 Marani Mukuzani Saperavi (Kakheti),Telavi
45484,Georgia,88,15.0,Marani 2009 Kvareli Saperavi (Kakheti),Marani
45486,Georgia,88,22.0,Wine Man 2013 Khvanchkara Semi-Sweet Red (Kakheti),Wine Man
49419,Georgia,88,23.0,Doqi 2014 Qveri Kisi (Georgia),Doqi
53200,Georgia,88,16.0,Telavi 2009 Marani Kondoli Vineyards Saperavi (Kakheti),Telavi
66435,Georgia,88,13.0,Kindzmarauli Marani 2014 Rkatsiteli (Kakheti),Kindzmarauli Marani
88510,Georgia,88,13.0,Kindzmarauli Marani 2014 Mtsvane (Kakheti),Kindzmarauli Marani
92669,Georgia,88,21.0,Doqi 2014 Qveri Rkatsiteli (Georgia),Doqi
97082,Georgia,88,30.0,Our Wine 2015 Vineyard Akhoebi Saperavi (Kakheti),Our Wine
98524,Georgia,88,25.0,Our Wine 2010 Vineyard Akhoebi Rkatsiteli (Kakheti),Our Wine
122491,Georgia,88,24.0,Vinoterra 2014 Saperavi (Kakheti),Vinoterra
11111,Georgia,87,12.0,Tbilvino 2014 Georgian Valleys Alazani Valley Rkatsiteli (Kakheti),Tbilvino
19250,Georgia,87,12.0,Tbilvino 2014 Georgian Valleys Alazani Valley Rkatsiteli (Kakheti),Tbilvino
22991,Georgia,87,10.0,Wine Man 2010 Saperavi (Kakheti),Wine Man
25942,Georgia,87,35.0,Telavi 2008 Satrapezo Saperavi (Kakheti),Telavi
25943,Georgia,87,9.0,Telavi 2010 Marani Rkatsiteli-Chardonnay White (Kakheti),Telavi
36326,Georgia,87,12.0,Teliani Valley 2014 Saperavi (Kakheti),Teliani Valley
39239,Georgia,87,18.0,Iago's Wine 2010 Chardakhi White Dry With Skin Contact Unfiltered Chinuri (Georgia),Iago's Wine
39335,Georgia,87,15.0,Doqi 2015 Rkatsiteli (Georgia),Doqi
40843,Georgia,87,10.0,Tbilvino 2015 Sachino Red (Kakheti),Tbilvino
49533,Georgia,87,15.0,Doqi 2015 Rkatsiteli (Georgia),Doqi
53342,Georgia,87,30.0,Telavi 2009 Satrapezo 10 Qvevri Rkatsiteli (Kakheti),Telavi
66077,Georgia,87,15.0,Kindzmarauli Marani 2014 Kisi (Kakheti),Kindzmarauli Marani
75816,Georgia,87,21.0,Vita Vinea 2015 Dakishvili Family Vineyard Saperavi (Kakheti),Vita Vinea
78558,Georgia,87,,Schuchmann Wines 2014 Mtsvane (Kakheti),Schuchmann Wines
78560,Georgia,87,12.0,Teliani Valley 2013 Tsinandali White (Kakheti),Teliani Valley
88770,Georgia,87,20.0,Bagrationi 1882 2007 Reserve Brut Sparkling (Georgia),Bagrationi 1882
95671,Georgia,87,11.0,Marani 2014 Tsinandali White (Kakheti),Marani
106628,Georgia,87,35.0,Telavi 2008 Satrapezo Saperavi (Kakheti),Telavi
106629,Georgia,87,9.0,Telavi 2010 Marani Rkatsiteli-Chardonnay White (Kakheti),Telavi
22033,Georgia,86,15.0,Doqi 2015 Mtsvane (Georgia),Doqi
79266,Georgia,86,12.0,Schuchmann Wines 2015 Compass Rosé (Kakheti),Schuchmann Wines
104006,Georgia,86,10.0,Telavi 2009 Marani Tsinandali White (Kakheti),Telavi
23905,Georgia,85,12.0,Tbilvino 2015 Georgian Valleys Rkatsiteli (Kakheti),Tbilvino
29544,Georgia,84,40.0,Telavi 2007 Satrapezo Saperavi (Kakheti),Telavi
29557,Georgia,84,35.0,Telavi 2007 Satrapezo 10 Kvevri Rkatsiteli (Kakheti),Telavi
72430,Georgia,84,17.0,Telavi 2007 Marani Kondoli Vineyards Saperavi-Merlot (Kakheti),Telavi
75300,Georgia,84,30.0,Our Wine 2015 Vineyard Tsarapi Rkatsiteli (Kakheti),Our Wine
81083,Georgia,84,14.0,Marani 2013 Kondoli Single Vineyard Rkatsiteli Rkatsiteli (Kakheti),Marani
108297,Georgia,84,10.0,Bagrationi 1882 2007 Classic Brut Sparkling (Georgia),Bagrationi 1882
110970,Georgia,84,28.0,Gotsa Family Wines 2015 Dry Unfiltered Chinuri (Georgia),Gotsa Family Wines
110978,Georgia,84,14.0,Dilao 2015 White (Kakheti),Dilao
34522,Georgia,83,14.0,Telavi 2008 Marani Kondoli Vineyards Rkatsiteli (Kakheti),Telavi
57259,Georgia,83,10.0,Bagrationi 1882 NV Classic Extra Dry Sparkling (Georgia),Bagrationi 1882
113322,Georgia,83,25.0,Vita Vinea 2015 Amber Dry Dakishvili Family Vineyards Kisi (Kakheti),Vita Vinea
113334,Georgia,82,30.0,Our Wine 2015 Vineyard Akhoebi Rkatsiteli (Kakheti),Our Wine
