,country,points,price,title,winery
16522,Germany,98,775.0,Robert Weil 2015 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Robert Weil
347,Germany,97,775.0,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Robert Weil
14344,Germany,97,,Müller-Catoir 2007 Breumel in den Mauren Trockenbeerenauslese Riesling (Pfalz),Müller-Catoir
67097,Germany,97,486.0,Schloss Johannisberger 2006 Trockenbeerenauslese Goldlack Riesling (Rheingau),Schloss Johannisberger
102484,Germany,97,440.0,S.A. Prüm 2006 Wehlener Sonnenuhr Trockenbeerenauslese Erste Lage Riesling (Mosel),S.A. Prüm
117028,Germany,97,445.0,Schloss Johannisberger 2009 Trockenbeerenauslese Riesling (Rheingau),Schloss Johannisberger
117029,Germany,97,612.0,Robert Weil 2009 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Robert Weil
127371,Germany,97,245.0,Geh. Rat Dr. von Bassermann-Jordan 2008 Deidesheimer Hohenmorgen Trockenbeerenauslese - 375 ml Riesling (Pfalz),Geh. Rat Dr. von Bassermann-Jordan
128266,Germany,97,250.0,Dr. Pauly Bergweiler 2007 Bernkasteler Badstube Trockenbeerenauslese Riesling (Mosel-Saar-Ruwer),Dr. Pauly Bergweiler
354,Germany,96,365.0,Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Robert Weil
16525,Germany,96,316.0,Domdechant Werner 2015 Hochheimer Domdechaney Trockenbeerenauslese Grosse Lage Riesling (Rheingau),Domdechant Werner
31403,Germany,96,388.0,Maximin Grünhäuser 2015 Abtsberg Beerenauslese Grosse Lage Riesling (Mosel),Maximin Grünhäuser
31405,Germany,96,365.0,Robert Weil 2015 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Robert Weil
36483,Germany,96,53.0,Karl Erbes 2006 Ürziger Würzgarten Auslese * * * Goldkap Riesling (Mosel-Saar-Ruwer),Karl Erbes
67098,Germany,96,160.0,Dr. H. Thanisch (Erben Müller-Burggraef) 2006 Berncasteler Doctor Beerenauslese Goldkap Riesling (Mosel-Saar-Ruwer),Dr. H. Thanisch (Erben Müller-Burggraef)
74888,Germany,96,220.0,Castell 2012 Casteller Kugelspiel Eiswein Silvaner (Franken),Castell
102486,Germany,96,150.0,Thörle 2011 Saulheimer Hölle Trockenbeerenauslese Riesling (Rheinhessen),Thörle
102487,Germany,96,200.0,S.A. Prüm 2006 Wehlener Sonnenuhr Beerenauslese Erste Lage Riesling (Mosel),S.A. Prüm
112663,Germany,96,95.0,Dr. Pauly Bergweiler 2009 Bernkasteler Johannisbrünnchen Eiswein Riesling (Mosel),Dr. Pauly Bergweiler
117031,Germany,96,271.0,Domdechant Werner 2009 Hochheimer Domdechaney Beerenauslese Riesling (Rheingau),Domdechant Werner
