,country,points,price,title,winery
88685,Israel,94,25.0,Recanati 2011 Reserve David Vineyard Cabernet Sauvignon (Galilee),Recanati
50260,Israel,93,30.0,Jezreel 2014 Adumim Dry Red (Israel),Jezreel
50702,Israel,93,80.0,Domaine du Castel 2012 Grand Vin Red (Judean Hills),Domaine du Castel
51853,Israel,93,40.0,Shiloh Winery 2010 Legend Red (Judean Hills),Shiloh Winery
51869,Israel,93,25.0,Dalton 2012 Oak Aged Petite Sirah (Samson),Dalton
70811,Israel,93,40.0,Shiloh Winery 2010 Legend Red (Judean Hills),Shiloh Winery
86169,Israel,93,25.0,Dalton 2014 Alma Red (Galilee),Dalton
90372,Israel,93,,Tabor 2010 Adama Merlot (Galilee),Tabor
94149,Israel,93,56.0,Recanati 2012 Reserve Red (Galilee),Recanati
94780,Israel,93,33.0,Golan Heights Winery 2011 Yarden Cabernet Sauvignon (Galilee),Golan Heights Winery
125875,Israel,93,17.0,Recanati 2014 Shiraz (Galilee),Recanati
125878,Israel,93,17.0,Jerusalem Wineries 2013 3400 Premium Shiraz (Judean Hills),Jerusalem Wineries
126461,Israel,93,40.0,Recanati 2014 Reserve Syrah (Galilee),Recanati
5226,Israel,92,30.0,Madmon 2012 Soreka Special Reserve Cabernet Sauvignon (Shomron),Madmon
6122,Israel,92,30.0,Psagot 2012 Cabernet Sauvignon (Judean Hills),Psagot
13386,Israel,92,28.0,Jerusalem Wineries 2012 4990 Reserve Cabernet Sauvignon (Judean Hills),Jerusalem Wineries
13389,Israel,92,80.0,Makura Estate 2008 Estate Reserve Red (Upper Galilee),Makura Estate
19712,Israel,92,32.0,Golan Heights Winery 2012 Yarden Cabernet Sauvignon (Galilee),Golan Heights Winery
31475,Israel,92,22.0,Dalton 2013 Alma Scarlet Red (Galilee),Dalton
34693,Israel,92,45.0,Yaffo 2011 Heritage Cabernet Sauvignon-Cabernet Franc (Ella Valley),Yaffo
40440,Israel,92,85.0,Yatir 2009 Forest Red (Judean Hills),Yatir
50375,Israel,92,32.0,Recanati 2014 Reserve Petite Sirah (Galilee),Recanati
57630,Israel,92,32.0,Golan Heights Winery 2010 Yarden 2T Touriga Nacional-Tinta Cão Red (Galilee),Golan Heights Winery
70450,Israel,92,75.0,Domaine du Castel 2011 Grand Vin Red (Haut-Judeé),Domaine du Castel
81932,Israel,92,29.0,Golan Heights Winery 2013 Yarden Syrah (Galilee),Golan Heights Winery
86742,Israel,92,50.0,Yatir 2012 Cabernet Sauvignon (Judean Hills),Yatir
90701,Israel,92,25.0,Jacques Capsouto 2014 Cotes de Galilee Village Cuvee Samuel Rouge Red (Galilee),Jacques Capsouto
91622,Israel,92,40.0,Jezreel 2014 Kerem Shfeya Carignan (Samson),Jezreel
94163,Israel,92,17.0,Jerusalem Wineries 2013 3400 Premium Cabernet Sauvignon (Judean Hills),Jerusalem Wineries
96314,Israel,92,48.0,Yatir 2009 Syrah (Judean Hills),Yatir
101154,Israel,92,32.0,Recanati 2014 Reserve Petite Sirah (Galilee),Recanati
101159,Israel,92,80.0,Yatir 2012 Forest Red (Judean Hills),Yatir
105719,Israel,92,17.0,Recanati 2015 Cabernet Sauvignon (Upper Galilee),Recanati
108678,Israel,92,53.0,Recanati 2013 Special Reserve White (Galilee),Recanati
110844,Israel,92,30.0,Tzuba 2009 Cabernet Sauvignon (Judean Hills),Tzuba
111496,Israel,92,17.0,Recanati 2013 Merlot (Galilee),Recanati
111497,Israel,92,56.0,Recanati 2013 Wild Reserve Carignan (Judean Hills),Recanati
111513,Israel,92,28.0,Dalton 2012 Reserve Shiraz (Galilee),Dalton
115343,Israel,92,32.0,Dalton 2012 Reserve Cabernet Sauvignon (Galilee),Dalton
115353,Israel,92,29.0,Golan Heights Winery 2010 Yarden Merlot (Galilee),Golan Heights Winery
115357,Israel,92,53.0,Recanati 2011 Special Reserve Red (Galilee),Recanati
117770,Israel,92,22.0,Dalton 2013 Alma Scarlet Red (Galilee),Dalton
120250,Israel,92,17.0,Recanati 2015 Shiraz (Upper Galilee),Recanati
120254,Israel,92,99.0,Shiloh Winery 2013 Mosaic Exclusive Edition Red (Judean Hills),Shiloh Winery
120264,Israel,92,50.0,Yatir 2012 Cabernet Sauvignon (Judean Hills),Yatir
12881,Israel,91,35.0,Psagot 2009 Edom Red (Judean Hills),Psagot
14771,Israel,91,20.0,Dalton 2014 D Oak Aged Cabernet Sauvignon (Galilee),Dalton
14773,Israel,91,65.0,Domaine Netofa 2013 Dor Syrah (Galilee),Domaine Netofa
14787,Israel,91,45.0,Montefiore 2013 Aria Reserve Red (Judean Hills),Montefiore
14792,Israel,91,40.0,Shiloh Winery 2014 Secret Reserve Merlot (Judean Hills),Shiloh Winery
14795,Israel,91,70.0,Teperberg 2013 Legacy Cabernet Franc (Shomron),Teperberg
15730,Israel,91,48.0,Jezreel 2014 Kerem Nilli Argaman (Samson),Jezreel
22117,Israel,91,75.0,Domaine du Castel 2009 Grand Vin Red (Haut-Judeé),Domaine du Castel
22129,Israel,91,60.0,Bazelet HaGolan 2009 Reserve Cabernet Sauvignon (Golan Heights),Bazelet HaGolan
