,country,points,price,title,winery
7335,Italy,100,210.0,Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),Avignonesi
39286,Italy,100,460.0,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Tenuta dell'Ornellaia
45781,Italy,100,550.0,Biondi Santi 2010 Riserva  (Brunello di Montalcino),Biondi Santi
111754,Italy,100,270.0,Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),Casanova di Neri
35517,Italy,99,235.0,Tenuta San Guido 2012 Sassicaia  (Bolgheri Sassicaia),Tenuta San Guido
39287,Italy,99,320.0,Le Macchiole 2007 Messorio Merlot (Toscana),Le Macchiole
44994,Italy,99,595.0,Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),Mascarello Giuseppe e Figlio
45573,Italy,99,175.0,Mascarello Giuseppe e Figlio 2010 Monprivato  (Barolo),Mascarello Giuseppe e Figlio
60880,Italy,99,440.0,Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),Gaja
60881,Italy,99,440.0,Gaja 2007 Sorì San Lorenzo Nebbiolo (Langhe),Gaja
79104,Italy,99,250.0,Tenuta dell'Ornellaia 2004 Masseto Merlot (Toscana),Tenuta dell'Ornellaia
82750,Italy,99,237.0,Avignonesi 1997 Occhio di Pernice  (Vin Santo di Montepulciano),Avignonesi
122936,Italy,99,200.0,Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),Il Marroneto
1561,Italy,98,102.0,Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),Marchesi Antinori
16770,Italy,98,60.0,Brezza 2013 Cannubi  (Barolo),Brezza
16771,Italy,98,70.0,Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),Comm. G. B. Burlotto
16772,Italy,98,151.0,Massolino 2011 Vigna Rionda Riserva  (Barolo),Massolino
16773,Italy,98,300.0,Giuseppe Rinaldi 2013 Brunate  (Barolo),Giuseppe Rinaldi
26889,Italy,98,235.0,Tenuta San Guido 2013  Bolgheri Sassicaia,Tenuta San Guido
45782,Italy,98,190.0,Conti Costanti 2010 Riserva  (Brunello di Montalcino),Conti Costanti
45783,Italy,98,120.0,Baricci 2010 Nello Riserva  (Brunello di Montalcino),Baricci
60882,Italy,98,255.0,Gaja 2006 Sperss Nebbiolo (Langhe),Gaja
79105,Italy,98,175.0,Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),Tenuta dell'Ornellaia
121933,Italy,98,83.0,Brovia 2013 Garblèt Suè  (Barolo),Brovia
122937,Italy,98,95.0,Conti Costanti 2012  Brunello di Montalcino,Conti Costanti
350,Italy,97,150.0,Cavallotto 2010 Vignolo Riserva  (Barolo),Cavallotto
