,country,points,price,title,winery
4896,Lebanon,91,75.0,Ixsir 2011 El Red (Lebanon),Ixsir
5052,Lebanon,91,30.0,Ixsir 2009 Grande Réserve Syrah-Cabernet Sauvignon (Lebanon),Ixsir
8088,Lebanon,91,20.0,Ixsir 2009 Altitudes Red (Lebanon),Ixsir
30371,Lebanon,91,63.0,Château Musar 2000 Gaston Hochar Red (Bekaa Valley),Château Musar
64118,Lebanon,91,27.0,Massaya 2012 Terrasses de Baalbeck Red (Bekaa Valley),Massaya
83128,Lebanon,91,40.0,Ixsir 2010 Grande Reserve Syrah-Cabernet Sauvignon (Lebanon),Ixsir
91348,Lebanon,91,22.0,Château Ksara 2011 Reserve du Couvent Red (Bekaa Valley),Château Ksara
23149,Lebanon,90,75.0,Ixsir 2010 El Red (Lebanon),Ixsir
30042,Lebanon,90,25.0,Ixsir 2010 Altitudes Red (Lebanon),Ixsir
105618,Lebanon,90,75.0,Ixsir 2010 El Red (Lebanon),Ixsir
21814,Lebanon,89,25.0,Ixsir 2014 Altitudes Rosé (Lebanon),Ixsir
51842,Lebanon,89,13.0,Massaya 2013 Le Colombier Red (Bekaa Valley),Massaya
85075,Lebanon,89,22.0,Château Musar 2011 Musar Jeune White (Bekaa Valley),Château Musar
105631,Lebanon,89,25.0,Ixsir 2013 Altitudes White (Lebanon),Ixsir
27304,Lebanon,88,20.0,Ixsir 2012 Altitudes Rosé (Lebanon),Ixsir
53291,Lebanon,88,15.0,Massaya 2014 Rosé (Bekaa Valley),Massaya
53292,Lebanon,88,15.0,Massaya 2014 White (Bekaa Valley),Massaya
88817,Lebanon,88,30.0,Château Ksara 2011 Cuvée du Pape Chardonnay (Lebanon),Château Ksara
88835,Lebanon,88,25.0,Ixsir 2014 Altitudes White (Lebanon),Ixsir
98537,Lebanon,88,22.0,Château Musar 2010 Musar Jeune Red (Bekaa Valley),Château Musar
126076,Lebanon,88,51.0,Château Musar 2004 Gaston Hochar Red (Bekaa Valley),Château Musar
126593,Lebanon,88,15.0,Massaya 2014 Rosé (Bekaa Valley),Massaya
126594,Lebanon,88,15.0,Massaya 2014 White (Bekaa Valley),Massaya
39257,Lebanon,87,41.0,Château Musar 2005 Gaston Hochar White (Bekaa Valley),Château Musar
40079,Lebanon,87,20.0,Château Musar 2008 Jeune Red Red (Bekaa Valley),Château Musar
40691,Lebanon,87,26.0,Château Musar 2003 Hochar Père et Fils Red (Bekaa Valley),Château Musar
118989,Lebanon,86,20.0,Château Musar 2009 Musar Jeune White (Bekaa Valley),Château Musar
66729,Lebanon,85,40.0,Ixsir 2010 Grande Reserve White (Lebanon),Ixsir
75442,Lebanon,85,50.0,Château Musar 1999 Gaston Hochar Red (Bekaa Valley),Château Musar
7149,Lebanon,84,19.0,Château Musar 2004 Cuvée Rouge Red (Bekaa Valley),Château Musar
42127,Lebanon,83,19.0,Château Musar 2007 Cuvée Blanc White (Bekaa Valley),Château Musar
42138,Lebanon,83,40.0,Château Musar 2001 Gaston Hochar White (Bekaa Valley),Château Musar
50590,Lebanon,83,25.0,Château Musar 2002 Hochar Père et Fils Red (Bekaa Valley),Château Musar
39504,Lebanon,82,15.0,Heritage 2008 Rosé d'Une Nuit Rosé (Bekaa Valley),Heritage
103332,Lebanon,82,14.0,Le Fleuron 2008 Red (Bekaa Valley),Le Fleuron
