,country,points,price,title,winery
43799,Mexico,92,54.0,Viñas de Garza 2007 Amado IV Red (Valle de Guadalupe),Viñas de Garza
68520,Mexico,91,108.0,El Sombrero 2009 Red (Valle de Guadalupe),El Sombrero
68539,Mexico,91,45.0,Vinisterra 2007 Pedregal Syrah-Mourvèdre (San Antonio de las Minas Valley),Vinisterra
20186,Mexico,90,56.0,Monte Xanic 2010 Gran Ricardo Red (Valle de Guadalupe),Monte Xanic
125495,Mexico,90,56.0,Monte Xanic 2010 Gran Ricardo Red (Valle de Guadalupe),Monte Xanic
42488,Mexico,89,31.0,Tres Valles 2010 Kuwal Red (Valle de Guadalupe),Tres Valles
378,Mexico,88,18.0,L.A. Cetto 1996 Private Reserve Nebbiolo (Valle de Guadalupe),L.A. Cetto
6639,Mexico,88,27.0,Cava Aragon 2011 Madera 5 Nebbiolo (San Vicente),Cava Aragon
34244,Mexico,88,22.0,Cava Maciel 2012 Vino de Luna Chardonnay (Valle de Guadalupe),Cava Maciel
38825,Mexico,88,20.0,L.A. Cetto 2007 Private Reserve Barrel Aged Nebbiolo (Valle de Guadalupe),L.A. Cetto
41594,Mexico,88,26.0,Rincón de Guadalupe 2008 Brisas del Sur Red (San Vicente),Rincón de Guadalupe
55551,Mexico,88,40.0,La Lomita 2009 Singular Red (Valle de Guadalupe),La Lomita
100751,Mexico,88,39.0,Vinicola Fraternidad 2011 Boceto Red (Valle de Guadalupe),Vinicola Fraternidad
100767,Mexico,88,30.0,Paralelo 2007 Txtura 1 Red (Valle de Guadalupe),Paralelo
116975,Mexico,88,22.0,Viñas Pijoan 2009 Doménica Red (Valle de Guadalupe),Viñas Pijoan
601,Mexico,87,15.0,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),Monte Xanic
2692,Mexico,87,18.0,L.A. Cetto 1996 Private Reserve Cabernet Sauvignon (Valle de Guadalupe),L.A. Cetto
24277,Mexico,87,19.0,Möebius 2011 Endemico Muscatel (Valle de Guadalupe),Möebius
25376,Mexico,87,33.0,Vinicola Urbana 2011 Xikbal Tempranillo- Grenache Red (Valle de Guadalupe),Vinicola Urbana
26295,Mexico,87,58.0,Viñas de Garza 2008 Amado IV Red (Valle de Guadalupe),Viñas de Garza
30224,Mexico,87,49.0,Vinisterra 2007 Cascabel Red (Valle de Guadalupe),Vinisterra
76909,Mexico,87,28.0,Paralelo 2012 Emblema Sauvignon Blanc (Valle de Guadalupe),Paralelo
83008,Mexico,87,16.0,Monte Xanic 2012 Chenin-Colombard Chenin Blanc (Valle de Guadalupe),Monte Xanic
84117,Mexico,87,20.0,L.A. Cetto 2008 Private Reserve Petite Sirah (Valle de Guadalupe),L.A. Cetto
95427,Mexico,87,19.0,Möebius 2011 Endemico Muscatel (Valle de Guadalupe),Möebius
95429,Mexico,87,12.0,Monte Xanic 2011 Chenin-Colombard White (Valle de Guadalupe),Monte Xanic
100910,Mexico,87,20.0,HQSA 2009 Xikbal Baja Red (Valle de Guadalupe),HQSA
12609,Mexico,86,39.0,Monte Xanic 2011 Limited Edition Cabernet Franc (Valle de Guadalupe),Monte Xanic
26031,Mexico,86,13.0,Monte Xanic 2011 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),Monte Xanic
55088,Mexico,86,22.0,Hacienda La Lomita 2011 Espacio En Blanco Sauvignon Blanc-Chenin Blanc (Valle de Guadalupe),Hacienda La Lomita
58258,Mexico,86,23.0,Monte Xanic 2011 Cabernet Blend Cabernet Sauvignon-Merlot (Valle de Guadalupe),Monte Xanic
113485,Mexico,86,17.0,Monte Xanic 2012 Calixa Rosado (Valle de Guadalupe),Monte Xanic
37963,Mexico,85,23.0,L.A. Cetto 2010 Private Reserve Barrel Aged Estate Bottled Nebbiolo (Valle de Guadalupe),L.A. Cetto
79344,Mexico,85,26.0,Casa de Piedra 2012 Piedra del Sol Chardonnay (Valle de Guadalupe),Casa de Piedra
79357,Mexico,85,28.0,Hacienda La Lomita 2010 Pagano Grenache (Valle de Guadalupe),Hacienda La Lomita
86681,Mexico,85,28.0,Emevé 2010 Cabernet Sauvignon (Valle de Guadalupe),Emevé
86690,Mexico,85,40.0,Vinos Magbel 2010 Cabernet Sauvignon (Valle de Guadalupe),Vinos Magbel
15083,Mexico,84,15.0,Tres Valles 2012 Jalá Blanco Sauvignon Blanc (Valle de Guadalupe),Tres Valles
25888,Mexico,84,27.0,Vena Cava 2011 Big Blend Red (Valle de Guadalupe),Vena Cava
44099,Mexico,84,10.0,L.A. Cetto 2001 Chardonnay (Valle de Guadalupe),L.A. Cetto
63954,Mexico,84,23.0,Monte Xanic 2009 Cabernet Sauvignon (Valle de Guadalupe),Monte Xanic
68386,Mexico,84,14.0,L.A. Cetto 2000 Private Reserve Chardonnay (Valle de Guadalupe),L.A. Cetto
80385,Mexico,84,23.0,Dubacano 2010 Nebbiolo (Valle de Guadalupe),Dubacano
80386,Mexico,84,100.0,Ernesto Camou y Camou 2010 Reserva Cabernet Sauvignon (Valle de Guadalupe),Ernesto Camou y Camou
87963,Mexico,84,13.0,L.A. Cetto 2012 Estate Bottled Petite Sirah (Valle de Guadalupe),L.A. Cetto
102038,Mexico,84,28.0,Vinicola Fraternidad 2011 Nuva White (Valle de Guadalupe),Vinicola Fraternidad
102039,Mexico,84,35.0,Vinos Magbel 2009 Nebbiolo (Valle de Guadalupe),Vinos Magbel
102047,Mexico,84,13.0,Unión de Productores del Valle (UPVG) 2012 Estacion el Porvenir Sauvignon Blanc (Valle de Guadalupe),Unión de Productores del Valle (UPVG)
