,country,points,price,title,winery
47131,Moldova,91,25.0,Purcari 2013 Freedom Blend Red (Moldova),Purcari
9713,Moldova,90,38.0,Purcari 2010 Negru de Purcari Red (Moldova),Purcari
9714,Moldova,90,38.0,Purcari 2012 Alb de Purcari White (Moldova),Purcari
30052,Moldova,90,38.0,Purcari 2010 Rosu de Purcari Red (Moldova),Purcari
38362,Moldova,90,15.0,Purcari 2015 1827 Cabernet Sauvignon (Moldova),Purcari
42331,Moldova,90,32.0,Purcari 2012 Rosu de Purcari Red (Moldova),Purcari
43481,Moldova,90,16.0,Purcari 2015 1827 Rara Neagra (Moldova),Purcari
53883,Moldova,90,23.0,Lion-Gri 2009 Chateau d'Or Ice Wine Riesling (Moldova),Lion-Gri
88116,Moldova,90,31.0,Purcari 2012 Negru de Purcari Red (Moldova),Purcari
88953,Moldova,90,32.0,Purcari 2013 Alb de Purcari White (Moldova),Purcari
89687,Moldova,90,16.0,Purcari 2015 Rose de Purcari Rosé (Moldova),Purcari
14383,Moldova,89,15.0,Purcari 2015 1827 Sauvignon Blanc (Moldova),Purcari
31780,Moldova,89,15.0,Château Vartely 2015 Indvido Red (Moldova),Château Vartely
36114,Moldova,89,15.0,Purcari 2015 1827 Pinot Grigio (Moldova),Purcari
43408,Moldova,89,25.0,Château Vartely 2011 Taraboste Rezerva Cabernet Sauvignon (Moldova),Château Vartely
70115,Moldova,89,25.0,Château Vartely 2011 Taraboste Rezerva Cabernet Sauvignon (Moldova),Château Vartely
73445,Moldova,89,15.0,Château Vartely 2013 D'Or Matur Traminer (Moldova),Château Vartely
73467,Moldova,89,39.0,Equinox Estate 2012 5 Elemente Red (Moldova),Equinox Estate
79829,Moldova,89,15.0,Purcari 2015 1827 Pinot Grigio (Moldova),Purcari
84552,Moldova,89,19.0,Purcari 2014 Rara Neagra (Moldova),Purcari
122915,Moldova,89,10.0,Lion-Gri 2013 Naturalles Muscat (Moldova),Lion-Gri
127902,Moldova,89,16.0,Purcari 2014 Vinohora Rara Neagra-Malbec Red (Moldova),Purcari
38920,Moldova,88,42.0,Purcari 2014 Premium Musct Ottonel-Traminer Icewine White (Moldova),Purcari
63719,Moldova,88,16.0,Purcari 2014 Vinohora Feteasca Alba-Chardonnay White (Moldova),Purcari
113118,Moldova,88,12.0,Vinaria din Vale 2013 Feteasca Neagra (Moldova),Vinaria din Vale
