,country,points,price,title,winery
29284,Serbia,89,40.0,Budimir 2009 Sub Rosa Red (Župa),Budimir
38522,Serbia,89,20.0,Budimir 2009 Margus Margi Riesling (Župa),Budimir
64364,Serbia,89,40.0,Budimir 2009 Sub Rosa Red (Župa),Budimir
70948,Serbia,89,42.0,Budimir 2007 Svb Rosa Red (Župa),Budimir
38927,Serbia,88,18.0,Budimir 2013 Župska Tamjanika (Župa),Budimir
112528,Serbia,88,18.0,Budimir 2013 Župska Tamjanika (Župa),Budimir
5085,Serbia,87,26.0,Milijan Jelić 2011 Morava (Pocerina),Milijan Jelić
22398,Serbia,87,16.0,Agrina 2012 Portuguiser Blauer Portugieser (Fruška Gora),Agrina
51794,Serbia,86,15.0,Agrina 2014 Portuguiser (Fruška Gora),Agrina
72861,Serbia,86,22.0,Budimir 2008 Margus Margi Riesling (Župa),Budimir
108102,Serbia,86,15.0,Agrina 2014 Portuguiser (Fruška Gora),Agrina
117816,Serbia,86,22.0,Budimir 2008 Margus Margi Riesling (Župa),Budimir
