,country,points,price,title,winery
9912,South Africa,95,330.0,De Toren 2014 Book 17 XVII Red (Stellenbosch),De Toren
76568,South Africa,95,90.0,Klein Constantia 2007 Vin de Constance Muscat (Constantia),Klein Constantia
78309,South Africa,95,130.0,Sadie Family 2011 Columella Red (Swartland),Sadie Family
7869,South Africa,94,65.0,Mvemve Raats 2011 MR de Compostella Red (Stellenbosch),Mvemve Raats
7871,South Africa,94,65.0,Mvemve Raats 2012 MR de Compostella Red (Stellenbosch),Mvemve Raats
13985,South Africa,94,95.0,Vilafonté 2012 Series C Red (Paarl),Vilafonté
38191,South Africa,94,65.0,Mvemve Raats 2012 MR de Compostella Red (Stellenbosch),Mvemve Raats
38193,South Africa,94,60.0,De Toren 2012 Fusion V Red (Stellenbosch),De Toren
45011,South Africa,94,43.0,A.A. Badenhorst Family Wines 2010 Red (Swartland),A.A. Badenhorst Family Wines
45032,South Africa,94,43.0,A.A. Badenhorst Family Wines 2013 Red (Swartland),A.A. Badenhorst Family Wines
51351,South Africa,94,40.0,Mullineux 2014 Syrah (Swartland),Mullineux
52647,South Africa,94,93.0,Ernie Els 2004 Limited Release Red (Stellenbosch),Ernie Els
57597,South Africa,94,,Boekenhoutskloof 2015 Cape Winemakers Guild Auction Reserve Cabernet Sauvignon (Franschhoek),Boekenhoutskloof
57598,South Africa,94,,Paul Cluver 2016 Cape Winemakers Guild The Wagon Trail Chardonnay (Elgin),Paul Cluver
77227,South Africa,94,,Saronsberg 2012 Cape Winemakers Guild Sneeusig Shiraz (Tulbagh),Saronsberg
83375,South Africa,94,50.0,Klein Constantia 2005 Vin de Constance Muscat (Constantia),Klein Constantia
103992,South Africa,94,155.0,Abraham Perold 1998 Shiraz (Paarl),Abraham Perold
113348,South Africa,94,,Adi Badenhorst & Duncan Savage 2016 Cape Winemakers Guild Love Boat Red Red (Swartland),Adi Badenhorst & Duncan Savage
125299,South Africa,94,50.0,De Toren 2009 Fusion V Red (Stellenbosch),De Toren
8114,South Africa,93,275.0,Kanonkop 2013 Estate Wine Black Label Pinotage (Simonsberg-Stellenbosch),Kanonkop
12255,South Africa,93,15.0,Simonsig 1998 Cabernet Sauvignon (Stellenbosch),Simonsig
34119,South Africa,93,70.0,Fable Mountain 2011 Syrah (Tulbagh),Fable Mountain
42028,South Africa,93,50.0,De Toren 2008 Fusion V Red (Stellenbosch),De Toren
