,country,points,price,title,winery
40307,Spain,98,450.0,Emilio Moro 2009 Clon de la Familia  (Ribera del Duero),Emilio Moro
33385,Spain,97,150.0,Emilio Moro 2010 Malleolus de Valderramiro  (Ribera del Duero),Emilio Moro
87125,Spain,97,227.0,Teso La Monja 2012 Alabaster  (Toro),Teso La Monja
121888,Spain,97,88.0,Bodegas Gutiérrez de la Vega 1999 Casta Diva Fondillón Sweet Monastrell (Alicante),Bodegas Gutiérrez de la Vega
122557,Spain,97,250.0,Bodegas Roda 2009 Cirsion  (Rioja),Bodegas Roda
127573,Spain,97,180.0,Emilio Moro 2006 Malleolus de Valderramiro  (Ribera del Duero),Emilio Moro
15846,Spain,96,770.0,Marco Abella 2012 El Perer Carignan (Priorat),Marco Abella
23441,Spain,96,90.0,Astrales 2010  Ribera del Duero,Astrales
40310,Spain,96,130.0,Emilio Moro 2009 Malleolus de Valderramiro  (Ribera del Duero),Emilio Moro
43635,Spain,96,100.0,CVNE 2010 Real de Asúa  (Rioja),CVNE
54249,Spain,96,90.0,Clos Mogador 2010 Red (Priorat),Clos Mogador
56962,Spain,96,100.0,Mauro 2011 VS Tempranillo (Vino de la Tierra de Castilla y León),Mauro
79110,Spain,96,303.0,Bodegas Roda 2005 Cirsion  (Rioja),Bodegas Roda
79720,Spain,96,101.0,Muga 2011 Torre Muga  (Rioja),Muga
87126,Spain,96,50.0,La Rioja Alta 2005 Gran Reserva 904  (Rioja),La Rioja Alta
87134,Spain,96,351.0,García Figuero 2011 Tinus  (Ribera del Duero),García Figuero
87135,Spain,96,125.0,La Rioja Alta 2004 Gran Reserva 890  (Rioja),La Rioja Alta
119658,Spain,96,30.0,Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),Alvear
121937,Spain,96,290.0,Terroir Al Límit 2014 Les Tosses Carignan (Priorat),Terroir Al Límit
121942,Spain,96,50.0,Valderiz 2014 Juegabolos  (Ribera del Duero),Valderiz
127574,Spain,96,204.0,Emilio Moro 2006 Malleolus de Sanchomartin  (Ribera del Duero),Emilio Moro
128271,Spain,96,82.0,Remírez de Ganuza 2005 Old Vines Unfiltered  (Rioja),Remírez de Ganuza
2508,Spain,95,300.0,Artadi 2011 Viña El Pison  (Rioja),Artadi
5007,Spain,95,70.0,Maurodos 2008 San Román  (Toro),Maurodos
6437,Spain,95,200.0,Numanthia 2009 Termanthia  (Toro),Numanthia
11187,Spain,95,85.0,Campo Eliseo 2009  Toro,Campo Eliseo
11188,Spain,95,90.0,Cepa 21 2010 Malabrigo  (Ribera del Duero),Cepa 21
31999,Spain,95,167.0,Sierra Cantabria 2006 Amancio  (Rioja),Sierra Cantabria
36488,Spain,95,65.0,Viñedos de Paganos 2005 El Puntido  (Rioja),Viñedos de Paganos
43649,Spain,95,110.0,CVNE 2010 Pagos de Viña Real  (Rioja),CVNE
44575,Spain,95,149.0,Bodegas Hidalgo NV Vinos Viejos de Hidalgo Triana 30 Years Old Pedro Ximénez (Jerez),Bodegas Hidalgo
48905,Spain,95,165.0,Marqués de Murrieta 2004 Dalmau  (Rioja),Marqués de Murrieta
48909,Spain,95,85.0,Vall Llach 2005 Red (Priorat),Vall Llach
65951,Spain,95,290.0,Terroir Al Límit 2014 Les Manyes Garnacha (Priorat),Terroir Al Límit
66926,Spain,95,600.0,García Figuero 2012 Tinus  (Ribera del Duero),García Figuero
66928,Spain,95,150.0,Emilio Moro 2011 Malleolus de Valderramiro  (Ribera del Duero),Emilio Moro
76013,Spain,95,50.0,Maurodos 2004 San Román  (Toro),Maurodos
76569,Spain,95,220.0,Teso La Monja 2011 Alabaster  (Toro),Teso La Monja
78295,Spain,95,90.0,Elias Mora 2012 Gran  (Toro),Elias Mora
83468,Spain,95,100.0,Campo Eliseo 2006  Toro,Campo Eliseo
85156,Spain,95,219.0,Numanthia 2011 Termanthia  (Toro),Numanthia
87138,Spain,95,65.0,Teso La Monja 2012 Victorino  (Toro),Teso La Monja
91849,Spain,95,90.0,Marco Abella 2010 Clos Abella Red (Priorat),Marco Abella
95052,Spain,95,149.0,Sierra Cantabria 2011 Amancio  (Rioja),Sierra Cantabria
98556,Spain,95,89.0,Marqués de Murrieta 2005 Castillo Ygay Gran Reserva Especial  (Rioja),Marqués de Murrieta
99319,Spain,95,88.0,CVNE 2010 Imperial Gran Reserva  (Rioja),CVNE
114542,Spain,95,90.0,Clos Mogador 2012 Red (Priorat),Clos Mogador
115788,Spain,95,60.0,Astrales 2005  Ribera del Duero,Astrales
121953,Spain,95,90.0,Terroir Al Límit 2014 Dits Del Terra Carignan (Priorat),Terroir Al Límit
