,country,points,price,title,winery
29781,Turkey,92,38.0,Kavaklidere 2010 Pendore Syrah (Aegean),Kavaklidere
78660,Turkey,92,38.0,Kavaklidere 2010 Pendore Syrah (Aegean),Kavaklidere
80596,Turkey,92,35.0,Kayra 2011 Vintage Single Vineyard Collectible Series #5 Öküzgözü (Elazığ),Kayra
127078,Turkey,92,33.0,Kavaklidere 2010 Pendore Öküzgözü (Aegean),Kavaklidere
30918,Turkey,91,34.0,Urla 2011 Nexus Red (Aegean),Urla
94854,Turkey,91,30.0,Vinkara 2011 Reserve Boğazkere (Ankara),Vinkara
103716,Turkey,91,40.0,Kavaklidere 2011 Prestige Kalecik Karasi (Ankara),Kavaklidere
119423,Turkey,91,40.0,Vinkara 2014 Yasasin Kalecik Karasi (Ankara),Vinkara
7685,Turkey,90,39.0,Suvla 2011 Reserve Single Vineyard Bozokbag Cabernet Sauvignon (Thrace),Suvla
14762,Turkey,90,27.0,Vinkara 2013 Reserve Kalecik Karasi (Ankara),Vinkara
26803,Turkey,90,27.0,Vinkara 2012 Reserve Kalecik Karasi (Ankara),Vinkara
26808,Turkey,90,28.0,Pasaeli 2012 K2 Red (Aegean),Pasaeli
31596,Turkey,90,29.0,Kayra 2012 Öküzgözü (Elazığ),Kayra
40602,Turkey,90,39.0,Suvla 2011 Reserve Single Vineyard Bozokbag Syrah (Thrace),Suvla
43471,Turkey,90,27.0,Vinkara 2013 Reserve Kalecik Karasi (Ankara),Vinkara
44447,Turkey,90,28.0,Pasaeli 2012 K2 Red (Aegean),Pasaeli
48187,Turkey,90,30.0,Sevilen 2007 Premium Tepe Vineyard Syrah-Merlot (Aegean),Sevilen
59459,Turkey,90,27.0,Vinkara 2014 Reserve Kalecik Karasi (Ankara),Vinkara
59966,Turkey,90,24.0,Urla 2010 Vourla Red (Aegean),Urla
71814,Turkey,90,40.0,Kavaklidere 2009 Prestige Kalecik Karasi (Ankara),Kavaklidere
88934,Turkey,90,16.0,Kavaklidere 2012 Selection Red (Turkey),Kavaklidere
89705,Turkey,90,15.0,Vinkara 2013 Dry Kalecik Karasi (Ankara),Vinkara
121451,Turkey,90,19.0,Turasan 2014 Boğazkere (Cappadocia),Turasan
121455,Turkey,90,23.0,Vinkara 2013 Winehouse Öküzgözü (Ankara),Vinkara
8778,Turkey,89,18.0,Sevilen 2011 Denizli-Güney Plateau Kalecik Karasi (Aegean),Sevilen
8779,Turkey,89,18.0,Sevilen 2012 Denizli-Guney Plateau Sauvignon Blanc (Aegean),Sevilen
8781,Turkey,89,39.0,Suvla 2011 Sir Red (Thrace),Suvla
8782,Turkey,89,15.0,Suvla 2012 Karasakiz (Thrace),Suvla
17175,Turkey,89,17.0,Suvla 2012 Chardonnay (Thrace),Suvla
29298,Turkey,89,23.0,Yazgan 2014 Mahra Bogazkere Öküzgözü Red (Turkey),Yazgan
31615,Turkey,89,30.0,Kavaklidere 2011 Prestige Narince (Cappadocia),Kavaklidere
38508,Turkey,89,25.0,Vinkara 2012 Reserve Narince (Ankara),Vinkara
42629,Turkey,89,20.0,Paşaeli 2013 6N Karasakiz-Merlot Red (Aegean),Paşaeli
72982,Turkey,89,18.0,Vinkara 2014 Kalecik Karasi (Ankara),Vinkara
78544,Turkey,89,23.0,Yazgan 2013 Mahra Bogazkere-Öküzgözü Red (Turkey),Yazgan
81841,Turkey,89,15.0,Turasan 2012 Kalecik Karasi (Turkey),Turasan
83723,Turkey,89,33.0,Kavaklidere 2010 Pendore Boğazkere (Aegean),Kavaklidere
102881,Turkey,89,45.0,Sevilen 2009 Centum Syrah (Aegean),Sevilen
110725,Turkey,89,56.0,Urla 2011 Tempus Red (Aegean),Urla
118454,Turkey,89,14.0,Diren 2012 Collection Öküzgözü (Turkey),Diren
127911,Turkey,89,21.0,Yazgan 2014 Boğazkere (Turkey),Yazgan
1187,Turkey,88,20.0,Chamlija 2014 Papaskarasi (Thrace),Chamlija
26227,Turkey,88,15.0,Turasan 2013 Emir (Turkey),Turasan
36174,Turkey,88,17.0,Sevilen 2011 Denizli-Güney Plateau Syrah (Aegean),Sevilen
48067,Turkey,88,20.0,Kayra 2009 Vintage Single Vineyard Collectible Series #5 Okuzgozu (Elazığ),Kayra
51446,Turkey,88,15.0,Paşaeli 2014 Çalkarasi Rosé (Aegean),Paşaeli
59620,Turkey,88,17.0,Sevilen 2011 Denizli-Güney Plateau Syrah (Aegean),Sevilen
63375,Turkey,88,17.0,Suvla 2012 Cabernet Sauvignon-Cabernet Franc Rosé (Thrace),Suvla
63725,Turkey,88,15.0,Turasan 2013 Kalecik Karasi (Turkey),Turasan
66428,Turkey,88,20.0,Chamlija 2014 Papaskarasi (Thrace),Chamlija
83230,Turkey,88,25.0,Kayra 2008 Imperial Cabernet Sauvignon (Urla-Thrace),Kayra
122213,Turkey,88,25.0,Vinkara 2011 Reserve Kalecik Karasi (Ankara),Vinkara
125267,Turkey,88,20.0,Kayra 2008 Vintage Single Vineyard Collectible Series #5 Okuzgozu (Elazığ),Kayra
26491,Turkey,87,18.0,Vinkara 2015 Narince (Ankara),Vinkara
43448,Turkey,87,23.0,Yazgan 2013 Mahra Kalecik Karasi-Syrah Red (Turkey),Yazgan
53471,Turkey,87,29.0,Suvla 2010 Sur Single Vineyard Bozokbag Barrel Aged Red (Thrace),Suvla
66086,Turkey,87,19.0,Pasaeli 2015 Mermaid Rosé Çalkarası (Aegean),Pasaeli
67039,Turkey,87,17.0,Diren 2014 Collection Öküzgözü (Turkey),Diren
69175,Turkey,87,15.0,Suvla 2012 Karasakiz Rosé (Thrace),Suvla
71985,Turkey,87,15.0,Turasan 2014 Emir (Turkey),Turasan
71994,Turkey,87,15.0,Vinkara 2013 Narince (Ankara),Vinkara
72461,Turkey,87,25.0,Vinkara 2014 Reserve Narince (Ankara),Vinkara
72462,Turkey,87,18.0,Vinkara 2015 Narince (Ankara),Vinkara
73788,Turkey,87,17.0,Suvla 2010 Kirte Cabernet Sauvignon-Syrah-Petit Verdot Red (Thrace),Suvla
96937,Turkey,87,15.0,Çamlibağ 2012 Karalahna (Turkey),Çamlibağ
96957,Turkey,87,16.0,Paşaeli 2014 Yapincak (Thrace),Paşaeli
97159,Turkey,87,15.0,Turasan 2014 Emir (Turkey),Turasan
126940,Turkey,87,16.0,Yazgan 2014 Casaba Cabernet Sauvignon-Merlot (Turkey),Yazgan
127835,Turkey,87,60.0,Selendi 2011 Merlot-Cabernet Sauvignon-Syrah-Cabernet Franc Red (Aegean),Selendi
129774,Turkey,87,17.0,Suvla 2010 Kirte Cabernet Sauvignon-Syrah-Petit Verdot Red (Thrace),Suvla
25285,Turkey,86,25.0,Kayra 2007 Buzbag Rezerv Öküzgözü Bogazkere Red (Elazığ-Diyarbakir),Kayra
36053,Turkey,86,25.0,Kayra 2006 Imperial Red (Elazığ),Kayra
41449,Turkey,86,19.0,Turasan 2015 Rosé Kalecik Karasi (Cappadocia),Turasan
42301,Turkey,86,25.0,Pasaeli 2014 6N Red (Aegean),Pasaeli
42302,Turkey,86,19.0,Pasaeli 2015 Seahorse Rosé Çalkarası (Aegean),Pasaeli
42317,Turkey,86,15.0,Turasan 2014 Selda White (Cappadocia),Turasan
53157,Turkey,86,120.0,Selendi 2010 Merlot (Aegean),Selendi
65852,Turkey,86,15.0,Turasan 2014 Selda Red (Cappadocia),Turasan
65857,Turkey,86,19.0,Turasan 2015 Rosé Kalecik Karasi (Cappadocia),Turasan
82921,Turkey,86,19.0,Turasan 2013 Red (Cappadocia),Turasan
96823,Turkey,86,15.0,Turasan 2014 Selda White (Cappadocia),Turasan
108101,Turkey,86,25.0,Kavur 2011 Galî Evreshe Red (Turkey),Kavur
123319,Turkey,86,15.0,Çamlibağ 2012 Kuntra (Turkey),Çamlibağ
65157,Turkey,85,19.0,Turasan 2014 Misket (Cappadocia),Turasan
96851,Turkey,85,19.0,Turasan 2015 Emir (Cappadocia),Turasan
3343,Turkey,84,15.0,Suvla 2012 Kinali Yapincak (Thrace),Suvla
43629,Turkey,84,18.0,Vinkara 2014 Narince (Ankara),Vinkara
71260,Turkey,84,24.0,Chamlija 2015 Blanc de Noirs Papaskarasi (Thrace),Chamlija
71275,Turkey,84,20.0,Pasaeli 2015 Yapincak (Thrace),Pasaeli
106655,Turkey,84,14.0,Diren 2010 Red (Turkey),Diren
