,country,points,price,title,winery
88511,Ukraine,88,9.0,Koblevo NV Reserve Riesling (Ukraine),Koblevo
120735,Ukraine,86,9.0,Koblevo NV Royal Reserve Muscat Hamburg (Ukraine),Koblevo
87995,Ukraine,85,9.0,Koblevo NV Kagor Reserve Bastardo (Ukraine),Koblevo
108959,Ukraine,85,9.0,Koblevo NV Reserve Chardonnay (Ukraine),Koblevo
44862,Ukraine,84,6.0,Côtnar Hills 2014 Semi-Dry Rosé (Ukraine),Côtnar Hills
81079,Ukraine,84,9.0,Koblevo NV Reserve Merlot (Ukraine),Koblevo
110977,Ukraine,84,6.0,Côtnar Hills 2014 Cabernet Sauvignon (Ukraine),Côtnar Hills
126862,Ukraine,84,6.0,Côtnar Hills 2014 Merlot (Ukraine),Côtnar Hills
129621,Ukraine,84,13.0,Artemovsk 2008 KrimSekt White Collection Semi-Dry Sparkling (Ukraine),Artemovsk
19530,Ukraine,83,10.0,Marengo NV Brut Sparkling (Ukraine),Marengo
36506,Ukraine,83,10.0,Marengo NV Semi-Sweet Bianco Sparkling (Ukraine),Marengo
102754,Ukraine,83,13.0,Artemovsk 2008 KrimSekt White Collection Brut Sparkling (Ukraine),Artemovsk
36513,Ukraine,82,10.0,Marengo NV Rose Sparkling (Ukraine),Marengo
36517,Ukraine,82,10.0,Marengo NV Semi-Dry Sparkling (Ukraine),Marengo
