,country,points,price,title,winery
14119,Uruguay,92,43.0,Bouza 2015 B6 Parcela Única Tannat (Canelones),Bouza
18460,Uruguay,92,43.0,Bouza 2015 B6 Parcela Única Tannat (Canelones),Bouza
15750,Uruguay,91,60.0,Bouza 2015 Monte Vide Eu Tannat-Merlot-Tempranillo Red (Montevideo),Bouza
15751,Uruguay,91,25.0,Bouza 2017 Albariño (Montevideo),Bouza
39361,Uruguay,91,22.0,Narbona NV Blend 002 Limited Edition Tannat-Cabernet Franc (Uruguay),Narbona
39373,Uruguay,91,22.0,Bouza 2015 Reserva Tannat (Montevideo),Bouza
46378,Uruguay,91,44.0,Montes Toscanini 2013 Gran Premium Unfiltered Tannat (Canelones),Montes Toscanini
98839,Uruguay,91,50.0,Pizzorno 2011 Primo Red (Uruguay),Pizzorno
6005,Uruguay,90,35.0,Narbona 2013 Roble Tannat (Uruguay),Narbona
9133,Uruguay,90,45.0,Familia Deicas 2004 Preludio Barrel Select Lote N 77 Red (Juanico),Familia Deicas
10527,Uruguay,90,29.0,Pueblo del Sol 2009 30 Barricas Edición Limitada Tannat (Juanico),Pueblo del Sol
10532,Uruguay,90,25.0,Bouza 2013 Albariño (Montevideo),Bouza
93103,Uruguay,90,46.0,Pisano 2007 Etxe Oneko Fortified Sweet Red Tannat (Progreso),Pisano
93548,Uruguay,90,130.0,Familia Deicas 2008 Massimo Deicas Tannat (Juanico),Familia Deicas
113525,Uruguay,90,30.0,Garzón 2015 Single Vineyard Pinot Noir (Uruguay),Garzón
128749,Uruguay,90,24.0,Familia Deicas 2015 Deicas Tannat (Uruguay),Familia Deicas
128760,Uruguay,90,20.0,Pizzorno 2013 Select Blend Reserva Red (Canelones),Pizzorno
25485,Uruguay,89,40.0,Familia Deicas 2015 Domaine Castelar Vineyard Tannat (Canelones),Familia Deicas
44472,Uruguay,89,16.0,Ariano Hermanos 2013 Don Adelio Reserve Tannat-Cabernet Franc (Canelones),Ariano Hermanos
56282,Uruguay,89,52.0,Familia Deicas 2006 Preludio Red (Juanico),Familia Deicas
72986,Uruguay,89,18.0,Artesana 2015 Tannat (Canelones),Artesana
86364,Uruguay,89,39.0,Bouza 2012 A8 Parcela Única Tannat (Montevideo),Bouza
105099,Uruguay,89,20.0,Bouza 2014 Reserva Tannat (Uruguay),Bouza
116717,Uruguay,89,20.0,Bouza 2014 Reserva Tannat (Uruguay),Bouza
122911,Uruguay,89,22.0,Gimenez Mendez 2015 Las Brujas Tannat (Canelones),Gimenez Mendez
129424,Uruguay,89,40.0,Familia Deicas 2015 Domaine Castelar Vineyard Tannat (Canelones),Familia Deicas
4051,Uruguay,88,43.0,Bouza 2013 B2 Parcela Unica Tannat (Canelones),Bouza
12718,Uruguay,88,20.0,Bouza 2011 Reserva Tempranillo-Tannat (Montevideo),Bouza
12719,Uruguay,88,19.0,Bouza 2013 Reserva Tannat (Montevideo),Bouza
