,country,points,price,title,winery
63521,Peru,86,20.0,Tacama 2008 Sinfonía Tannat-Malbec-Petit Verdot Red (Ica),Tacama
121784,Peru,86,17.0,Intipalka 2012 Valle del Sol Red (Ica),Intipalka
6565,Peru,85,14.0,Intipalka 2013 Valle del Sol Tannat (Ica),Intipalka
13090,Peru,85,15.0,Tacama 2008 Halcón de la Viña Malbec (Ica),Tacama
23537,Peru,85,17.0,Intipalka 2012 Valle del Sol Reserva Malbec-Merlot (Ica),Intipalka
37948,Peru,85,68.0,Intipalka 2010 Valle del Sol No 1 Gran Reserva Red (Ica),Intipalka
88229,Peru,84,20.0,Tacama 2008 Quantum Petit Verdot (Ica),Tacama
110080,Peru,84,17.0,Intipalka 2012 Valle del Sol Cabernet Sauvignon-Syrah (Ica),Intipalka
110081,Peru,84,14.0,Intipalka 2014 Valle del Sol Malbec (Ica),Intipalka
110082,Peru,84,14.0,Intipalka 2014 Valle del Sol Sauvignon Blanc (Ica),Intipalka
64672,Peru,83,10.0,Tacama 2010 Semi-Seco Blanco White (Ica),Tacama
14727,Peru,82,10.0,Tacama 2010 Gran Blanco White (Ica),Tacama
79699,Peru,82,14.0,Intipalka 2014 Valle del Sol Chardonnay (Ica),Intipalka
14732,Peru,81,10.0,Tacama 2009 Gran Tinto Red (Ica),Tacama
79711,Peru,81,14.0,Intipalka 2013 Valle del Sol Syrah (Ica),Intipalka
93686,Peru,80,15.0,Tacama 2010 Brut Sparkling (Ica),Tacama
