,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,year
82754,82754,Argentina,"If the color doesn't tell the full story, the nose will: it's impeccably perfumed, round and sweet, with amazing fruit aromas and a toasty background. The feel is as lush and rich as they come, and there's outstanding purity to the lusty black fruit flavors. A masher with elegance. Maybe the best Malbec Argentina has ever produced. Drink from 2011–15.",Nicasia Vineyard,97,120,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Catena Zapata 2006 Nicasia Vineyard Malbec (Mendoza),Malbec,Bodega Catena Zapata,2006
109230,109230,Argentina,"This wine takes you on a trip to an outer wine world where deep, cushioned berry aromas come with exotic perfumes, bath oils and crushed flower petals. It's ultrasaturated and jammy, but not clunky or heavy. This tastes like a storm of blackberry, espresso and Swiss chocolate, while black spices and length bring up the rear. A blend of 50% Malbec, 40% Cabernet Sauvignon and 10% Cab Franc; drink now–2017.",Gran Corte Las Divas Vineyard,96,50,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Riglos 2009 Gran Corte Las Divas Vineyard Red (Tupungato),Bordeaux-style Red Blend,Riglos,2009
109840,109840,Argentina,"Just when you think Alta Vista has gotten everything it can from Temis (see the 2012), this comes along to reset the benchmark. Ripe, round and lush on the nose, with full-force blackberry and prune aromas, this shows titanic grip, depth and ripeness on the palate. Flavors of raisin, chocolate and blackberry finish with hefty tannins and a smear of mocha flavor. Drink from 2018–2026.",Single Vineyard Temis,96,48,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Alta Vista 2013 Single Vineyard Temis Malbec (Mendoza),Malbec,Alta Vista,2013
8869,8869,Argentina,"If you love massive Argentine reds with purity of fruit and fine oak, then this blend is up your alley. Toasty blackberry aromas come with plenty of oak grain, vanilla and depth. This is profoundly deep on the palate, while toasty blackberry, chocolate and peppery flavors finish with mocha and bracing tannins that aren't too rocky or hard. Drink through 2025.",Finca Pedregal Single Vineyard Barrancas Maipú Selected Lots,95,74,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Pascual Toso 2014 Finca Pedregal Single Vineyard Barrancas Maipú Selected Lots Cabernet Sauvignon-Malbec (Mendoza),Cabernet Sauvignon-Malbec,Pascual Toso,2014
38984,38984,Argentina,"This is a supreme small-lot Argentine wine from lauded winemaker Jorge Riccitelli. The blend is 70% Malbec with 20% Cabernet and 10% Merlot. Aromas of loam, wild berry and vanilla are elegant and exciting. This is silky smooth, with creamy oak and ripe black-fruit flavors playing together through a mellow, plush finish. Drink this impressive, complete Malbec blend through 2016.",Vineyard Selection,95,62,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Finca Perdriel 2007 Vineyard Selection Red (Mendoza),Bordeaux-style Red Blend,Finca Perdriel,2007
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
