,country,points,price,title,winery
73993,Chile,95,90.0,Lapostolle 2008 Clos Apalta Red (Colchagua Valley),Lapostolle
95554,Chile,95,70.0,Valdivieso NV Caballo Loco Number Sixteen Red (Central Valley),Valdivieso
12942,Chile,94,40.0,Santa Carolina 2012 VSC Assemblage Red (Cachapoal Valley),Santa Carolina
25398,Chile,94,50.0,François Lurton 2011 Alka Carmenère (Colchagua Valley),François Lurton
37649,Chile,94,75.0,Lapostolle 2005 Clos Apalta Red (Colchagua Valley),Lapostolle
51388,Chile,94,92.0,Emiliana 2006 Gê Red (Colchagua Valley),Emiliana
76209,Chile,94,100.0,Santa Carolina 2011 Herencia Carmenère (Peumo),Santa Carolina
97636,Chile,94,100.0,Almaviva 2013 Red (Puente Alto),Almaviva
6911,Chile,93,70.0,Viu Manent 2011 Viu 1 Malbec (Colchagua Valley),Viu Manent
8575,Chile,93,35.0,Cono Sur 2013 20 Barrels Cabernet Sauvignon (Maipo Valley),Cono Sur
9562,Chile,93,70.0,Ventisquero 2013 Enclave Cabernet Sauvignon (Maipo Valley),Ventisquero
11090,Chile,93,87.0,Almaviva 1998 Red (Puente Alto),Almaviva
15131,Chile,93,75.0,Altaïr 2014 Red (Cachapoal Valley),Altaïr
20368,Chile,93,54.0,Viña el Principal 2008 El Principal Andetelmo Cabernet Sauvignon-Carmenère (Maipo Valley),Viña el Principal
22844,Chile,93,60.0,Pangea 2011 Apalta Vineyard Syrah (Colchagua Valley),Pangea
24748,Chile,93,40.0,Polkura 2012 Block g+i Syrah (Marchigue),Polkura
25013,Chile,93,95.0,Montes 2006 Folly Syrah (Santa Cruz),Montes
25015,Chile,93,78.0,Seña 2006 Red (Aconcagua Valley),Seña
26678,Chile,93,80.0,Lapostolle 2007 Clos Apalta Red (Colchagua Valley),Lapostolle
37653,Chile,93,65.0,Viu Manent 2005 Viu 1 Malbec (Colchagua Valley),Viu Manent
40337,Chile,93,85.0,Casas del Toqui 2010 Leyenda Red (Cachapoal Valley),Casas del Toqui
45342,Chile,93,35.0,Luis Felipe Edwards 2012 LFE900 Single Vineyard Red (Colchagua Valley),Luis Felipe Edwards
46125,Chile,93,92.0,Emiliana 2007 Gê Red (Colchagua Valley),Emiliana
48209,Chile,93,86.0,Matetic 2007 Syrah (San Antonio),Matetic
49951,Chile,93,93.0,Lapostolle 2010 Clos Apalta Red (Colchagua Valley),Lapostolle
49973,Chile,93,125.0,Errazuriz 2011 La Cumbre Syrah (Aconcagua Valley),Errazuriz
51625,Chile,93,75.0,Altaïr 2013 Red (Cachapoal Valley),Altaïr
51638,Chile,93,40.0,Polkura 2013 Block G + I Syrah (Marchigue),Polkura
54942,Chile,93,125.0,Concha y Toro 2011 Don Melchor Puente Alto Vineyard Cabernet Sauvignon (Puente Alto),Concha y Toro
54960,Chile,93,76.0,Enclave 2011 Cabernet Sauvignon (Maipo Valley),Enclave
68726,Chile,93,92.0,Emiliana 2008 Gê Red (Colchagua Valley),Emiliana
77085,Chile,93,85.0,Santa Rita 2012 Casa Real Estate Bottled Old Vines Cabernet Sauvignon (Maipo Valley),Santa Rita
77091,Chile,93,35.0,Cono Sur 2013 20 Barrels Cabernet Sauvignon (Maipo Valley),Cono Sur
77098,Chile,93,30.0,Viña Requingua 2012 Potro de Piedra Family Reserve Single Vineyard Cabernet Sauvignon-Cabernet Franc (Curicó Valley),Viña Requingua
77099,Chile,93,56.0,Estampa 2012 LaCruz Red (Colchagua Valley),Estampa
80066,Chile,93,65.0,Domaines Barons de Rothschild (Lafite) 2010 Le Dix de Los Vascos Red (Colchagua Valley),Domaines Barons de Rothschild (Lafite)
80069,Chile,93,90.0,Santa Carolina 2008 Herencia Carmenère (Peumo),Santa Carolina
82725,Chile,93,90.0,Montes 2012 Alpha M Red (Colchagua Valley),Montes
85722,Chile,93,150.0,Concha y Toro 2008 Gravas del Maipo Syrah (Buin),Concha y Toro
87309,Chile,93,75.0,Santa Rita 2007 Casa Real Cabernet Sauvignon (Maipo Valley),Santa Rita
90334,Chile,93,80.0,Altaïr 2004 Altaïr Red (Cachapoal Valley),Altaïr
93623,Chile,93,65.0,Altaïr 2005 Altaïr Red (Cachapoal Valley),Altaïr
99292,Chile,93,103.0,Almaviva 2007 Red (Puente Alto),Almaviva
99565,Chile,93,90.0,Lapostolle 2009 Clos Apalta Red (Colchagua Valley),Lapostolle
104455,Chile,93,55.0,Maquis 2010 Viola Red (Colchagua Valley),Maquis
105856,Chile,93,69.0,Concha y Toro 2005 Don Melchor Cabernet Sauvignon (Puente Alto),Concha y Toro
108334,Chile,93,90.0,Errazuriz 2011 Don Maximiano Founder's Reserva Red (Aconcagua Valley),Errazuriz
108335,Chile,93,400.0,Errazuriz 2011 Viñedo Chadwick Cabernet Sauvignon (Maipo Valley),Errazuriz
108359,Chile,93,54.0,Viña el Principal 2010 Andetelmo Red (Maipo Valley),Viña el Principal
114727,Chile,93,85.0,Santa Rita 2013 Casa Real Estate Bottled Cabernet Sauvignon (Maipo Valley),Santa Rita
115577,Chile,93,90.0,Emiliana 2005 Gê Red (Colchagua Valley),Emiliana
115961,Chile,93,90.0,Montes 2012 Folly Syrah (Colchagua Valley),Montes
117058,Chile,93,85.0,Antiyal 2013 Red (Maipo Valley),Antiyal
117070,Chile,93,140.0,Vik 2011 Red (Cachapoal Valley),Vik
117099,Chile,93,85.0,Antiyal 2013 Red (Maipo Valley),Antiyal
117865,Chile,93,95.0,Concha y Toro 2008 Don Melchor Cabernet Sauvignon (Puente Alto),Concha y Toro
120426,Chile,93,36.0,Loma Larga 2012 Unfiltered Rapsodia Red (Casablanca Valley),Loma Larga
125466,Chile,93,100.0,Koyle 2011 Auma Los Lingues Red (Colchagua Valley),Koyle
127453,Chile,93,100.0,Montes 2009 Alpha M Red (Santa Cruz),Montes
129251,Chile,93,300.0,Montes 2009 Taita Red (Colchagua Valley),Montes
129259,Chile,93,85.0,Santa Rita 2011 Casa Real Cabernet Sauvignon (Maipo Valley),Santa Rita
1509,Chile,92,92.0,Emiliana 2009 Gê Red (Colchagua Valley),Emiliana
1519,Chile,92,38.0,Concha y Toro 2009 Terrunyo Vineyard Selection Block Las Terrazas Unfiltered Cabernet Sauvignon (Maipo Valley),Concha y Toro
1521,Chile,92,29.0,Lagar de Bezana 2010 Aluvion Gran Reserva Ensamblaje Red (Cachapoal Valley),Lagar de Bezana
1524,Chile,92,40.0,Santa Carolina 2009 VSC Red (Cachapoal Valley),Santa Carolina
3856,Chile,92,60.0,Domus Aurea 2008 Cabernet Sauvignon (Maipo Valley),Domus Aurea
5131,Chile,92,120.0,Concha y Toro 2013 Don Melchor Puente Alto Vineyard Cabernet Sauvignon (Puente Alto),Concha y Toro
5140,Chile,92,26.0,Koyle 2013 Royale Los Lingues Vineyard Cabernet Sauvignon (Colchagua Valley),Koyle
5768,Chile,92,20.0,Errazuriz 2013 Max Reserva Cabernet Sauvignon (Aconcagua Valley),Errazuriz
8184,Chile,92,95.0,Montes 2006 Alpha M Red (Santa Cruz),Montes
8233,Chile,92,75.0,Antiyal 2011 Red (Maipo Valley),Antiyal
8394,Chile,92,95.0,Errazuriz 2013 Don Maximiano Founder's Reserve Red (Aconcagua Valley),Errazuriz
9295,Chile,92,20.0,Bodega Volcanes de Chile 2011 Tectonia Red (Central Valley),Bodega Volcanes de Chile
9297,Chile,92,33.0,Caliterra 2011 Edicion Limitada Red (Colchagua Valley),Caliterra
9301,Chile,92,25.0,Morandé 2010 Edición Limitada Carignan (Loncomilla Valley),Morandé
9309,Chile,92,85.0,Lapostolle 2010 Borobo Red (Rapel Valley),Lapostolle
11097,Chile,92,60.0,Seña 1997 Red (Aconcagua Valley),Seña
11485,Chile,92,60.0,Viña Tabalí 2009 Payen Red (Limarí Valley),Viña Tabalí
14109,Chile,92,66.0,Neyen 2013 Carmenère-Cabernet Sauvignon (Colchagua Valley),Neyen
14126,Chile,92,52.0,Viña Santa Cruz 2014 Tupu Edicion Limitada Red (Colchagua Valley),Viña Santa Cruz
16148,Chile,92,120.0,Errazuriz 2009 La Cumbre Syrah (Aconcagua Valley),Errazuriz
16149,Chile,92,45.0,O. Fournier 2008 Alfa Centauri Cabernet Sauvignon-Cabernet Franc-Merlot Red (Maule Valley),O. Fournier
16156,Chile,92,55.0,Estampa 2008 Lacruz Red (Colchagua Valley),Estampa
18036,Chile,92,75.0,Viu Manent 2006 Viu 1 Malbec (Colchagua Valley),Viu Manent
18250,Chile,92,60.0,Miguel Torres 2012 Manso de Velasco Cabernet Sauvignon (Curicó Valley),Miguel Torres
18444,Chile,92,65.0,Domaines Barons de Rothschild (Lafite) 2013 Le Dix de Los Vascos Estate Grown Red (Colchagua Costa),Domaines Barons de Rothschild (Lafite)
21477,Chile,92,150.0,Almaviva 2012 Red (Puente Alto),Almaviva
26559,Chile,92,50.0,Neyen 2012 Cabernet Sauvignon-Carmenère (Colchagua Valley),Neyen
27863,Chile,92,80.0,Cousiño-Macul 2010 Lota Red (Maipo Valley),Cousiño-Macul
31369,Chile,92,72.0,Montes 2007 Purple Angel Carmenère (Colchagua Valley),Montes
34755,Chile,92,22.0,Lapostolle 2011 Canto de Apalta Red (Rapel Valley),Lapostolle
34756,Chile,92,85.0,Maquis 2010 Franco Cabernet Franc (Colchagua Valley),Maquis
36239,Chile,92,40.0,Polkura 2011 Block g+i Syrah (Marchigue),Polkura
44786,Chile,92,38.0,Kingston Family 2015 Bayo Oscuro Syrah (Casablanca Valley),Kingston Family
45292,Chile,92,80.0,Lapostolle 2006 Borobo Red (Chile),Lapostolle
47141,Chile,92,40.0,Lagar de Bezana 2010 Edicion Limitada Single Vineyard Syrah (Cachapoal Valley),Lagar de Bezana
47148,Chile,92,400.0,Errazuriz 2010 Viñedo Chadwick Red (Maipo Valley),Errazuriz
48515,Chile,92,23.0,Montes 2013 Alpha Syrah (Colchagua Valley),Montes
48762,Chile,92,50.0,Neyen 2012 Cabernet Sauvignon-Carmenère (Colchagua Valley),Neyen
48951,Chile,92,85.0,Montes 2012 Purple Angel Carmenère (Colchagua Valley),Montes
