,country,points,price,title,winery
45988,Hungary,97,80.0,Royal Tokaji 2013 6 Puttonyos Aszú Gold Label  (Tokaji),Royal Tokaji
351,Hungary,96,320.0,Oremus 2005 Eszencia  (Tokaji),Oremus
46002,Hungary,96,54.0,Royal Tokaji 2013 5 Puttonyos Aszú Red Label  (Tokaji),Royal Tokaji
90912,Hungary,96,125.0,Dobogó 2007 Aszú 6 Puttonyos  (Tokaji),Dobogó
63757,Hungary,95,43.0,Chateau Dereszla 2009 Aszú 5 Puttonyos  (Tokaji),Chateau Dereszla
6575,Hungary,94,175.0,Royal Tokaji 1999 Mézes Mály Aszú 6 Puttonyos  (Tokaji),Royal Tokaji
49326,Hungary,94,764.0,Royal Tokaji 2003 Essencia  (Tokaji),Royal Tokaji
116828,Hungary,94,21.0,Royal Tokaji 2016 Late Harvest  (Tokaji),Royal Tokaji
25822,Hungary,93,50.0,Béres 2007 Aszú 5 Puttonyos  (Tokaji),Béres
38432,Hungary,93,26.0,Disznókö 2012 Késöi Szüret Late Harvest  (Tokaji),Disznókö
38434,Hungary,93,25.0,Dobogó 2011 Szent Tamás Betsek Vineyards  (Tokaji),Dobogó
46692,Hungary,93,32.0,Oremus 2014 Late Harvest  (Tokaji),Oremus
80857,Hungary,93,25.0,Patricius 2012 Katinka Noble Late Harvest  (Tokaji),Patricius
105179,Hungary,93,,Szepsy 2002 Aszú 6 Puttonyos Tokaji (Tokaj),Szepsy
35018,Hungary,92,59.0,Tokaj Classic 2000 Aszú 6 Puttonyos - 500 ml Tokaji (Tokaj),Tokaj Classic
35025,Hungary,92,80.0,Tokaj Classic 1999 Aszú 6 Puttonyos - 500 ml Tokaji (Tokaj),Tokaj Classic
65594,Hungary,92,40.0,Dobogó 2012 Mylitta Furmint (Tokaj),Dobogó
72302,Hungary,92,46.0,Samuel Tinon 2007 Dry Tokaji Szamorodni Furmint (Tokaj),Samuel Tinon
76303,Hungary,92,70.0,Oremus 2006 Aszú 5 Puttonyos  (Tokaji),Oremus
76975,Hungary,92,16.0,Royal Tokaji 2011  Tokaji,Royal Tokaji
114888,Hungary,92,118.0,Royal Tokaji 2007 Betsek Aszú 6 Puttonyos  (Tokaji),Royal Tokaji
127296,Hungary,92,118.0,Royal Tokaji 2007 Szt. Tamás Aszú 6 Puttonyos  (Tokaji),Royal Tokaji
26102,Hungary,91,77.0,Royal Tokaji 1996 Szt. Tamás Aszú 6 Puttonyos  (Tokaji),Royal Tokaji
