,country,points,price,title,winery
38503,Macedonia,89,20.0,Stobi 2011 Veritas Vranec (Tikves),Stobi
38504,Macedonia,89,15.0,Stobi 2013 Vranec (Tikves),Stobi
25466,Macedonia,88,15.0,Bovin 2007 Sauvignon (Tikves),Bovin
38947,Macedonia,88,15.0,Stobi 2014 Rkatsiteli (Tikves),Stobi
51421,Macedonia,88,15.0,Stobi 2014 Žilavka (Tikves),Stobi
58531,Macedonia,87,15.0,Bovin 2008 Chardonnay (Tikves),Bovin
73787,Macedonia,87,15.0,Stobi 2011 Macedon Pinot Noir (Tikves),Stobi
129773,Macedonia,87,15.0,Stobi 2011 Macedon Pinot Noir (Tikves),Stobi
118031,Macedonia,86,16.0,Bovin 2006 Alexandar Red (Tikves),Bovin
75757,Macedonia,85,15.0,Bovin 2007 Symphony White (Tikves),Bovin
75767,Macedonia,84,16.0,Bovin 2007 Vranec (Tikves),Bovin
110752,Macedonia,84,15.0,Macedon 2010 Pinot Noir (Tikves),Macedon
