variety,year,price
Abouriou                  ,2012,45.0
Abouriou                  ,2014,15.0
Agiorgitiko               ,2003,21.0
Agiorgitiko               ,2004,31.7777777778
Agiorgitiko               ,2005,37.3333333333
Agiorgitiko               ,2006,23.8
Agiorgitiko               ,2007,18.0
Agiorgitiko               ,2008,28.3
Agiorgitiko               ,2009,12.25
Agiorgitiko               ,2010,16.5
Agiorgitiko               ,2011,18.2
Agiorgitiko               ,2012,16.6666666667
Agiorgitiko               ,2013,14.5
Agiorgitiko               ,2014,28.0
Aglianico                 ,2001,55.8
Aglianico                 ,2003,39.1428571429
Aglianico                 ,2004,57.7647058824
Aglianico                 ,2005,43.2666666667
Aglianico                 ,2006,39.16
Aglianico                 ,2007,41.4117647059
Aglianico                 ,2008,40.4137931034
Aglianico                 ,2009,46.875
Aglianico                 ,2010,32.3529411765
Aglianico                 ,2011,47.1034482759
Aglianico                 ,2012,31.9487179487
Aglianico                 ,2013,27.9565217391
Aglianico                 ,2014,29.1666666667
Aglianico                 ,2015,21.2857142857
Aidani                    ,2011,27.0
Airen                     ,2007,8.0
Airen                     ,2009,9.0
Airen                     ,2011,10.0
