country,year,points
Argentina,1999,80
Argentina,2000,84
Argentina,2001,82
Argentina,2002,88
Argentina,2003,86
Argentina,2004,87
Argentina,2005,86
Argentina,2006,86
Argentina,2007,86
Argentina,2008,86
Argentina,2009,86
Argentina,2010,86
Argentina,2011,86
Argentina,2012,87
Argentina,2013,87
Argentina,2014,86
Argentina,2015,86
Argentina,2016,86
Argentina,2017,84
Armenia,2015,87
Australia,1993,84
Australia,1996,92
Australia,1997,89
Australia,1998,88
Australia,1999,85
Australia,2000,86
Australia,2001,86
Australia,2002,87
Australia,2003,88
Australia,2004,88
Australia,2005,88
Australia,2006,87
Australia,2007,87
Australia,2008,88
Australia,2009,88
Australia,2010,89
Australia,2011,89
Australia,2012,90
Australia,2013,89
Australia,2014,89
Australia,2015,88
Australia,2016,87
Austria  ,-1,88
Austria  ,1983,89
Austria  ,1988,88
Austria  ,1992,92
Austria  ,1998,88
Austria  ,1999,88
Austria  ,2000,86
Austria  ,2001,89
Austria  ,2002,89
Austria  ,2003,87
Austria  ,2004,89
Austria  ,2005,89
Austria  ,2006,89
Austria  ,2007,88
Austria  ,2008,89
Austria  ,2009,89
Austria  ,2010,90
Austria  ,2011,89
Austria  ,2012,90
Austria  ,2013,90
Austria  ,2014,90
Austria  ,2015,90
Austria  ,2016,90
Bosnia,2007,85
Bosnia,2011,88
Brazil,-1,85
Brazil,2002,83
Brazil,2004,82
Brazil,2005,85
Brazil,2006,83
Brazil,2007,81
Brazil,2009,83
Brazil,2010,81
Brazil,2011,84
Brazil,2012,86
Brazil,2013,86
Brazil,2014,84
Brazil,2015,83
Brazil,2016,83
Brazil,2017,84
Bulgaria ,2006,84
Bulgaria ,2007,84
Bulgaria ,2008,89
Bulgaria ,2009,86
Bulgaria ,2010,89
Bulgaria ,2011,88
Bulgaria ,2012,88
Bulgaria ,2013,88
Bulgaria ,2014,88
Bulgaria ,2015,88
Bulgaria ,2016,87
Canada   ,-1,89
Canada   ,1997,89
Canada   ,1998,87
Canada   ,1999,88
Canada   ,2002,86
Canada   ,2003,90
Canada   ,2004,85
Canada   ,2005,91
Canada   ,2006,89
Canada   ,2007,88
Canada   ,2008,89
Canada   ,2009,89
Canada   ,2010,90
Canada   ,2011,89
Canada   ,2012,90
Canada   ,2013,89
Canada   ,2014,89
Canada   ,2015,90
Canada   ,2016,85
Chile    ,-1,84
Chile    ,1994,85
Chile    ,1997,87
Chile    ,1998,84
Chile    ,1999,85
Chile    ,2000,85
Chile    ,2001,85
Chile    ,2002,84
Chile    ,2003,89
Chile    ,2004,88
Chile    ,2005,88
Chile    ,2006,87
Chile    ,2007,86
Chile    ,2008,86
Chile    ,2009,86
Chile    ,2010,86
Chile    ,2011,86
Chile    ,2012,86
Chile    ,2013,86
Chile    ,2014,86
Chile    ,2015,85
Chile    ,2016,85
Chile    ,2017,85
China    ,2009,89
Croatia  ,-1,91
Croatia  ,2005,82
Croatia  ,2006,87
Croatia  ,2007,87
Croatia  ,2008,86
Croatia  ,2009,87
Croatia  ,2010,87
Croatia  ,2011,87
Croatia  ,2012,88
Croatia  ,2013,91
Croatia  ,2015,88
Cyprus   ,-1,89
Cyprus   ,2000,89
Cyprus   ,2004,85
Cyprus   ,2007,87
Cyprus   ,2008,86
Cyprus   ,2010,87
Cyprus   ,2014,89
Czech Rep,-1,85
Czech Rep,2007,89
Czech Rep,2009,88
Czech Rep,2010,89
Czech Rep,2011,85
Czech Rep,2012,88
Czech Rep,2013,87
Egypt    ,2008,84
England  ,-1,90
England  ,2009,94
England  ,2010,91
England  ,2011,92
England  ,2012,89
England  ,2013,91
England  ,2014,92
England  ,2015,91
France   ,-1,88
France   ,1904,91
France   ,1945,95
France   ,1982,95
France   ,1985,94
France   ,1988,90
France   ,1989,87
France   ,1990,90
France   ,1992,91
France   ,1994,89
France   ,1995,90
France   ,1996,91
France   ,1997,87
France   ,1998,88
France   ,1999,89
France   ,2000,90
France   ,2001,87
France   ,2002,92
France   ,2003,89
France   ,2004,90
France   ,2005,89
France   ,2006,89
France   ,2007,88
France   ,2008,89
France   ,2009,89
France   ,2010,89
France   ,2011,88
France   ,2012,88
France   ,2013,88
France   ,2014,88
France   ,2015,88
France   ,2016,87
Georgia  ,-1,89
Georgia  ,1882,84
Georgia  ,2007,85
Georgia  ,2008,86
Georgia  ,2009,87
Georgia  ,2010,88
Georgia  ,2012,89
Georgia  ,2013,88
Georgia  ,2014,88
Georgia  ,2015,86
Germany  ,-1,88
Germany  ,1976,88
Germany  ,1989,93
Germany  ,1994,90
Germany  ,1995,90
Germany  ,1999,92
Germany  ,2001,91
Germany  ,2003,88
Germany  ,2004,94
Germany  ,2005,88
Germany  ,2006,89
Germany  ,2007,88
Germany  ,2008,89
Germany  ,2009,89
Germany  ,2010,90
Germany  ,2011,90
Germany  ,2012,89
Germany  ,2013,89
Germany  ,2014,89
Germany  ,2015,90
Germany  ,2016,88
Greece   ,-1,86
Greece   ,2001,85
Greece   ,2003,87
Greece   ,2004,86
Greece   ,2005,86
Greece   ,2006,86
Greece   ,2007,86
Greece   ,2008,87
Greece   ,2009,86
Greece   ,2010,86
Greece   ,2011,87
Greece   ,2012,87
Greece   ,2013,88
Greece   ,2014,89
Greece   ,2015,88
Greece   ,2016,87
Hungary  ,-1,84
Hungary  ,1996,90
Hungary  ,1999,92
Hungary  ,2000,89
Hungary  ,2001,84
Hungary  ,2002,90
Hungary  ,2003,87
Hungary  ,2004,86
Hungary  ,2005,86
Hungary  ,2006,89
Hungary  ,2007,91
Hungary  ,2008,88
Hungary  ,2009,90
Hungary  ,2010,87
Hungary  ,2011,88
Hungary  ,2012,89
Hungary  ,2013,90
Hungary  ,2014,89
Hungary  ,2015,89
Hungary  ,2016,94
India    ,2011,93
India    ,2012,91
India    ,2013,90
India    ,2014,92
India    ,2015,88
Israel   ,-1,88
Israel   ,1848,89
Israel   ,1996,80
Israel   ,1998,83
Israel   ,1999,83
Israel   ,2002,89
Israel   ,2003,88
Israel   ,2004,85
Israel   ,2005,85
Israel   ,2006,86
Israel   ,2007,86
Israel   ,2008,87
Israel   ,2009,87
Israel   ,2010,88
Israel   ,2011,88
Israel   ,2012,89
Israel   ,2013,89
Israel   ,2014,89
Israel   ,2015,89
Israel   ,2016,87
Italy    ,-1,86
Italy    ,1821,85
Italy    ,1845,86
Italy    ,1860,88
Italy    ,1868,89
Italy    ,1870,86
Italy    ,1875,85
Italy    ,1877,88
Italy    ,1898,89
Italy    ,1929,85
Italy    ,1991,83
Italy    ,1992,90
Italy    ,1994,92
Italy    ,1995,89
Italy    ,1996,86
Italy    ,1997,89
Italy    ,1998,87
Italy    ,1999,88
Italy    ,2000,87
Italy    ,2001,88
Italy    ,2002,87
Italy    ,2003,88
Italy    ,2004,89
Italy    ,2005,89
Italy    ,2006,89
Italy    ,2007,89
Italy    ,2008,88
Italy    ,2009,88
Italy    ,2010,88
Italy    ,2011,88
Italy    ,2012,88
Italy    ,2013,88
Italy    ,2014,87
Italy    ,2015,88
Italy    ,2016,87
Lebanon  ,1999,85
Lebanon  ,2000,91
Lebanon  ,2001,83
Lebanon  ,2002,83
Lebanon  ,2003,87
Lebanon  ,2004,86
Lebanon  ,2005,87
Lebanon  ,2007,83
Lebanon  ,2008,83
Lebanon  ,2009,89
Lebanon  ,2010,89
Lebanon  ,2011,89
Lebanon  ,2012,89
Lebanon  ,2013,89
Lebanon  ,2014,88
Luxembour,-1,88
Luxembour,2014,90
Luxembour,2015,88
Macedonia,2006,86
Macedonia,2007,85
Macedonia,2008,87
Macedonia,2010,84
Macedonia,2011,87
Macedonia,2013,89
Macedonia,2014,88
Mexico   ,1996,87
Mexico   ,1999,83
Mexico   ,2000,84
Mexico   ,2001,84
Mexico   ,2005,84
Mexico   ,2007,89
Mexico   ,2008,86
Mexico   ,2009,85
Mexico   ,2010,85
Mexico   ,2011,84
Mexico   ,2012,84
Mexico   ,2013,81
Moldova  ,-1,85
Moldova  ,2001,83
Moldova  ,2004,83
Moldova  ,2006,84
Moldova  ,2009,90
Moldova  ,2010,90
Moldova  ,2011,86
Moldova  ,2012,89
Moldova  ,2013,88
Moldova  ,2014,87
Moldova  ,2015,87
Morocco  ,2010,87
Morocco  ,2011,89
Morocco  ,2012,89
Morocco  ,2013,89
Morocco  ,2014,88
Morocco  ,2015,88
Morocco  ,2016,87
New Zeala,-1,87
New Zeala,1998,92
New Zeala,1999,86
New Zeala,2000,86
New Zeala,2001,87
New Zeala,2002,88
New Zeala,2004,87
New Zeala,2005,88
New Zeala,2006,87
New Zeala,2007,87
New Zeala,2008,87
New Zeala,2009,87
New Zeala,2010,88
New Zeala,2011,88
New Zeala,2012,89
New Zeala,2013,89
New Zeala,2014,88
New Zeala,2015,88
New Zeala,2016,88
Peru     ,2008,85
Peru     ,2009,81
Peru     ,2010,82
Peru     ,2012,85
Peru     ,2013,83
Peru     ,2014,83
Portugal ,-1,87
Portugal ,1912,90
Portugal ,1934,93
Portugal ,1935,94
Portugal ,1941,93
Portugal ,1952,95
Portugal ,1957,95
Portugal ,1961,95
Portugal ,1963,92
Portugal ,1964,93
Portugal ,1965,94
Portugal ,1966,95
Portugal ,1967,94
Portugal ,1968,95
Portugal ,1969,98
Portugal ,1973,96
Portugal ,1974,93
Portugal ,1978,94
Portugal ,1980,94
Portugal ,1983,92
Portugal ,1984,94
Portugal ,1986,94
Portugal ,1987,95
Portugal ,1989,93
Portugal ,1992,92
Portugal ,1995,92
Portugal ,1996,89
Portugal ,1997,89
Portugal ,1998,87
Portugal ,1999,88
Portugal ,2000,89
Portugal ,2001,88
Portugal ,2002,89
Portugal ,2003,89
Portugal ,2004,88
Portugal ,2005,89
Portugal ,2006,87
Portugal ,2007,89
Portugal ,2008,88
Portugal ,2009,89
Portugal ,2010,88
Portugal ,2011,89
Portugal ,2012,88
Portugal ,2013,88
Portugal ,2014,87
Portugal ,2015,87
Portugal ,2016,86
Romania  ,2000,85
Romania  ,2001,86
Romania  ,2002,88
Romania  ,2004,86
Romania  ,2005,84
Romania  ,2006,84
Romania  ,2007,84
Romania  ,2008,85
Romania  ,2009,85
Romania  ,2010,87
Romania  ,2011,86
Romania  ,2012,87
Romania  ,2013,88
Romania  ,2014,86
Romania  ,2015,86
Romania  ,2016,85
Serbia   ,2007,89
Serbia   ,2008,86
Serbia   ,2009,89
Serbia   ,2011,87
Serbia   ,2012,87
