year,points,country
1821,86,Italy    
1827,94,Spain    
1840,92,US       
1845,88,Italy    
1847,92,Spain    
1848,91,Israel   
1850,91,US       
1852,91,US       
1856,87,US       
1860,91,Italy    
1868,92,Italy    
1870,87,Italy    
1870,85,South Afr
1872,87,Spain    
1875,88,Italy    
1877,90,Italy    
1882,87,Georgia  
1882,87,Spain    
1887,84,Spain    
1898,92,Italy    
1898,89,Spain    
1904,91,France   
1912,94,Portugal 
1919,88,Spain    
1927,96,Spain    
1929,87,Italy    
1934,93,Portugal 
1935,94,Portugal 
1941,93,Portugal 
1945,95,France   
1947,93,Spain    
1952,96,Portugal 
1957,95,Portugal 
1961,95,Portugal 
1963,96,Portugal 
1964,95,Portugal 
1965,94,Portugal 
1966,95,Portugal 
1967,94,Portugal 
1968,95,Portugal 
1969,98,Portugal 
1973,96,Portugal 
1974,93,Portugal 
1976,88,Germany  
1978,94,Portugal 
1978,83,Spain    
1980,95,Portugal 
1982,95,France   
1983,89,Austria  
1983,92,Portugal 
1984,95,Portugal 
1985,96,France   
1985,89,Spain    
1985,86,US       
1986,94,Portugal 
1986,92,Spain    
1986,86,US       
1987,95,Portugal 
1987,89,US       
1988,88,Austria  
1988,93,France   
1989,91,France   
1989,93,Germany  
1989,93,Portugal 
1989,86,US       
1990,94,France   
1990,88,US       
1991,83,Italy    
1991,93,US       
1992,92,Austria  
1992,96,France   
1992,90,Italy    
1992,92,Portugal 
1992,92,US       
1993,84,Australia
1993,93,US       
1994,85,Chile    
1994,92,France   
1994,90,Germany  
1994,93,Italy    
1994,88,Spain    
1994,90,US       
1995,95,France   
1995,90,Germany  
1995,100,Italy    
1995,93,Portugal 
1995,87,South Afr
1995,92,Spain    
1995,90,US       
1996,96,Australia
1996,97,France   
1996,91,Hungary  
1996,80,Israel   
1996,92,Italy    
1996,88,Mexico   
1996,91,Portugal 
1996,87,South Afr
1996,91,Spain    
1996,95,US       
1997,90,Australia
1997,89,Canada   
1997,92,Chile    
1997,93,France   
1997,99,Italy    
1997,94,Portugal 
1997,87,South Afr
1997,89,Spain    
1997,97,US       
1998,95,Australia
1998,88,Austria  
1998,90,Canada   
1998,93,Chile    
1998,96,France   
1998,84,Israel   
1998,95,Italy    
1998,92,New Zeala
1998,93,Portugal 
1998,94,South Afr
1998,94,Spain    
1998,96,US       
1999,80,Argentina
1999,93,Australia
1999,90,Austria  
1999,91,Canada   
1999,91,Chile    
1999,98,France   
1999,92,Germany  
