winery,avg_score
                               ,
1+1=3                          ,86.6666666667
10 Knots                       ,83.25
100 Percent Wine               ,86.3333333333
1000 Stories                   ,90.5
1070 Green                     ,88.0
10Span                         ,83.5
12 Linajes                     ,89.875
12C Wines                      ,92.6
13 Celsius                     ,87.0
14 Hands                       ,87.5074626866
16X20                          ,85.5
1752 Signature Wines           ,88.0
1789 Wines                     ,91.0
181                            ,84.0
18401 Cellars                  ,91.8
1848 Winery                    ,89.5
1850                           ,89.3333333333
19 Crimes                      ,83.0
1912 Winemakers                ,90.125
2 Copas                        ,81.0
2 Lads                         ,86.0
2 Up                           ,87.5
21 Grams                       ,92.5
24 Knots                       ,82.0
240 Days                       ,86.3333333333
25 Lagunas                     ,81.0
29 & Oak Wines                 ,88.8
2Hawk                          ,87.7142857143
2nd Chance                     ,89.3333333333
2Plank                         ,88.3333333333
3 Badge Beverage               ,84.0
3 Ball                         ,88.0
3 Horse Ranch Vineyards        ,86.3870967742
3 Rings                        ,89.25
3 Spells                       ,81.0
3 Steves Winery                ,83.6
3 Stones                       ,88.0
3000 BC                        ,86.0
31st State                     ,83.0
32 Winds                       ,89.0
337 Wine Cellars               ,87.0
3CV                            ,84.0
3Fools                         ,83.3333333333
4 Cellars                      ,87.0
401K                           ,84.6666666667
428 Wines                      ,85.0
42°S                           ,87.6666666667
460 Casina Bric                ,87.6666666667
4R4U                           ,87.0
50 Harvests                    ,89.5
5OS Project                    ,89.0
6 North                        ,88.0
6 Under                        ,88.0
60 North                       ,85.0
60 Souls                       ,85.0
6cepas6                        ,87.0
7 Heavenly Chards              ,82.0
7 Peaks                        ,86.0
75 Wine Co.                    ,87.6666666667
786 Wines                      ,86.0
8 Chains North                 ,87.5
868 Estate                     ,85.0
9 Mile Road                    ,89.3333333333
:Nota Bene                     ,88.126984127
A Blooming Hill Vineyard       ,87.0
A By Acacia                    ,85.0
A Cellar Full of Noise         ,84.0
A Coroa                        ,89.0
A Donkey and Goat              ,90.3333333333
A to Z                         ,88.3
A-Mano                         ,85.1666666667
a-non-ah-mus                   ,88.25
A. Christmann                  ,89.2
A. D. Coutelas                 ,89.6666666667
A. de Luze et Fils             ,85.5
A. Margaine                    ,89.5
A. Parparoussis                ,84.5
A.A. Badenhorst Family Wines   ,90.8888888889
A.P. Vin                       ,88.0
A.R. Lenoble                   ,90.5625
A.S. Kiken                     ,84.6666666667
A.T. Richardson                ,89.0
A2O                            ,88.0
Aaldering                      ,87.0
Aaron                          ,91.6666666667
Abacela                        ,88.4736842105
Abad                           ,84.6666666667
Abad Dom Bueno                 ,87.7692307692
Abadia Retuerta                ,88.6
Abadía da Cova                 ,88.0
Abadía de Acón                 ,90.0
Abadía de Tortoreos            ,87.0
Abadía la Arroyada             ,85.0
Abarbanel                      ,83.2857142857
Abbadia Ardenga                ,91.3636363636
Abbaye de Saint-Ferme          ,86.5
Abbaye De Tholomies            ,87.0
Abbaye Sylva Plana             ,90.0
Abbazia di Novacella           ,89.3770491803
Abbazia Monte Oliveto          ,86.0
Abbazia Santa Anastasia        ,87.2
Abbey Creek                    ,88.0
Abbeyville                     ,83.0
Abbona Marziano                ,89.5
Abbot's Passage                ,91.5
Abbotts                        ,91.0
Abbotts Delaunay               ,88.0
Abeja                          ,92.3571428571
Abelis Carthago                ,90.75
Aberrant Cellars               ,91.3636363636
Abiouness                      ,92.0
Abiqua Wind                    ,86.1
Abraham Perold                 ,94.0
Abraxas                        ,91.0
Abrazo                         ,84.0
Acacia                         ,89.2894736842
Acaibo                         ,92.0
Accadia                        ,86.6666666667
Accordini Igino                ,89.75
Acentor                        ,85.0
Achaia Clauss                  ,86.25
Achaval-Ferrer                 ,90.5555555556
Acinum                         ,88.3333333333
Ackerman                       ,86.2857142857
Ackerman Family Vineyards      ,89.0
Aconcagua                      ,82.3333333333
Aconga                         ,82.8
Acordeón                       ,84.0
Acorex                         ,83.0
Acorn                          ,88.5
Acquiesce                      ,88.3333333333
Acre                           ,87.0
Acre Twenty-one                ,84.5
Acrobat                        ,88.1333333333
Acronym                        ,83.0
Acumen                         ,87.0
Acústic                        ,89.25
Ad Lib                         ,86.0
Ad Vivum                       ,91.5
Ada Nada                       ,88.375
Adair Bachman                  ,90.0
Adalia                         ,84.0
Adamant Cellars                ,88.5
Adami                          ,88.2692307692
Adams Bench                    ,90.6666666667
Adanti                         ,88.6
Adastra                        ,86.5
Addamo                         ,86.0
Addendum                       ,92.3333333333
Adega Algueira                 ,90.0
