winery,avg_score
                               ,
1+1=3                          ,86.6666666667
100 Percent Wine               ,86.3333333333
1000 Stories                   ,90.5
10Span                         ,83.5
12 Linajes                     ,88.0
13 Celsius                     ,87.0
14 Hands                       ,87.1395348837
1752 Signature Wines           ,88.0
181                            ,84.0
1850                           ,86.0
19 Crimes                      ,83.0
1912 Winemakers                ,90.125
2 Copas                        ,81.0
2 Lads                         ,84.3333333333
2 Up                           ,87.5
24 Knots                       ,82.0
25 Lagunas                     ,81.0
3 Ball                         ,88.0
3 Horse Ranch Vineyards        ,85.8
3 Rings                        ,89.25
3 Stones                       ,88.0
3000 BC                        ,86.0
31st State                     ,83.0
337 Wine Cellars               ,87.0
3CV                            ,84.0
401K                           ,84.6666666667
42°S                           ,87.6666666667
4R4U                           ,87.0
6 Under                        ,88.0
60 North                       ,85.0
6cepas6                        ,87.0
7 Heavenly Chards              ,82.0
7 Peaks                        ,86.0
75 Wine Co.                    ,87.6666666667
786 Wines                      ,86.0
9 Mile Road                    ,89.3333333333
A Blooming Hill Vineyard       ,87.0
A By Acacia                    ,85.0
A Cellar Full of Noise         ,84.0
A to Z                         ,88.2413793103
A-Mano                         ,85.1666666667
a-non-ah-mus                   ,89.0
A. Christmann                  ,89.0
A. de Luze et Fils             ,85.5
A.A. Badenhorst Family Wines   ,89.0
Abacela                        ,87.6071428571
Abad                           ,84.6666666667
Abad Dom Bueno                 ,85.0
Abadia Retuerta                ,82.0
Abadía de Tortoreos            ,87.0
Abadía la Arroyada             ,84.0
Abarbanel                      ,83.2
Abbadia Ardenga                ,90.0
Abbaye de Saint-Ferme          ,86.0
Abbaye De Tholomies            ,87.0
Abbazia di Novacella           ,88.8275862069
Abbazia Monte Oliveto          ,86.0
Abbazia Santa Anastasia        ,87.0
Abbeyville                     ,83.0
Abiqua Wind                    ,86.4444444444
Abrazo                         ,84.0
Accadia                        ,85.5
Acentor                        ,85.0
Achaia Clauss                  ,86.25
Acinum                         ,86.0
Ackerman                       ,85.5
Aconcagua                      ,82.3333333333
Aconga                         ,82.8
Acordeón                       ,84.0
Acorex                         ,83.0
Acorn                          ,87.0
Acre                           ,87.0
Acre Twenty-one                ,84.5
Acrobat                        ,88.1333333333
Acronym                        ,83.0
Acumen                         ,84.0
Acústic                        ,88.0
Ad Lib                         ,86.0
Ada Nada                       ,87.0
Adalia                         ,84.0
Adamant Cellars                ,86.0
Adami                          ,87.75
Adams Bench                    ,88.0
Adanti                         ,84.0
Adastra                        ,82.0
Adega Algueira                 ,90.0
Adega Cachín                   ,89.0
Adega Cooperativa da Batalha   ,84.0
Adega Cooperativa de Borba     ,86.5918367347
Adega Cooperativa de Vila Real ,82.0
Adega Cooperativa do Cartaxo   ,85.8541666667
Adega Cooperativa Ponte de Barc,83.8888888889
Adega Cooperativa Ponte de Lima,85.1666666667
Adega de Cantanhede            ,86.6
Adega de Favaios               ,88.0
Adega de Monção                ,86.0
Adega Mayor                    ,85.8333333333
Adega Mãe                      ,87.1666666667
Adega Vila Real                ,85.5714285714
Adegas D'Altamira              ,89.0
Adelaida                       ,86.75
Adelsheim                      ,90.0
Aderezo                        ,89.0
Adi Badenhorst & Duncan Savage ,93.0
Adirondack Winery              ,85.5
Adler Fels                     ,85.0
Adolph Mueller                 ,86.0
Adoquin                        ,88.0
Adria Vini                     ,84.5
Adriano Marco & Vittorio       ,89.2222222222
Adrás                          ,86.25
Adzic                          ,89.0
African Passion                ,85.0
Agate Ridge                    ,82.6
Agness                         ,85.0
Agostina Pieri                 ,89.0
Agostino Bosco                 ,92.0
Agostino Pavia & Figli         ,89.0
Agostino Vicentini             ,86.0
Agricola Bellaria              ,87.0
Agricola Castellana            ,86.25
Agricola Falset-Marca          ,88.0
Agricola Pace                  ,87.0
Agricola Pugliano              ,87.0
Agricola Punica                ,90.0
Agricola Querciabella          ,89.0
Agricola Sulin                 ,87.5
Agricola Tamburini             ,89.0
Agricole Vallone               ,86.0
Agricoltori del Chianti Geograf,87.7
Agrina                         ,86.3333333333
Agrinatura                     ,85.0
Agro de Bazán                  ,85.0
AgroArgento                    ,88.5
Agrolaguna                     ,87.5
Agros                          ,84.0
Agrícola Labastida             ,89.0
Aguijón De Abeja               ,85.3333333333
Aguirre                        ,83.125
Agur                           ,84.0
Agustinos                      ,86.0
Agustí Torelló Mata            ,87.0
Agustín Cubero                 ,80.6666666667
Aia Vecchia                    ,87.8
Aigner                         ,91.0
Aila                           ,86.0
Aimé Roquesante                ,86.0
