variety;year;price
                          ;1999;17.0
Abouriou                  ;2012;45.0
Abouriou                  ;2014;15.0
Agiorgitiko               ;2003;21.0
Agiorgitiko               ;2004;31.7777777778
Agiorgitiko               ;2005;37.3333333333
Agiorgitiko               ;2006;23.8
Agiorgitiko               ;2007;18.0
Agiorgitiko               ;2008;28.3
Agiorgitiko               ;2009;12.25
Agiorgitiko               ;2010;16.5
Agiorgitiko               ;2011;18.2
Agiorgitiko               ;2012;16.6666666667
Agiorgitiko               ;2013;14.5
Agiorgitiko               ;2014;28.0
Aglianico                 ;-1;43.0
Aglianico                 ;2001;55.8
Aglianico                 ;2003;39.1428571429
Aglianico                 ;2004;57.7647058824
Aglianico                 ;2005;43.2666666667
Aglianico                 ;2006;39.16
Aglianico                 ;2007;41.4117647059
Aglianico                 ;2008;40.4137931034
Aglianico                 ;2009;46.875
Aglianico                 ;2010;32.3529411765
Aglianico                 ;2011;47.1034482759
Aglianico                 ;2012;31.9487179487
Aglianico                 ;2013;27.9565217391
Aglianico                 ;2014;29.1666666667
Aglianico                 ;2015;21.2857142857
Aidani                    ;2011;27.0
Airen                     ;2007;8.0
Airen                     ;2009;9.0
Airen                     ;2011;10.0
Albana                    ;2004;48.0
Albana                    ;2006;42.5
Albana                    ;2007;
Albana                    ;2009;12.0
Albana                    ;2011;14.0
Albana                    ;2012;
Albana                    ;2014;22.0
Albana                    ;2015;20.8333333333
Albana                    ;2016;15.0
Albanello                 ;2012;20.0
Albariño                 ;2000;14.6666666667
Albariño                 ;2003;18.0
Albariño                 ;2005;33.25
Albariño                 ;2006;19.7333333333
Albariño                 ;2007;24.6
Albariño                 ;2008;18.0
Albariño                 ;2009;18.7647058824
Albariño                 ;2010;24.2903225806
Albariño                 ;2011;20.2173913043
Albariño                 ;2012;21.3333333333
Albariño                 ;2013;22.1780821918
Albariño                 ;2014;21.0348837209
Albariño                 ;2015;20.6987951807
Albariño                 ;2016;20.8571428571
Albariño                 ;2017;25.0
Albarossa                 ;2006;40.0
Aleatico                  ;2006;39.5
Aleatico                  ;2009;
Aleatico                  ;2010;55.0
Aleatico                  ;2012;25.0
Alfrocheiro               ;-1;25.0
Alfrocheiro               ;2006;11.0
Alfrocheiro               ;2008;38.0
Alfrocheiro               ;2009;40.0
Alfrocheiro               ;2010;32.0
Alfrocheiro               ;2011;36.3333333333
Alfrocheiro               ;2012;50.0
Alfrocheiro               ;2013;14.0
Alfrocheiro               ;2014;17.0
Alfrocheiro               ;2015;19.0
Alicante                  ;2006;30.0
Alicante                  ;2007;27.0
Alicante                  ;2008;24.0
Alicante                  ;2012;24.0
Alicante                  ;2015;10.0
Alicante Bouschet         ;-1;17.0
Alicante Bouschet         ;2004;18.0
Alicante Bouschet         ;2005;17.5
Alicante Bouschet         ;2006;11.0
Alicante Bouschet         ;2008;24.0
Alicante Bouschet         ;2009;44.0
Alicante Bouschet         ;2010;37.5
Alicante Bouschet         ;2011;53.25
Alicante Bouschet         ;2012;38.4285714286
Alicante Bouschet         ;2013;32.1111111111
Alicante Bouschet         ;2014;29.25
Alicante Bouschet         ;2015;21.75
Alicante Bouschet         ;2016;15.0
Aligoté                  ;2007;19.5
Aligoté                  ;2009;18.5
Aligoté                  ;2010;18.25
Aligoté                  ;2011;21.0
Aligoté                  ;2012;19.0
Aligoté                  ;2013;22.8571428571
Aligoté                  ;2014;19.4
Aligoté                  ;2015;14.0
Alsace white blend        ;-1;17.5
Alsace white blend        ;2008;15.25
Alsace white blend        ;2009;57.5
Alsace white blend        ;2010;
Alsace white blend        ;2011;56.6666666667
Alsace white blend        ;2012;46.4285714286
Alsace white blend        ;2013;32.3333333333
Alsace white blend        ;2014;22.7272727273
Alsace white blend        ;2015;19.5384615385
Alsace white blend        ;2016;45.0
Altesse                   ;2012;18.0
Altesse                   ;2014;17.75
Altesse                   ;2016;18.0
Alvarelhão               ;2007;18.0
Alvarelhão               ;2012;24.0
Alvarinho                 ;1998;10.5
Alvarinho                 ;2006;17.0
Alvarinho                 ;2007;13.0
Alvarinho                 ;2008;15.0
Alvarinho                 ;2009;
Alvarinho                 ;2010;20.0
Alvarinho                 ;2011;16.0
Alvarinho                 ;2012;18.0
Alvarinho                 ;2013;22.8235294118
Alvarinho                 ;2014;18.5384615385
Alvarinho                 ;2015;21.3428571429
Alvarinho                 ;2016;16.8888888889
Alvarinho-Chardonnay      ;2011;
Alvarinho-Chardonnay      ;2012;9.0
Alvarinho-Chardonnay      ;2013;11.0
Alvarinho-Chardonnay      ;2014;12.5
Ansonica                  ;2010;26.0
Antão Vaz                ;2008;15.0
Antão Vaz                ;2009;20.0
Antão Vaz                ;2012;19.4
Antão Vaz                ;2013;20.0
Antão Vaz                ;2014;24.6666666667
Antão Vaz                ;2015;17.3333333333
Antão Vaz                ;2016;19.0
Apple                     ;-1;29.0
Aragonez                  ;2009;18.5
Aragonez                  ;2010;
Aragonez                  ;2011;10.0
Aragonez                  ;2012;24.0
Aragonez                  ;2013;35.0
Aragonês                 ;2004;
Aragonês                 ;2005;19.6666666667
Aragonês                 ;2007;50.0
Aragonês                 ;2008;70.0
Aragonês                 ;2013;14.0
Aragonês                 ;2014;14.0
Argaman                   ;2006;36.0
Argaman                   ;2009;38.0
Argaman                   ;2014;48.0
Arinto                    ;-1;16.6666666667
Arinto                    ;2001;7.0
Arinto                    ;2004;
Arinto                    ;2005;14.0
Arinto                    ;2007;10.0
Arinto                    ;2008;
Arinto                    ;2010;15.75
Arinto                    ;2011;16.5
Arinto                    ;2012;22.7
Arinto                    ;2013;18.75
Arinto                    ;2014;12.1538461538
Arinto                    ;2015;13.4444444444
Arinto                    ;2016;13.8888888889
Arneis                    ;2006;16.5
Arneis                    ;2007;24.3333333333
Arneis                    ;2008;19.6666666667
Arneis                    ;2009;20.75
Arneis                    ;2010;25.2
Arneis                    ;2011;20.2
Arneis                    ;2012;22.375
Arneis                    ;2013;27.25
Arneis                    ;2014;20.9166666667
Arneis                    ;2015;19.0666666667
Arneis                    ;2016;21.0
Asprinio                  ;-1;
Asprinio                  ;2007;
Asprinio                  ;2012;15.0
Assyrtico                 ;2006;29.0
Assyrtico                 ;2007;28.0
Assyrtico                 ;2008;19.5
Assyrtico                 ;2009;35.0
Assyrtico                 ;2010;26.1
Assyrtico                 ;2011;13.6
Assyrtico                 ;2012;25.6666666667
Assyrtico                 ;2013;27.4
Assyrtico                 ;2014;21.7142857143
Assyrtico                 ;2015;22.75
Assyrtiko                 ;2011;20.0
Assyrtiko                 ;2013;22.3333333333
Assyrtiko                 ;2014;31.4
Assyrtiko                 ;2015;18.1428571429
Assyrtiko                 ;2016;20.5
