variety, nocorr
Pinot Noir,13272
Chardonnay,11753
Cabernet Sauvignon,9472
Red Blend,8946
Bordeaux-style Red Blend,6915
Riesling,5189
Sauvignon Blanc,4967
Syrah,4142
Rosé,3564
Merlot,3102
Nebbiolo,2804
Zinfandel,2714
Sangiovese,2707
Malbec,2652
Portuguese Red,2466
White Blend,2360
Sparkling Blend,2153
Tempranillo,1810
Rhône-style Red Blend,1471
Pinot Gris,1455
Champagne Blend,1396
Cabernet Franc,1353
Grüner Veltliner,1345
Portuguese White,1159
Bordeaux-style White Blend,1066
Pinot Grigio,1052
Gamay,1025
Gewürztraminer,1012
Viognier,996
Shiraz,836
Petite Sirah,770
Sangiovese Grosso,751
Barbera,721
Glera,709
Port,668
Grenache,651
"Corvina, Rondinella, Molinara",619
Chenin Blanc,591
Tempranillo Blend,588
Carmenère,575
Albariño,477
Pinot Blanc,442
Rhône-style White Blend,425
Nero d'Avola,365
Aglianico,359
Moscato,358
Garnacha,326
Sauvignon,316
Verdejo,294
Melon,280
Garganega,270
Petit Verdot,269
Meritage,260
Torrontés,250
Prosecco,236
Blaufränkisch,232
Vermentino,232
Mourvèdre,229
Primitivo,222
Montepulciano,215
Zweigelt,209
Touriga Nacional,200
G-S-M,181
Pinot Nero,181
Dolcetto,180
Tannat,178
Mencía,178
Roussanne,168
Tinta de Toro,166
Verdicchio,164
Turbiana,157
Pinot Bianco,154
Fiano,151
Monastrell,147
Vernaccia,138
Grillo,137
Alvarinho,137
Pinotage,137
Sémillon,135
Muscat,132
Grenache Blanc,131
Friulano,122
Greco,121
Nerello Mascalese,117
Cabernet Sauvignon-Merlot,117
Viura,107
Bonarda,105
Sagrantino,104
Rosato,103
Cabernet Sauvignon-Syrah,102
Sherry,100
Tinto Fino,100
Malbec-Merlot,96
St. Laurent,92
Falanghina,89
Ribolla Gialla,87
Arneis,86
Godello,81
Negroamaro,80
Cabernet Blend,80
Lagrein,80
Austrian white blend,80
Rosado,77
Arinto,77
Carignan,77
Cortese,73
Spätburgunder,72
Fumé Blanc,70
Sauvignon Blanc-Semillon,68
Portuguese Sparkling,65
Verdelho,65
Marsanne,65
Provence red blend,64
Agiorgitiko,63
Austrian Red Blend,62
Malbec-Cabernet Sauvignon,58
Syrah-Grenache,58
Petit Manseng,57
Moscatel,57
Vidal Blanc,55
Furmint,55
Pecorino,54
Sylvaner,53
Tempranillo-Cabernet Sauvignon,53
Semillon-Sauvignon Blanc,53
Trebbiano,51
Gros and Petit Manseng,51
Alsace white blend,51
Lambrusco,50
Alicante Bouschet,50
Grenache-Syrah,50
Weissburgunder,47
Müller-Thurgau,46
Pinot Meunier,45
Malvasia,44
Graciano,43
Cabernet Sauvignon-Carmenère,43
Prugnolo Gentile,43
Assyrtico,43
Pedro Ximénez,42
Cinsault,41
Shiraz-Cabernet Sauvignon,39
Encruzado,39
Silvaner,39
Traminer,39
Frappato,39
Garnacha Blanca,38
Shiraz-Viognier,38
Saperavi,37
Syrah-Cabernet Sauvignon,37
Gelber Muskateller,37
Carricante,37
Fernão Pires,36
Moschofilero,36
Lemberger,36
Muscat Canelli,36
Provence white blend,36
Chardonnay-Viognier,35
Merlot-Cabernet Sauvignon,35
Castelão,34
Chenin Blanc-Chardonnay,33
Rkatsiteli,33
Claret,33
Xinomavro,33
Insolia,33
Tempranillo-Garnacha,32
Teroldego,32
Tannat-Cabernet,31
Cannonau,31
Zibibbo,31
Inzolia,30
Aligoté,30
Petite Verdot,30
Carignane,30
Loureiro,29
Catarratto,29
Baga,29
Touriga Nacional-Cabernet Sauvignon,28
Cabernet Sauvignon-Shiraz,27
Picolit,27
Kerner,27
Dornfelder,27
Auxerrois,27
Charbono,26
Rotgipfler,26
Trincadeira,26
Scheurebe,25
Gros Manseng,25
Welschriesling,25
Colombard,24
Tokaji,24
Jacquère,24
Passerina,24
Gamay Noir,23
Bobal,23
Schiava,23
Albana,23
Merlot-Cabernet Franc,23
Muskat Ottonel,23
Macabeo,23
Tocai Friulano,22
Corvina,22
Savagnin,22
Marsanne-Roussanne,22
Verdejo-Viura,22
Monastrell-Syrah,21
Cabernet Sauvignon-Cabernet Franc,21
Cabernet Merlot,21
Xarel-lo,21
Piedirosso,20
Malbec-Syrah,20
Syrah-Mourvèdre,20
Orange Muscat,20
Cabernet Franc-Merlot,20
Nero di Troia,19
Touriga Nacional Blend,19
Lambrusco di Sorbara,19
Palomino,18
Coda di Volpe,18
Chambourcin,18
Picpoul,18
Cabernet Sauvignon-Malbec,18
Lambrusco Grasparossa,18
Tinto del Pais,18
Assyrtiko,18
Pinot Noir-Gamay,18
Colombard-Sauvignon Blanc,18
Syrah-Viognier,18
Plavac Mali,17
Antão Vaz,17
Hondarrabi Zuri,17
Negrette,17
Grenache-Carignan,17
Raboso,16
Seyval Blanc,16
Portuguese Rosé,16
Norton,16
Baco Noir,16
Malvasia Bianca,16
Syrah-Petite Sirah,16
Tannat-Cabernet Franc,16
Moscato Giallo,16
Alfrocheiro,16
Zierfandler,16
Cabernet Franc-Cabernet Sauvignon,16
Malbec-Tannat,16
Syrah-Cabernet,15
Cabernet Sauvignon-Tempranillo,15
Gaglioppo,15
Brachetto,15
Kalecik Karasi,15
Grechetto,15
Prieto Picudo,15
Shiraz-Grenache,15
Grauburgunder,15
Mondeuse,15
Carignano,15
Sauvignon Gris,14
Pansa Blanca,14
Viura-Chardonnay,13
Pinot Auxerrois,13
Roussanne-Viognier,13
Cabernet-Syrah,13
Chenin Blanc-Viognier,13
White Riesling,13
Bical,13
Roter Veltliner,13
Garnacha-Syrah,13
Uva di Troia,13
Muscat Blanc,12
Siria,12
Malagousia,12
Ruché,12
Viognier-Chardonnay,12
Counoise,12
Black Muscat,11
Tinta Fina,11
Cabernet,11
Neuburger,11
Refosco,11
Merlot-Cabernet,11
Vignoles,11
Tannat-Merlot,11
Malbec-Cabernet Franc,11
Vidal,11
Tinta Roriz,11
Traminette,10
Grenache Blend,10
Tocai,10
Perricone,10
Pallagrello,10
Aragonez,10
Trepat,10
Aragonês,10
Kekfrankos,10
Mataro,10
Muscadelle,10
Durella,9
Carignan-Grenache,9
Malvasia Istriana,9
Loin de l'Oeil,9
Ugni Blanc-Colombard,9
Johannisberg Riesling,9
Grecanico,9
Tempranillo Blanco,9
Carmenère-Cabernet Sauvignon,8
Manzoni,8
Chasselas,8
Tempranillo-Shiraz,8
Sousão,8
Sauvignon Blanc-Chardonnay,8
Colombard-Ugni Blanc,8
Cesanese d'Affile,8
Altesse,8
Posip,8
Nosiola,8
Garnacha Tintorera,8
Cabernet Sauvignon-Sangiovese,8
