,country,points,price,title,winery
345,Australia,100,350.0,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Chambers Rosewood Vineyards
56953,Australia,99,850.0,Penfolds 2010 Grange Shiraz (South Australia),Penfolds
109427,Australia,99,300.0,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Chambers Rosewood Vineyards
346,Australia,98,350.0,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Chambers Rosewood Vineyards
34502,Australia,98,135.0,Standish 2006 The Relic Shiraz (Barossa Valley),Standish
67096,Australia,98,86.0,R.L. Buller & Son NV Calliope Rare Tokay (Rutherglen),R.L. Buller & Son
77028,Australia,98,850.0,Penfolds 2008 Grange Shiraz (South Australia),Penfolds
122939,Australia,98,125.0,Torbreck 2013 The Factor Shiraz (Barossa Valley),Torbreck
348,Australia,97,100.0,Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Chambers Rosewood Vineyards
349,Australia,97,225.0,Torbreck 2012 RunRig Shiraz-Viognier (Barossa),Torbreck
56956,Australia,97,95.0,Standish 2012 Andelmonde Shiraz (Barossa Valley),Standish
34506,Australia,96,135.0,Standish 2005 The Standish Single Vineyard Shiraz (Barossa Valley),Standish
39961,Australia,96,185.0,Penfolds 1996 Grange Shiraz (South Australia),Penfolds
56957,Australia,96,89.0,Thorn Clarke 2012 Ron Thorn Single Vineyard Shiraz (Barossa),Thorn Clarke
56959,Australia,96,820.0,Henschke 2010 Hill of Grace Shiraz (Eden Valley),Henschke
59977,Australia,96,150.0,Hickinbotham 2013 The Peake Cabernet-Shiraz (McLaren Vale),Hickinbotham
77036,Australia,96,150.0,Penfolds 2009 RWT Shiraz (Barossa Valley),Penfolds
77037,Australia,96,225.0,Torbreck 2007 RunRig Shiraz-Viognier (Barossa Valley),Torbreck
83357,Australia,96,500.0,Penfolds 2004 Grange Shiraz (South Australia),Penfolds
87128,Australia,96,120.0,Kay Brothers 2012 Amery Vineyard Block 6 Shiraz (McLaren Vale),Kay Brothers
109434,Australia,96,85.0,D'Arenberg 2010 The Swinging Malaysian Single Vineyard Shiraz (McLaren Vale),D'Arenberg
122421,Australia,96,110.0,Glaetzer 2010 Amon-Ra Unfiltered Shiraz (Barossa Valley),Glaetzer
356,Australia,95,85.0,Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Jasper Hill
360,Australia,95,125.0,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Torbreck
365,Australia,95,60.0,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Wakefield
14354,Australia,95,60.0,Kaesler 2006 Old Vine Shiraz (Barossa Valley),Kaesler
16538,Australia,95,65.0,Lambert 2013 The Family Tree Shiraz (Barossa Valley),Lambert
28573,Australia,95,350.0,Clarendon Hills 2005 Astralis Syrah (Clarendon),Clarendon Hills
38988,Australia,95,200.0,Penfolds 2009 Bin 707 Cabernet Sauvignon (South Australia),Penfolds
39059,Australia,95,60.0,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Wakefield
39962,Australia,95,70.0,Penfolds 1998 RWT Shiraz (Barossa Valley),Penfolds
45809,Australia,95,225.0,Clarendon Hills 2007 Astralis Syrah (Clarendon),Clarendon Hills
59984,Australia,95,95.0,Heartland 2013 One Red (Langhorne Creek),Heartland
67101,Australia,95,300.0,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Chambers Rosewood Vineyards
76392,Australia,95,85.0,Jasper Hill 2012 Georgia's Paddock Shiraz (Heathcote),Jasper Hill
77042,Australia,95,100.0,John Duval Wines 2010 Eligo Shiraz (Barossa),John Duval Wines
77044,Australia,95,105.0,Kilikanoon 2009 R Reserve Shiraz (Barossa Valley),Kilikanoon
77046,Australia,95,125.0,Torbreck 2007 The Factor Shiraz (Barossa Valley),Torbreck
84815,Australia,95,125.0,Torbreck 2012 The Factor Shiraz (Barossa),Torbreck
84816,Australia,95,145.0,Nashwauk 2010 Beacon Shiraz (McLaren Vale),Nashwauk
87137,Australia,95,84.0,Moss Wood 2011 Cabernet Sauvignon (Margaret River),Moss Wood
87143,Australia,95,60.0,Wakefield 2012 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Wakefield
98386,Australia,95,85.0,D'Arenberg 2010 Little Venice Single Vineyard Shiraz (McLaren Vale),D'Arenberg
99318,Australia,95,200.0,Henschke 2014 Mount Edelstone Vineyard Shiraz (Eden Valley),Henschke
99330,Australia,95,500.0,Penfolds 2014 Bin 707 Cabernet Sauvignon (South Australia),Penfolds
99340,Australia,95,185.0,Torbreck 2013 Les Amis Grenache (Barossa Valley),Torbreck
122430,Australia,95,80.0,Glaetzer 2010 Anaperenna Shiraz-Cabernet Sauvignon (Barossa Valley),Glaetzer
1074,Australia,94,100.0,Schild Estate 2013 Moorooroo Shiraz (Barossa Valley),Schild Estate
2517,Australia,94,225.0,Torbreck 2010 RunRig Shiraz-Viognier (Barossa Valley),Torbreck
3080,Australia,94,105.0,Torbreck 2007 Descendant Shiraz-Viognier (Barossa Valley),Torbreck
15204,Australia,94,53.0,Langmeil 2013 The Fifth Wave Grenache (Barossa),Langmeil
15209,Australia,94,109.0,Cullen 2013 Kevin John Chardonnay (Margaret River),Cullen
15547,Australia,94,140.0,Chambers Rosewood Vineyards NV Grand Muscadelle (Rutherglen),Chambers Rosewood Vineyards
15553,Australia,94,70.0,Kilikanoon 2010 Miracle Hill Shiraz (McLaren Vale),Kilikanoon
16312,Australia,94,100.0,John Duval Wines 2013 Eligo Shiraz (Barossa Valley),John Duval Wines
16328,Australia,94,80.0,Henry's Drive Vignerons 2012 Magnus Shiraz (Padthaway),Henry's Drive Vignerons
23970,Australia,94,54.0,Yalumba 2008 The Signature Cabernet Sauvignon-Shiraz (Barossa),Yalumba
25351,Australia,94,100.0,John Duval Wines 2008 Eligo Shiraz (Barossa),John Duval Wines
25389,Australia,94,70.0,Kilikanoon 2010 Oracle Shiraz (Clare Valley),Kilikanoon
25397,Australia,94,85.0,D'Arenberg 2010 The Garden of Extraordinary Delights Single Vineyard Shiraz (McLaren Vale),D'Arenberg
32010,Australia,94,105.0,Kilikanoon 2006 R Shiraz (Barossa Valley),Kilikanoon
32019,Australia,94,190.0,Kaesler 2006 Old Bastard Shiraz (Barossa Valley),Kaesler
32497,Australia,94,40.0,Groom 2001 Shiraz (Barossa Valley),Groom
34260,Australia,94,65.0,Henschke 2013 Keyneton Euphonium Red (Barossa),Henschke
34275,Australia,94,55.0,Yalumba 2013 The Signature Cabernet Sauvignon-Shiraz (Barossa),Yalumba
34642,Australia,94,109.0,Cullen 2012 Kevin John Chardonnay (Margaret River),Cullen
38950,Australia,94,235.0,Kilikanoon 2010 Attunga 1865 Shiraz (Clare Valley),Kilikanoon
38962,Australia,94,120.0,Kay Brothers 2010 Amery Vineyard Block 6 Shiraz (McLaren Vale),Kay Brothers
39086,Australia,94,140.0,Chambers Rosewood Vineyards NV Grand Muscadelle (Rutherglen),Chambers Rosewood Vineyards
45031,Australia,94,95.0,Angove 2012 The Medhyk Old Vine Shiraz (McLaren Vale),Angove
46879,Australia,94,83.0,Fox Creek 2013 Reserve Shiraz (McLaren Vale),Fox Creek
46891,Australia,94,69.0,Vasse Felix 2015 Heytesbury Chardonnay (Margaret River),Vasse Felix
51389,Australia,94,19.0,D'Arenberg 2008 The Noble Wrinkled Riesling (McLaren Vale),D'Arenberg
62335,Australia,94,75.0,Torbreck 2013 The Pict Mataro (Barossa Valley),Torbreck
67106,Australia,94,86.0,R.L. Buller & Son NV Calliope Rare Muscat (Rutherglen),R.L. Buller & Son
69514,Australia,94,100.0,Langmeil 2008 The Freedom 1843 Shiraz (Barossa),Langmeil
72747,Australia,94,110.0,Vasse Felix 2012 Heytesbury Red (Margaret River),Vasse Felix
76216,Australia,94,60.0,Tolpuddle 2014 Chardonnay (Tasmania),Tolpuddle
78144,Australia,94,89.0,Leeuwin Estate 2012 Art Series Chardonnay (Margaret River),Leeuwin Estate
85337,Australia,94,32.0,De Bortoli 2007 Noble One Bortytis Semillon (New South Wales),De Bortoli
87405,Australia,94,95.0,Angove 2013 The Medhyk Old Vine Shiraz (McLaren Vale),Angove
87414,Australia,94,75.0,Hickinbotham 2013 Brooks Road Shiraz (McLaren Vale),Hickinbotham
87620,Australia,94,50.0,Torbreck 2010 The Struie Shiraz (Barossa),Torbreck
87623,Australia,94,100.0,Giaconda 2008 Warner Vineyard Shiraz (Victoria),Giaconda
89924,Australia,94,95.0,Yarra Yering 2008 Dry Red Wine No. 2 Shiraz-Viognier (Yarra Valley),Yarra Yering
103141,Australia,94,225.0,Clarendon Hills 2008 Astralis Syrah (Clarendon),Clarendon Hills
107457,Australia,94,50.0,Robert Oatley 2011 The Pennant Hand Selected Limited Release Chardonnay (Margaret River),Robert Oatley
108661,Australia,94,89.0,Leeuwin Estate 2010 Art Series Chardonnay (Margaret River),Leeuwin Estate
108665,Australia,94,65.0,Penfolds 2008 St. Henri Shiraz (South Australia),Penfolds
109541,Australia,94,125.0,Giaconda 2008 Chardonnay (Victoria),Giaconda
113856,Australia,94,83.0,Fox Creek 2013 Reserve Shiraz (McLaren Vale),Fox Creek
120027,Australia,94,39.0,St Hallett 2012 Blackwell Shiraz (Barossa),St Hallett
123761,Australia,94,54.0,Cherubino 2010 Cabernet Sauvignon (Margaret River),Cherubino
127225,Australia,94,90.0,Howard Park 2012 Abercrombie Cabernet Sauvignon (Western Australia),Howard Park
128434,Australia,94,90.0,Cirillo 2011 Ancestor Vine 1850 Grenache (Barossa Valley),Cirillo
1886,Australia,93,50.0,Henry's Drive Vignerons 2008 Reserve Shiraz (Padthaway),Henry's Drive Vignerons
6359,Australia,93,30.0,Penfolds 2012 Bin 28 Kalimna Shiraz (South Australia),Penfolds
6373,Australia,93,40.0,John Duval Wines 2012 Entity Shiraz (Barossa),John Duval Wines
9808,Australia,93,100.0,Casella 2007 1919 Shiraz (Wrattonbully),Casella
12254,Australia,93,90.0,Penfolds 1998 Bin 707 Cabernet Sauvignon (South Australia),Penfolds
