,country,points,price,title,winery
7878,Canada,94,60.0,Cave Spring 2013 Riesling Icewine Riesling (Niagara Peninsula),Cave Spring
27558,Canada,94,40.0,Laughing Stock 2014 Portfolio Red (Okanagan Valley),Laughing Stock
38210,Canada,94,45.0,Le Vieux Pin 2012 Cuvée Classique Syrah (Okanagan Valley),Le Vieux Pin
29388,Canada,93,45.0,CedarCreek 2012 Block 2 Platinum Pinot Noir (Okanagan Valley),CedarCreek
29944,Canada,93,25.0,Cave Spring 2013 CSV Estate Bottled Riesling (Beamsville Bench),Cave Spring
32268,Canada,93,80.0,Inniskillin 2012 Icewine Niagara Estate Riesling (Niagara Peninsula),Inniskillin
54122,Canada,93,18.0,Cave Spring 2015 Estate Riesling (Beamsville Bench),Cave Spring
77253,Canada,93,34.0,Vanessa 2012 Syrah (Similkameen Valley),Vanessa
92240,Canada,93,50.0,Cave Spring 2008 Icewine Sweet Wine Riesling (Niagara Peninsula),Cave Spring
92250,Canada,93,90.0,Peller 2008 Icewine Riesling (Niagara Peninsula),Peller
97229,Canada,93,30.0,CedarCreek 2012 Block 5 Platinum Chardonnay (Okanagan Valley),CedarCreek
110037,Canada,93,30.0,Burrowing Owl 2014 Chardonnay (Okanagan Valley),Burrowing Owl
112258,Canada,93,27.0,Tinhorn Creek 2013 Oldfield Series Merlot (Okanagan Valley),Tinhorn Creek
115006,Canada,93,49.0,Burrowing Owl 2012 Meritage (Okanagan Valley),Burrowing Owl
124204,Canada,93,34.0,Vanessa 2012 Syrah (Similkameen Valley),Vanessa
129054,Canada,93,35.0,Le Vieux Pin 2012 Ava White (Okanagan Valley),Le Vieux Pin
129055,Canada,93,85.0,Le Vieux Pin 2012 Equinoxe Syrah (Okanagan Valley),Le Vieux Pin
454,Canada,92,30.0,Pillitteri 2012 Reserve Icewine Vidal (Niagara-On-The-Lake),Pillitteri
5129,Canada,92,32.0,Burrowing Owl 2014 Pinot Noir (Okanagan Valley),Burrowing Owl
7504,Canada,92,20.0,LaStella 2013 Moscato d'Osoyoos Moscato (Okanagan Valley),LaStella
7513,Canada,92,25.0,Cave Spring 2012 CSV Estate Bottled Riesling (Beamsville Bench),Cave Spring
7779,Canada,92,30.0,Laughing Stock 2011 LFNG Blind Trust Red (Okanagan Valley),Laughing Stock
7801,Canada,92,35.0,Vista d'Oro 2007 D'Oro Red (Okanagan Valley),Vista d'Oro
8230,Canada,92,70.0,Stratus 2008 Icewine Riesling (Niagara Peninsula),Stratus
8234,Canada,92,77.0,Inniskillin 2007 Gold Icewine Vidal Blanc (Niagara Peninsula),Inniskillin
10715,Canada,92,60.0,Black Hills 2012 Nota Bene Red (Okanagan Valley),Black Hills
10727,Canada,92,65.0,Painted Rock 2010 Estate Grown Syrah (Okanagan Valley),Painted Rock
17086,Canada,92,25.0,Cave Spring 2012 CSV Estate Bottled Riesling (Beamsville Bench),Cave Spring
35674,Canada,92,65.0,Painted Rock 2010 Estate Grown Syrah (Okanagan Valley),Painted Rock
35682,Canada,92,60.0,Black Hills 2012 Nota Bene Red (Okanagan Valley),Black Hills
37980,Canada,92,85.0,Le Vieux Pin 2011 Équinoxe Syrah (Okanagan Valley),Le Vieux Pin
52663,Canada,92,25.0,Laughing Stock 2014 Blind Trust Red (Okanagan Valley),Laughing Stock
52672,Canada,92,32.0,Burrowing Owl 2014 Malbec (Okanagan Valley),Burrowing Owl
52679,Canada,92,32.0,Vanessa 2012 Meritage (Similkameen Valley),Vanessa
76283,Canada,92,39.0,Burrowing Owl 2012 Cabernet Sauvignon (Okanagan Valley),Burrowing Owl
76759,Canada,92,28.0,Cave Spring 2015 CSV Estate Bottled Riesling (Beamsville Bench),Cave Spring
76760,Canada,92,16.0,Cave Spring 2015 Riesling (Niagara Peninsula),Cave Spring
76772,Canada,92,31.0,Pillitteri 2013 Red Leaf Vidal (Niagara-On-The-Lake),Pillitteri
76778,Canada,92,21.0,Tinhorn Creek 2014 Merlot (Okanagan Valley),Tinhorn Creek
97579,Canada,92,77.0,Inniskillin 2007 Gold Icewine Vidal Blanc (Niagara Peninsula),Inniskillin
97586,Canada,92,95.0,Wayne Gretzky Estates 2012 No. 99 Icewine Cabernet Franc (Niagara Peninsula),Wayne Gretzky Estates
97601,Canada,92,80.0,Peller 2011 Oak Aged Icewine Andrew Peller Signature Series Vidal Blanc (Niagara Peninsula),Peller
100368,Canada,92,32.0,Vanessa 2012 Meritage (Similkameen Valley),Vanessa
105534,Canada,92,31.0,Pillitteri 2013 Red Leaf Vidal (Niagara-On-The-Lake),Pillitteri
108235,Canada,92,18.0,Township 7 2014 Naramata Estate Vineyard Gewürztraminer (Okanagan Valley),Township 7
110047,Canada,92,39.0,Burrowing Owl 2012 Cabernet Sauvignon (Okanagan Valley),Burrowing Owl
119623,Canada,92,18.0,Quails' Gate 2006 Gewürztraminer (Okanagan Valley),Quails' Gate
119625,Canada,92,30.0,Kettle Valley 2005 Pinot Noir (Okanagan Valley),Kettle Valley
119638,Canada,92,27.0,Tantalus 2006 Old Vine Riesling (Okanagan Valley),Tantalus
126801,Canada,92,55.0,Konzelmann 2006 Icewine Vidal Blanc (Niagara Peninsula),Konzelmann
127261,Canada,92,35.0,LaStella 2011 Fortissimo Red (Okanagan Valley),LaStella
