,country,points,price,title,winery
123819,Slovenia,92,50.0,Movia 2007 Veliko White (Brda),Movia
117762,Slovenia,91,50.0,Movia 2004 Veliko Red (Brda),Movia
15437,Slovenia,90,12.0,Giocato 2015 Sauvignon Blanc (Primorska),Giocato
18070,Slovenia,90,15.0,Colliano 2013 Estate Bottled Ribolla Gialla (Goriska Brda),Colliano
37243,Slovenia,90,60.0,Batič 2007 Valentino Sweet Red Merlot-Cabernet Franc (Vipavska Dolina),Batič
51577,Slovenia,90,,Burja 2009 Burja Noir Pinot Noir (Vipavska Dolina),Burja
51746,Slovenia,90,40.0,Movia 2007 Modri Ceglo Pinot Noir (Brda),Movia
70504,Slovenia,90,23.0,Štoka 2011 Grganja Vitovska (Kras),Štoka
70505,Slovenia,90,23.0,Štoka 2011 Izbrani Teran (Kras),Štoka
71813,Slovenia,90,25.0,Kabaj 2011 Ravan Sauvignonasse (Goriska Brda),Kabaj
74288,Slovenia,90,40.0,Kabaj 2006 Cuvée Morel Red (Goriska Brda),Kabaj
83633,Slovenia,90,17.0,Sanctum 2011 Chardonnay (Štajerska),Sanctum
87585,Slovenia,90,90.0,Kabaj 2006 Amfora White (Goriska Brda),Kabaj
88115,Slovenia,90,40.0,Ferdinand 2009 Brutus Ribolla Gialla (Goriska Brda),Ferdinand
102141,Slovenia,90,15.0,Colliano 2013 Estate Bottled Ribolla Gialla (Goriska Brda),Colliano
129272,Slovenia,90,46.0,Kabaj 2008 Cuvée Morel Red (Goriska Brda),Kabaj
6997,Slovenia,89,35.0,Batič 2009 Angel Grande Cuvée Rezerva White (Vipavska Dolina),Batič
6998,Slovenia,89,35.0,Batič 2010 Cabernet Franc (Vipavska Dolina),Batič
21801,Slovenia,89,39.0,Erzetič 2009 Amfora Sivi Pinot Pinot Gris (Goriska Brda),Erzetič
31633,Slovenia,89,12.0,Giocato 2012 Pinot Grigio (Primorska),Giocato
38495,Slovenia,89,27.0,Ferdinand 2013 Rebula Época Ribolla Gialla (Goriska Brda),Ferdinand
38496,Slovenia,89,22.0,Ferdinand 2014 Rebula Ribolla Gialla (Goriska Brda),Ferdinand
38509,Slovenia,89,31.0,Ciringa 2011 Fosilni Breg Reserve Sauvignon Blanc (Štajerska),Ciringa
42618,Slovenia,89,18.0,Dveri-Pax 2014 Yanez White (Štajerska),Dveri-Pax
52095,Slovenia,89,44.0,Erzetič 2009 Amfora Cabernet Sauvignon (Goriska Brda),Erzetič
52096,Slovenia,89,44.0,Erzetič 2009 Amfora Rdece Cabernet Sauvignon-Merlot (Goriska Brda),Erzetič
58626,Slovenia,89,15.0,Colliano 2013 Cuvée White (Goriska Brda),Colliano
58649,Slovenia,89,29.0,Bagueri 2011 Chardonnay (Goriska Brda),Bagueri
66855,Slovenia,89,12.0,Giocato 2014 Pinot Grigio (Primorska),Giocato
66856,Slovenia,89,12.0,Giocato 2014 Sauvignon Blanc (Primorska),Giocato
73776,Slovenia,89,29.0,Vino Kupljen 2013 Renski Rizling Selection Mon Royal Riesling (Slovenia),Vino Kupljen
74980,Slovenia,89,37.0,Kabaj 2009 Merlot (Goriska Brda),Kabaj
86999,Slovenia,89,60.0,Edi Simcic 2011 Duet Lex Red (Goriska Brda),Edi Simcic
90095,Slovenia,89,,Sutor 2008 Burja White (Vipavska Dolina),Sutor
90096,Slovenia,89,,Sutor 2008 Chardonnay (Vipavska Dolina),Sutor
95518,Slovenia,89,,Sutor 2008 Pinot Noir (Vipavska Dolina),Sutor
112516,Slovenia,89,18.0,Dveri-Pax 2014 Yanez White (Štajerska),Dveri-Pax
114482,Slovenia,89,38.0,Movia 2007 Cabernet Sauvignon (Brda),Movia
117998,Slovenia,89,15.0,Colliano 2013 Cuvée White (Goriska Brda),Colliano
118173,Slovenia,89,25.0,Kabaj 2011 Rebula (Goriska Brda),Kabaj
118174,Slovenia,89,25.0,Kabaj 2011 Sivi Pinot Pinot Gris (Goriska Brda),Kabaj
10290,Slovenia,88,20.0,Štoka 2009 Izbrani Teran (Kras),Štoka
16812,Slovenia,88,,Sivi 2011 Pinot Populus Pinot Grigio (Vipavska Dolina),Sivi
25841,Slovenia,88,,Burja 2011 Petite Burja Zelen (Vipavska Dolina),Burja
36436,Slovenia,88,18.0,Erzetič 2013 Rebula (Goriska Brda),Erzetič
53303,Slovenia,88,22.0,Ciringa 2013 Fosilni Breg Sauvignon Blanc (Štajerska),Ciringa
53310,Slovenia,88,20.0,Dveri-Pax 2011 Benedict Cuvée Red (Štajerska),Dveri-Pax
62395,Slovenia,88,30.0,Movia 2010 Sauvignon (Brda),Movia
63363,Slovenia,88,23.0,Batič 2012 Semi-Dry Rosé (Vipavska Dolina),Batič
63372,Slovenia,88,18.0,Sanctum 2011 Pinot Noir (Štajerska),Sanctum
66657,Slovenia,88,17.0,Colliano 2012 Peneca Rebula Brut Ribolla Gialla (Primorska),Colliano
72388,Slovenia,88,24.0,Vino Kupljen 2013 Selection Mon Royal Pinot Gris (Slovenia),Vino Kupljen
103796,Slovenia,88,,Burja 2009 Burja Bela White (Vipavska Dolina),Burja
104956,Slovenia,88,29.0,Batič 2009 Sauvignon (Vipavska Dolina),Batič
113123,Slovenia,88,17.0,Colliano 2012 Peneca Rebula Brut Ribolla Gialla (Primorska),Colliano
114233,Slovenia,88,27.0,Bagueri 2011 Cabernet Sauvignon (Goriska Brda),Bagueri
115368,Slovenia,88,15.0,Colliano 2012 Cuvée Red (Goriska Brda),Colliano
126589,Slovenia,88,20.0,Dveri-Pax 2011 Benedict Cuvée Red (Štajerska),Dveri-Pax
5990,Slovenia,87,7.0,Avia 2014 Hand Harvested Estate Bottled Chardonnay (Primorska),Avia
12419,Slovenia,87,30.0,Valter Sirk 2010 Malvazija Malvasia Istriana (Goriska Brda),Valter Sirk
39715,Slovenia,87,15.0,Pullus 2012 Dry White Pinot Grigio (Štajerska),Pullus
44384,Slovenia,87,24.0,Erzetič 2013 Damski Rosé (Goriska Brda),Erzetič
53344,Slovenia,87,30.0,Valter Sirk 2010 Malvazija Malvasia Istriana (Goriska Brda),Valter Sirk
58335,Slovenia,87,12.0,Zajc 2012 Cvicek PTP Red (Dolenjska),Zajc
60126,Slovenia,87,13.0,Puklavec & Friends 2013 Pinot Grigio (Štajerska),Puklavec & Friends
61097,Slovenia,87,13.0,Puklavec & Friends 2013 Sauvignon Blanc (Štajerska),Puklavec & Friends
61098,Slovenia,87,11.0,Puklavec & Friends 2013 White (Štajerska),Puklavec & Friends
71981,Slovenia,87,11.0,Puklavec & Friends 2013 Moscato (Štajerska),Puklavec & Friends
73779,Slovenia,87,15.0,Pullus 2011 Dry Red Pinot Noir (Štajerska),Pullus
80562,Slovenia,87,36.0,Vino Kupljen NV Tradition Rizling Brut Riesling (Slovenia),Vino Kupljen
82946,Slovenia,87,16.0,Bastianich 2010 Adriatico Ribolla Ribolla Gialla (Brda),Bastianich
96943,Slovenia,87,36.0,Vino Kupljen NV Tradition Rizling Brut Riesling (Slovenia),Vino Kupljen
97138,Slovenia,87,11.0,Puklavec & Friends 2013 Moscato (Štajerska),Puklavec & Friends
112949,Slovenia,87,25.0,Edi Simcic 2014 Rebula (Goriska Brda),Edi Simcic
129766,Slovenia,87,15.0,Pullus 2011 Dry Red Pinot Noir (Štajerska),Pullus
50919,Slovenia,86,20.0,Verus Vineyards 2009 Sauvignon Blanc (Štajerska),Verus Vineyards
73221,Slovenia,86,18.0,Klabjan 2008 Refosk Refosco (Slovenska Istra),Klabjan
98881,Slovenia,86,20.0,Verus Vineyards 2009 Riesling (Štajerska),Verus Vineyards
112327,Slovenia,86,7.0,Avia 2014 Hand Harvested Estate Bottled Pinot Grigio (Primorska),Avia
118976,Slovenia,86,15.0,Pullus 2009 Sauvignon (Štajerska),Pullus
122376,Slovenia,86,15.0,Pullus 2012 Dry White Sauvignon Blanc (Štajerska),Pullus
28437,Slovenia,85,20.0,Pullus 2008 g-Pullus Traminer (Štajerska),Pullus
121522,Slovenia,85,7.0,Avia 2014 Hand Harvested Estate Bottled Pinot Noir (Primorska),Avia
2292,Slovenia,84,20.0,Ciringa 2011 Fosilni Breg Sauvignon Blanc (Slovenia),Ciringa
121104,Slovenia,84,20.0,Ciringa 2011 Fosilni Breg Sauvignon Blanc (Slovenia),Ciringa
57273,Slovenia,83,20.0,Verus Vineyards 2009 Furmint (Štajerska),Verus Vineyards
103333,Slovenia,82,15.0,Bastianich 2009 Adriatico Ribolla Gialla (Brda),Bastianich
