,variety,year,price,points,priceq,country
0,Abouriou,2014,15.0,91,0.0,France
1,Agiorgitiko,2003,21.0,87,2.0,Greece
2,Agiorgitiko,2006,23.8,86,2.0,Greece
3,Agiorgitiko,2007,18.0,85,1.0,Greece
4,Agiorgitiko,2009,12.25,86,0.0,Greece
5,Agiorgitiko,2012,16.6666666667,87,1.0,Greece
6,Agiorgitiko,2014,28.0,88,3.0,Greece
7,Aglianico,-1,43.0,91,5.0,Italy
8,Aglianico,2001,55.8,91,5.0,Italy
9,Aglianico,2003,39.1428571429,88,4.0,Italy
10,Aglianico,2004,57.7647058824,89,5.0,Italy
11,Aglianico,2005,43.2666666667,88,5.0,Italy
12,Aglianico,2006,39.16,88,4.0,Italy
13,Aglianico,2007,41.411764705900005,89,5.0,Italy
14,Aglianico,2008,40.4137931034,89,5.0,Italy
15,Aglianico,2009,46.875,89,5.0,US
16,Aglianico,2010,32.3529411765,88,4.0,Italy
17,Aglianico,2011,47.1034482759,90,5.0,Italy
18,Aglianico,2012,31.9487179487,89,4.0,Italy
19,Aglianico,2013,27.956521739099998,88,3.0,Italy
20,Aglianico,2014,29.1666666667,88,3.0,Italy
21,Aglianico,2015,21.2857142857,87,2.0,Italy
22,Aidani,2011,27.0,82,3.0,Greece
23,Airen,2007,8.0,83,0.0,Spain
24,Airen,2009,9.0,80,0.0,Spain
25,Airen,2011,10.0,82,0.0,Spain
26,Albana,2004,48.0,90,5.0,Italy
27,Albana,2006,42.5,91,5.0,Italy
28,Albana,2007,,94,,Italy
29,Albana,2009,12.0,84,0.0,Italy
30,Albana,2011,14.0,87,0.0,Italy
31,Albana,2012,,90,,Italy
32,Albana,2014,22.0,93,2.0,Italy
33,Albana,2015,20.8333333333,88,2.0,Italy
34,Albana,2016,15.0,91,0.0,Italy
35,Albanello,2012,20.0,86,2.0,Italy
36,Albarossa,2006,40.0,88,4.0,Italy
37,Aleatico,2009,,90,,Italy
38,Aleatico,2010,55.0,89,5.0,Italy
39,Aleatico,2012,25.0,85,3.0,Italy
40,Alfrocheiro,-1,25.0,86,3.0,Portugal
41,Alfrocheiro,2006,11.0,85,0.0,Portugal
42,Alfrocheiro,2008,38.0,89,4.0,Portugal
43,Alfrocheiro,2009,40.0,91,4.0,Portugal
44,Alfrocheiro,2010,32.0,89,4.0,Portugal
45,Alfrocheiro,2011,36.3333333333,91,4.0,Portugal
46,Alfrocheiro,2012,50.0,93,5.0,Portugal
47,Alfrocheiro,2013,14.0,87,0.0,Portugal
48,Alicante,2006,30.0,88,3.0,Italy
49,Alicante,2007,27.0,89,3.0,Italy
50,Alicante,2008,24.0,86,3.0,Italy
51,Alicante,2012,24.0,87,3.0,Italy
52,Alicante,2015,10.0,87,0.0,Italy
53,Alicante Bouschet,2004,18.0,83,1.0,Portugal
54,Alicante Bouschet,2006,11.0,86,0.0,Portugal
55,Alicante Bouschet,2008,24.0,90,3.0,Portugal
56,Alicante Bouschet,2012,38.4285714286,88,4.0,Portugal
57,Alicante Bouschet,2013,32.1111111111,90,4.0,US
58,Alicante Bouschet,2013,32.1111111111,90,4.0,Portugal
59,Alicante Bouschet,2014,29.25,90,3.0,Portugal
60,Alicante Bouschet,2016,15.0,89,0.0,Portugal
61,Alsace white blend,2008,15.25,90,1.0,France
62,Alsace white blend,2009,57.5,94,5.0,France
63,Alsace white blend,2010,,90,,France
64,Alsace white blend,2013,32.3333333333,90,4.0,France
65,Alsace white blend,2014,22.7272727273,89,2.0,France
66,Alsace white blend,2015,19.5384615385,89,1.0,France
67,Alsace white blend,2016,45.0,95,5.0,France
68,Altesse,2012,18.0,89,1.0,France
69,Altesse,2016,18.0,87,1.0,France
70,Alvarinho,2006,17.0,87,1.0,Portugal
71,Alvarinho,2007,13.0,89,0.0,Portugal
72,Alvarinho,2008,15.0,86,0.0,Portugal
73,Alvarinho,2009,,91,,Portugal
74,Alvarinho,2010,20.0,87,2.0,Portugal
75,Alvarinho,2012,18.0,88,1.0,Portugal
76,Alvarinho,2013,22.8235294118,89,2.0,Portugal
77,Alvarinho,2014,18.5384615385,88,1.0,Portugal
78,Alvarinho,2015,21.342857142899998,89,2.0,Portugal
79,Alvarinho,2016,16.888888888900002,88,1.0,Portugal
80,Alvarinho-Chardonnay,2011,,88,,Portugal
81,Alvarinho-Chardonnay,2012,9.0,87,0.0,Portugal
82,Alvarinho-Chardonnay,2013,11.0,87,0.0,Portugal
83,Ansonica,2010,26.0,86,3.0,Italy
84,Apple,-1,29.0,89,3.0,US
85,Apple,-1,29.0,89,3.0,Canada
86,Aragonez,2010,,88,,Portugal
87,Aragonez,2011,10.0,85,0.0,Portugal
88,Argaman,2006,36.0,88,4.0,Israel
89,Argaman,2009,38.0,86,4.0,Israel
90,Argaman,2014,48.0,91,5.0,Israel
91,Arinto,-1,16.6666666667,85,1.0,Portugal
92,Arinto,2001,7.0,83,0.0,Portugal
93,Arinto,2004,,88,,Portugal
94,Arinto,2005,14.0,92,0.0,Portugal
95,Arinto,2007,10.0,87,0.0,Portugal
96,Arinto,2008,,86,,Portugal
97,Arinto,2010,15.75,86,1.0,Portugal
98,Arinto,2011,16.5,87,1.0,Portugal
99,Arinto,2012,22.7,88,2.0,Portugal
100,Arinto,2013,18.75,87,1.0,Portugal
101,Arinto,2015,13.4444444444,85,0.0,Portugal
102,Arinto,2016,13.8888888889,87,0.0,Portugal
103,Arneis,2006,16.5,84,1.0,Italy
104,Arneis,2008,19.6666666667,86,2.0,Italy
105,Arneis,2009,20.75,86,2.0,Italy
106,Arneis,2010,25.2,87,3.0,Italy
107,Arneis,2012,22.375,88,2.0,Italy
108,Arneis,2013,27.25,88,3.0,Italy
109,Arneis,2013,27.25,88,3.0,US
110,Arneis,2014,20.9166666667,87,2.0,Italy
111,Arneis,2015,19.0666666667,87,1.0,Italy
112,Arneis,2016,21.0,92,2.0,US
113,Asprinio,-1,,85,,Italy
114,Asprinio,2007,,83,,Italy
115,Asprinio,2012,15.0,84,0.0,Italy
116,Assyrtico,2006,29.0,85,3.0,Greece
117,Assyrtico,2009,35.0,87,4.0,Greece
118,Assyrtico,2010,26.1,88,3.0,Greece
119,Assyrtico,2011,13.6,87,0.0,Greece
120,Assyrtico,2013,27.4,88,3.0,Greece
121,Assyrtiko,2011,20.0,89,2.0,Greece
122,Assyrtiko,2014,31.4,89,4.0,Greece
123,Assyrtiko,2015,18.1428571429,89,1.0,Greece
124,Athiri,2008,18.0,83,1.0,Greece
125,Austrian Red Blend,2006,49.0,89,5.0,Austria
126,Austrian Red Blend,2007,34.1428571429,90,4.0,Austria
127,Austrian Red Blend,2008,45.0,89,5.0,Austria
128,Austrian Red Blend,2009,41.5,89,5.0,Austria
129,Austrian Red Blend,2010,17.3333333333,85,1.0,Austria
130,Austrian Red Blend,2011,39.3125,89,4.0,Austria
131,Austrian Red Blend,2015,15.0,90,0.0,Austria
132,Austrian white blend,1983,110.0,89,5.0,Austria
133,Austrian white blend,2006,,88,,Austria
134,Austrian white blend,2009,37.75,90,4.0,Austria
135,Austrian white blend,2011,23.875,89,2.0,Austria
136,Austrian white blend,2012,27.375,89,3.0,Austria
137,Austrian white blend,2013,39.8461538462,90,4.0,Austria
138,Austrian white blend,2014,32.5555555556,90,4.0,Austria
139,Austrian white blend,2015,23.8333333333,91,2.0,Austria
140,Austrian white blend,2016,21.6666666667,90,2.0,Austria
141,Auxerrois,2009,22.0,89,2.0,US
142,Auxerrois,2010,22.0,90,2.0,US
143,Auxerrois,2011,21.0,88,2.0,France
144,Auxerrois,2013,19.6666666667,88,2.0,US
145,Auxerrois,2014,23.0,88,2.0,France
146,Auxerrois,2015,26.75,89,3.0,US
147,Auxerrois,2016,22.0,90,2.0,US
148,Avesso,2011,16.0,88,1.0,Portugal
149,Avesso,2012,15.0,89,0.0,Portugal
150,Avesso,2013,21.0,87,2.0,Portugal
151,Avesso,2015,12.0,88,0.0,Portugal
152,Avesso,2016,13.0,88,0.0,Portugal
153,Azal,2010,13.0,87,0.0,Portugal
154,Azal,2013,13.0,85,0.0,Portugal
155,Azal,2015,15.0,86,0.0,Portugal
156,Babosa Negro,2015,45.0,92,5.0,Spain
157,Bacchus,2015,,91,,Germany
158,Baco Noir,2000,35.0,87,4.0,US
159,Baco Noir,2006,36.0,89,4.0,US
160,Baco Noir,2008,26.0,85,3.0,US
161,Baco Noir,2010,22.0,86,2.0,US
162,Baco Noir,2012,28.0,83,3.0,US
163,Baga,-1,12.0,86,0.0,Portugal
164,Baga,2004,14.0,88,0.0,Portugal
165,Baga,2005,35.0,88,4.0,Portugal
166,Baga,2007,70.0,93,5.0,Portugal
167,Baga,2009,67.0,90,5.0,Portugal
168,Baga,2011,32.75,90,4.0,Portugal
169,Baga,2012,31.3333333333,90,4.0,Portugal
170,Baga,2013,41.0,90,5.0,Portugal
171,Baga,2015,20.0,91,2.0,Portugal
172,Baga-Touriga Nacional,2010,40.0,91,4.0,Portugal
173,Barbera,1870,,86,,Italy
174,Barbera,1998,10.0,84,0.0,Italy
175,Barbera,2001,19.0,84,1.0,Italy
176,Barbera,2003,28.6,87,3.0,Italy
177,Barbera,2004,29.818181818200003,86,3.0,Italy
178,Barbera,2005,24.2962962963,86,3.0,Italy
179,Barbera,2006,26.7179487179,87,3.0,Italy
