,country,points,price,title,winery
109406,Austria,98,,Kracher 2008 Zwischen den Seen Nummer 9 Trockenbeerenauslese Welschriesling (Burgenland),Kracher
36533,Austria,97,95.0,Kracher 2013 Trockenbeerenauslese Nummer 5 Zwischen den Seen Scheurebe (Burgenland),Kracher
77029,Austria,97,90.0,Kracher 2010 Nouvelle Vague Nummer 9 Trockenbeerenauslese Chardonnay (Burgenland),Kracher
77030,Austria,97,125.0,Kracher 2010 Zwischen den Seen Nummer 10 Trockenbeerenauslese Scheurebe (Burgenland),Kracher
82817,Austria,97,95.0,Kracher 2013 Grande Cuvée Trockenbeerenauslese Nummer 6 Nouvelle Vague White (Burgenland),Kracher
109407,Austria,97,103.0,Kracher 2008 Zwischen den Seen Nummer 11 Trockenbeerenauslese Scheurebe (Burgenland),Kracher
47434,Austria,96,78.0,Bründlmayer 2011 Zöbinger Heiligenstein Erste Lage Alte Reben Reserve Riesling (Kamptal),Bründlmayer
54300,Austria,96,80.0,Johanneshof Reinisch 2013 Holzspur Pinot Noir (Thermenregion),Johanneshof Reinisch
54301,Austria,96,80.0,Loimer 2014 Steinmassl Riesling (Kamptal),Loimer
54302,Austria,96,64.0,Bründlmayer 2014 Heiligenstein Lyra Reserve Riesling (Kamptal),Bründlmayer
54304,Austria,96,56.0,Emmerich Knoll 2014 Ried Loibenberg Smaragd Riesling (Wachau),Emmerich Knoll
54306,Austria,96,64.0,Emmerich Knoll 2014 Ried Kellerberg Smaragd Riesling (Wachau),Emmerich Knoll
54308,Austria,96,70.0,Malat 2014 Das Beste vom Riesling Reserve Riesling (Kremstal),Malat
54309,Austria,96,78.0,Emmerich Knoll 2014 Ried Schütt Smaragd Riesling (Wachau),Emmerich Knoll
54311,Austria,96,28.0,Eichinger 2014 Gaisberg Reserve Riesling (Kamptal),Eichinger
77033,Austria,96,89.0,F X Pichler 2012 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),F X Pichler
77035,Austria,96,100.0,Kracher 2010 Nouvelle Vague Nummer 8 Trockenbeerenauslese Traminer (Burgenland),Kracher
79719,Austria,96,45.0,Kracher 2012 Nouvelle Vague Nr. 6 Grande Cuvée Trockenbeerenauslese White (Burgenland),Kracher
95044,Austria,96,40.0,Emmerich Knoll 2013 Loibner Auslese Grüner Veltliner (Wachau),Emmerich Knoll
109334,Austria,96,,F X Pichler 2013 Dürnsteiner Liebenberg Smaragd Grüner Veltliner (Wachau),F X Pichler
109338,Austria,96,92.0,Emmerich Knoll 2012 Ried Loibenberg Reserve Grüner Veltliner (Wachau),Emmerich Knoll
109339,Austria,96,54.0,Emmerich Knoll 2013 Ried Loibenberg Smaragd Riesling (Wachau),Emmerich Knoll
109412,Austria,96,103.0,Franz Hirtzberger 2010 Hochrain Smaragd Riesling (Wachau),Franz Hirtzberger
109429,Austria,96,50.0,Anton Bauer 2012 Reserve Limited Edition Pinot Noir (Wagram),Anton Bauer
109431,Austria,96,35.0,Bründlmayer 2013 Heiligenstein Reserve Lyra Riesling (Kamptal),Bründlmayer
109433,Austria,96,99.0,Franz Hirtzberger 2013 Singerriedl Smaragd Riesling (Wachau),Franz Hirtzberger
117030,Austria,96,80.0,Bründlmayer 2010 Zöbinger Heiligenstein Erste Lage Alte Reben Reserve Riesling (Kamptal),Bründlmayer
119655,Austria,96,45.0,Schloss Gobelsburg 2015 Eiswein Grüner Veltliner (Niederösterreich),Schloss Gobelsburg
119657,Austria,96,38.0,Salomon-Undhof 2009 Bienenfeld Beerenauslese Riesling (Niederösterreich),Salomon-Undhof
119660,Austria,96,160.0,Heidi Schröck 2014 Ruster Ausbruch Turner White (Burgenland),Heidi Schröck
