,country,points,price,title,winery
7272,Czech Republic,89,45.0,Stapleton & Springer 2007 Roucí Red (Moravia),Stapleton & Springer
73770,Czech Republic,89,40.0,Sonberk 2010 Ryzlink Rýnský (Moravia),Sonberk
124670,Czech Republic,89,45.0,Stapleton & Springer 2007 Roucí Red (Moravia),Stapleton & Springer
58185,Czech Republic,88,24.0,Vino z Czech 2012 Hrabal Frankovka (Moravia),Vino z Czech
107432,Czech Republic,88,15.0,Vino z Czech 2013 Michlovský Riesling (Moravia),Vino z Czech
107437,Czech Republic,88,18.0,Vino z Czech 2009 Ludwig Cabernet Moravia (Moravia),Vino z Czech
107438,Czech Republic,88,15.0,Vino z Czech 2013 Znovín Znojmo St. Laurent (Moravia),Vino z Czech
6114,Czech Republic,87,15.0,Vino z Czech 2013 Michlovský Sauvignon Blanc (Moravia),Vino z Czech
31733,Czech Republic,87,15.0,Vino z Czech 2011 Rivaner (Moravia),Vino z Czech
2272,Czech Republic,85,25.0,Vino z Czech 2011 Welschriesling (Moravia),Vino z Czech
2288,Czech Republic,85,18.0,Vino z Czech NV Cabernet Moravia (Moravia),Vino z Czech
92269,Czech Republic,84,16.0,Vino z Czech 2011 Sauvignon Blanc (Moravia),Vino z Czech
