,country,points,price,title,winery
45798,US,100,200.0,Cardinale 2006 Cabernet Sauvignon (Napa Valley),Cardinale
113929,US,100,80.0,Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),Charles Smith
118058,US,100,450.0,Verité 2007 La Muse Red (Sonoma County),Verité
123545,US,100,80.0,Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),Cayuse
1556,US,99,125.0,Quilceda Creek 2008 Cabernet Sauvignon (Columbia Valley (WA)),Quilceda Creek
1557,US,99,94.0,Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Williams Selyem
47428,US,99,75.0,Cayuse 2009 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Cayuse
47429,US,99,75.0,Williams Selyem 2010 Hirsch Vineyard Pinot Noir (Sonoma Coast),Williams Selyem
47894,US,99,75.0,Cayuse 2011 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Cayuse
107901,US,99,125.0,Venge 2008 Family Reserve Cabernet Sauvignon (Oakville),Venge
116140,US,99,300.0,Alpha Omega 2012 ERA Red (Napa Valley),Alpha Omega
116141,US,99,250.0,Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),Alpha Omega
118059,US,99,44.0,Failla 2010 Estate Vineyard Chardonnay (Sonoma Coast),Failla
121884,US,99,290.0,Colgin 2008 IX Estate Red (Napa Valley),Colgin
121885,US,99,150.0,David Arthur 2009 Elevation 1147 Estate Cabernet Sauvignon (Napa Valley),David Arthur
128265,US,99,100.0,Trefethen 2005 Reserve Cabernet Sauvignon (Oak Knoll District),Trefethen
1560,US,98,50.0,Pirouette 2008 Red Wine Red (Columbia Valley (WA)),Pirouette
4502,US,98,155.0,Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),Wayfarer
26890,US,98,250.0,Iron Horse 2003 Joy! Estate Bottled Sparkling (Green Valley),Iron Horse
27592,US,98,265.0,Shafer 2012 Hillside Select Cabernet Sauvignon (Stags Leap District),Shafer
30109,US,98,250.0,Joseph Phelps 2013 Insignia 40th Vintage Estate Grown Red (Napa Valley),Joseph Phelps
38978,US,98,625.0,Yao Ming 2010 Family Reserve Cabernet Sauvignon (Napa Valley),Yao Ming
39289,US,98,75.0,Vine Cliff 2007 Cabernet Sauvignon (Oakville),Vine Cliff
41836,US,98,85.0,Dolce 2006 Semillon-Sauvignon Blanc (Napa Valley),Dolce
41837,US,98,275.0,Araujo 2007 Eisele Cabernet Sauvignon (Napa Valley),Araujo
45784,US,98,75.0,Williams Selyem 2013 Coastlands Vineyard Pinot Noir (Sonoma Coast),Williams Selyem
45799,US,98,125.0,Quilceda Creek 2006 Cabernet Sauvignon (Columbia Valley (WA)),Quilceda Creek
