winery,avg_score,avgscore2
Château Climens                ,98,98
Château Pétrus                 ,97,97
Domaine des Lambrays           ,96,96
Quinta do Vesuvio              ,96,96
Château Pontet-Canet           ,95.57142857,95.6
Vieux Château Certan           ,95.33333333,95.3
Azelia                         ,95,95
Cerbaiona                      ,95,95
Château d'Yquem                ,95,95
Château Léoville Barton        ,95,95
Colgin                         ,95,95
Domaine Anne Gros              ,95,95
Domaine Michel Lafarge         ,95,95
Eugenio Bocchino               ,95,95
Moccagatta                     ,95,95
Robert Biale                   ,95,95
Taittinger                     ,95,95
Château la Tour Blanche        ,94.5,94.5
Cordero di Montezemolo         ,94.5,94.5
Domaine Jean Grivot            ,94.5,94.5
Müller-Catoir                  ,94.5,94.5
Vieux Château Mazerat          ,94.5,94.5
Château Ducru Beaucaillou      ,94.4,94.4
Château Lynch-Bages            ,94.33333333,94.3
Château Trotanoy               ,94.33333333,94.3
Château Ausone                 ,94.22222222,94.2
Billecart-Salmon               ,94.2,94.2
Château Rauzan-Ségla           ,94.2,94.2
Château Latour                 ,94.16666667,94.2
Bolney Wine Estate             ,94,94
Bruno Rocca                    ,94,94
Château de Vaudieu             ,94,94
Château la Fleur-Pétrus        ,94,94
Château Laville Haut-Brion     ,94,94
Château Léoville Poyferré      ,94,94
Coup de Foudre                 ,94,94
Domaine Isabel Ferrando        ,94,94
Domaine Nicolas Rossignol      ,94,94
Enzo Boglietti                 ,94,94
La Croix de Beaucaillou        ,94,94
La Mondotte                    ,94,94
Laurent-Perrier                ,94,94
Le Dôme                        ,94,94
Maynard's                      ,94,94
Podere Rocche dei Manzoni      ,94,94
Radikon                        ,94,94
Umberto Fracassi               ,94,94
W. & J. Graham's               ,94,94
Weingut Keller                 ,94,94
Château Palmer                 ,93.875,93.9
Château Haut-Brion             ,93.8,93.8
Clos du Marquis                ,93.8,93.8
Château Clos Haut-Peyraguey    ,93.75,93.8
Château Pichon Longueville Comt,93.75,93.8
Château Coutet                 ,93.6,93.6
Château Rieussec               ,93.57142857,93.6
Château Beau-Séjour Bécot      ,93.5,93.5
Château Bélair-Monange         ,93.5,93.5
Château Certan de May de Certan,93.5,93.5
Château de Fargues             ,93.5,93.5
Château le Gay                 ,93.5,93.5
Château Valandraud             ,93.5,93.5
Domaine Drouhin-Laroze         ,93.5,93.5
Domaine Parent                 ,93.5,93.5
Quintarelli                    ,93.5,93.5
Timothy Malone                 ,93.5,93.5
Viberti                        ,93.5,93.5
Château Margaux                ,93.44444444,93.4
F X Pichler                    ,93.4,93.4
Château Angélus                ,93.375,93.4
Château Giscours               ,93.375,93.4
Château Pichon Longueville     ,93.36363636,93.4
Château Lafite Rothschild      ,93.33333333,93.3
Clos de Tart                   ,93.33333333,93.3
Guastaferro                    ,93.33333333,93.3
Silvio Grasso                  ,93.33333333,93.3
Château Fuissé                 ,93.25,93.3
Château Hosanna                ,93.25,93.3
Moët & Chandon                 ,93.22222222,93.2
Château Pavie                  ,93.2,93.2
Domaine de Chevalier           ,93.15384615,93.2
Adi Badenhorst & Duncan Savage ,93,93
Angerhof Tschida               ,93,93
Au Contraire                   ,93,93
Castello di Spessa             ,93,93
Chiesa Carlo                   ,93,93
Château Belair                 ,93,93
Château Canon                  ,93,93
Château Cantenac Brown         ,93,93
Château de Malle               ,93,93
Château Edmus                  ,93,93
Château Fonbadet               ,93,93
Château Haut-Bailly            ,93,93
Château la Croix du Casse      ,93,93
Château la Gomerie             ,93,93
Château la Tour de Bessan      ,93,93
Château Lafaurie-Peyraguey     ,93,93
Château Lamothe Despujols      ,93,93
