,country,points,price,title,winery
42197,Portugal,100,450.0,Casa Ferreirinha 2008 Barca-Velha Red (Douro),Casa Ferreirinha
114972,Portugal,100,650.0,Quinta do Noval 2011 Nacional Vintage  (Port),Quinta do Noval
56043,Portugal,99,426.0,Casa Ferreirinha 2004 Barca Velha Red (Douro),Casa Ferreirinha
114973,Portugal,99,268.0,Taylor Fladgate 2011 Vargellas Vinhas Velhas Vintage  (Port),Taylor Fladgate
36196,Portugal,98,230.0,Blandy's 1969 Bual (Madeira),Blandy's
109838,Portugal,98,595.0,Quinta do Noval 2001 Nacional Vintage  (Port),Quinta do Noval
114974,Portugal,98,127.0,Quinta do Vesuvio 2011 Capela Vintage  (Port),Quinta do Vesuvio
16524,Portugal,97,40.0,Taylor Fladgate NV 325 Anniversary  (Port),Taylor Fladgate
36531,Portugal,97,1000.0,W. & J. Graham's NV 90-year Old Tawny  (Port),W. & J. Graham's
45990,Portugal,97,75.0,Mouchão 2012 Red (Alentejo),Mouchão
74886,Portugal,97,250.0,Casa Ferreirinha 2007 Reserva Especial Red (Douro),Casa Ferreirinha
83851,Portugal,97,95.0,Niepoort 2005 Vintage  (Port),Niepoort
87124,Portugal,97,100.0,Quinta do Vale Meão 2013 Red (Douro),Quinta do Vale Meão
114536,Portugal,97,90.0,Quinta do Vale Meão 2012 Red (Douro),Quinta do Vale Meão
114975,Portugal,97,116.0,Fonseca 2011 Vintage  (Port),Fonseca
114976,Portugal,97,200.0,W. & J. Graham's 2011 Stone Terraces Vintage  (Port),W. & J. Graham's
114977,Portugal,97,90.0,Ferreira 2011 Vintage  (Port),Ferreira
114978,Portugal,97,116.0,Taylor Fladgate 2011 Vintage  (Port),Taylor Fladgate
114980,Portugal,97,95.0,Cockburn's 2011 Vintage  (Port),Cockburn's
27596,Portugal,96,55.0,Mouchão 2011 Red (Alentejo),Mouchão
38979,Portugal,96,80.0,Quinta do Vale Meão 2011 Red (Douro),Quinta do Vale Meão
38982,Portugal,96,90.0,Quinta Vale Dona Maria 2011 Vinha do Rio Red (Douro),Quinta Vale Dona Maria
45000,Portugal,96,220.0,Blandy's 1973 Verdelho (Madeira),Blandy's
54247,Portugal,96,,Quinta do Vesuvio 2011 Vintage  (Port),Quinta do Vesuvio
54248,Portugal,96,,Dow's 2011 Vintage  (Port),Dow's
54250,Portugal,96,110.0,Quinta do Noval 2011 Vintage  (Port),Quinta do Noval
54251,Portugal,96,66.0,Quinta do Vale Meão 2011 Vintage  (Port),Quinta do Vale Meão
54252,Portugal,96,100.0,Barão de Vilar 2011 Vintage  (Port),Barão de Vilar
58362,Portugal,96,100.0,Niepoort 2009 Bioma Vinha Velha Vintage  (Port),Niepoort
74889,Portugal,96,100.0,Wine & Soul 2013 Pintas Red (Douro),Wine & Soul
74890,Portugal,96,400.0,Messias 1963 Colheita Tawny  (Port),Messias
82824,Portugal,96,149.0,Quinta Vale Dona Maria 2013 Vinha do Rio Red (Douro),Quinta Vale Dona Maria
83855,Portugal,96,200.0,Niepoort NV 30 Years Old Tawny  (Port),Niepoort
87131,Portugal,96,415.0,Burmester 1952 Colheita Tawny  (Port),Burmester
109850,Portugal,96,105.0,Quinta do Noval 2014 Vintage  (Port),Quinta do Noval
114982,Portugal,96,,Quinta do Vesuvio 2011 Vintage  (Port),Quinta do Vesuvio
114983,Portugal,96,,W. & J. Graham's 2011 Vintage  (Port),W. & J. Graham's
114984,Portugal,96,95.0,Warre's 2011 Vintage  (Port),Warre's
122564,Portugal,96,99.0,Taylor Fladgate 2009 Vintage  (Port),Taylor Fladgate
8862,Portugal,95,100.0,Quinta do Vale Meão 2014 Red (Douro),Quinta do Vale Meão
8881,Portugal,95,100.0,Quinta Vale Dona Maria 2014 Vinha da Francisca Red (Douro),Quinta Vale Dona Maria
15187,Portugal,95,50.0,Vinha Paz 2012 Reserva Red (Dão),Vinha Paz
