variety,year,price,points,priceq
Abouriou                  ,2012,45.0,86,5.0
Abouriou                  ,2014,15.0,91,0.0
Agiorgitiko               ,2003,21.0,87,2.0
Agiorgitiko               ,2004,31.7777777778,86,4.0
Agiorgitiko               ,2005,37.3333333333,86,4.0
Agiorgitiko               ,2006,23.8,86,2.0
Agiorgitiko               ,2007,18.0,85,1.0
Agiorgitiko               ,2008,28.3,86,3.0
Agiorgitiko               ,2009,12.25,86,0.0
Agiorgitiko               ,2010,16.5,87,1.0
Agiorgitiko               ,2011,18.2,88,1.0
Agiorgitiko               ,2012,16.6666666667,87,1.0
Agiorgitiko               ,2013,14.5,90,0.0
Agiorgitiko               ,2014,28.0,88,3.0
Aglianico                 ,-1,43.0,91,5.0
Aglianico                 ,2001,55.8,91,5.0
Aglianico                 ,2003,39.1428571429,88,4.0
Aglianico                 ,2004,57.7647058824,89,5.0
Aglianico                 ,2005,43.2666666667,88,5.0
Aglianico                 ,2006,39.16,88,4.0
Aglianico                 ,2007,41.411764705900005,89,5.0
Aglianico                 ,2008,40.4137931034,89,5.0
Aglianico                 ,2009,46.875,89,5.0
Aglianico                 ,2010,32.3529411765,88,4.0
Aglianico                 ,2011,47.1034482759,90,5.0
Aglianico                 ,2012,31.9487179487,89,4.0
Aglianico                 ,2013,27.956521739099998,88,3.0
Aglianico                 ,2014,29.1666666667,88,3.0
Aglianico                 ,2015,21.2857142857,87,2.0
Aidani                    ,2011,27.0,82,3.0
Airen                     ,2007,8.0,83,0.0
Airen                     ,2009,9.0,80,0.0
Airen                     ,2011,10.0,82,0.0
Albana                    ,2004,48.0,90,5.0
Albana                    ,2006,42.5,91,5.0
Albana                    ,2007,,94,
Albana                    ,2009,12.0,84,0.0
Albana                    ,2011,14.0,87,0.0
Albana                    ,2012,,90,
Albana                    ,2014,22.0,93,2.0
Albana                    ,2015,20.8333333333,88,2.0
Albana                    ,2016,15.0,91,0.0
Albanello                 ,2012,20.0,86,2.0
AlbariĂąo                 ,2000,14.666666666700001,84,0.0
AlbariĂąo                 ,2003,18.0,87,1.0
AlbariĂąo                 ,2005,33.25,85,4.0
AlbariĂąo                 ,2006,19.7333333333,87,2.0
AlbariĂąo                 ,2007,24.6,87,3.0
AlbariĂąo                 ,2008,18.0,87,1.0
AlbariĂąo                 ,2009,18.7647058824,88,1.0
AlbariĂąo                 ,2010,24.290322580599998,87,3.0
AlbariĂąo                 ,2011,20.2173913043,87,2.0
AlbariĂąo                 ,2012,21.3333333333,87,2.0
AlbariĂąo                 ,2013,22.178082191799998,87,2.0
AlbariĂąo                 ,2014,21.034883720899998,88,2.0
AlbariĂąo                 ,2015,20.6987951807,88,2.0
AlbariĂąo                 ,2016,20.8571428571,88,2.0
AlbariĂąo                 ,2017,25.0,91,3.0
Albarossa                 ,2006,40.0,88,4.0
Aleatico                  ,2006,39.5,84,4.0
Aleatico                  ,2009,,90,
Aleatico                  ,2010,55.0,89,5.0
Aleatico                  ,2012,25.0,85,3.0
Alfrocheiro               ,-1,25.0,86,3.0
Alfrocheiro               ,2006,11.0,85,0.0
Alfrocheiro               ,2008,38.0,89,4.0
Alfrocheiro               ,2009,40.0,91,4.0
Alfrocheiro               ,2010,32.0,89,4.0
Alfrocheiro               ,2011,36.3333333333,91,4.0
Alfrocheiro               ,2012,50.0,93,5.0
Alfrocheiro               ,2013,14.0,87,0.0
Alfrocheiro               ,2014,17.0,87,1.0
Alfrocheiro               ,2015,19.0,88,1.0
Alicante                  ,2006,30.0,88,3.0
Alicante                  ,2007,27.0,89,3.0
Alicante                  ,2008,24.0,86,3.0
Alicante                  ,2012,24.0,87,3.0
Alicante                  ,2015,10.0,87,0.0
Alicante Bouschet         ,-1,17.0,87,1.0
Alicante Bouschet         ,2004,18.0,83,1.0
Alicante Bouschet         ,2005,17.5,87,1.0
Alicante Bouschet         ,2006,11.0,86,0.0
Alicante Bouschet         ,2008,24.0,90,3.0
Alicante Bouschet         ,2009,44.0,92,5.0
Alicante Bouschet         ,2010,37.5,89,4.0
Alicante Bouschet         ,2011,53.25,89,5.0
Alicante Bouschet         ,2012,38.4285714286,88,4.0
Alicante Bouschet         ,2013,32.1111111111,90,4.0
Alicante Bouschet         ,2014,29.25,90,3.0
Alicante Bouschet         ,2015,21.75,89,2.0
Alicante Bouschet         ,2016,15.0,89,0.0
AligotĂŠ                  ,2007,19.5,86,1.0
AligotĂŠ                  ,2009,18.5,85,1.0
AligotĂŠ                  ,2010,18.25,86,1.0
AligotĂŠ                  ,2011,21.0,86,2.0
AligotĂŠ                  ,2012,19.0,87,1.0
AligotĂŠ                  ,2013,22.8571428571,87,2.0
AligotĂŠ                  ,2014,19.4,86,1.0
